child_bars_used,child_timeframe,direction,entry_first_ts,entry_mode,entry_price,entry_timestamp,execution_timeframe,kind,liquidity_event_id,note,parent_bar_time,parent_timeframe,percentage,requires_1m_dataset,result,setup_id,stop_first_ts,stop_price,trigger_bar_stop_ambiguities,triggered_candidates
,,,,first_touch,,,5m,,,,,,100.0,,,,,,2,2
,,,,boundary,,,5m,,,,,,100.0,,,,,,2,2
,,,,CE,,,5m,,,,,,,,,,,,0,0
,,,,first_touch,,,15m,,,,,,100.0,,,,,,5,5
,,,,boundary,,,15m,,,,,,100.0,,,,,,5,5
,,,,CE,,,15m,,,,,,,,,,,,0,0
0,5m,bearish,,first_touch,4411.575,,15m,15m_resolved,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100,expected_up_to_3_child_bars,1786555800,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100|exec:15m,,4424.46,,
0,5m,bearish,,boundary,4411.43,,15m,15m_resolved,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100,expected_up_to_3_child_bars,1786555800,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100|exec:15m,,4424.46,,
0,5m,bearish,,ce,4416.9349999999995,,15m,15m_resolved,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100,expected_up_to_3_child_bars,1786560300,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100|exec:15m,,4424.46,,
0,5m,bullish,,first_touch,4405.56,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-12|low|1786537800,expected_up_to_3_child_bars,1786586400,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|London|2026-08-12|low|1786537800|exec:15m,,4382.485,,
0,5m,bullish,,boundary,4405.705,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-12|low|1786537800,expected_up_to_3_child_bars,1786586400,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|London|2026-08-12|low|1786537800|exec:15m,,4382.485,,
0,5m,bullish,,ce,4404.42,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-12|low|1786537800,expected_up_to_3_child_bars,1786588200,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|London|2026-08-12|low|1786537800|exec:15m,,4382.485,,
0,5m,bullish,,first_touch,4388.14,,15m,15m_resolved,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900,expected_up_to_3_child_bars,1786619700,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900|exec:15m,,4365.005,,
0,5m,bullish,,boundary,4388.25,,15m,15m_resolved,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900,expected_up_to_3_child_bars,1786619700,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900|exec:15m,,4365.005,,
0,5m,bullish,,ce,4387.96,,15m,15m_resolved,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900,expected_up_to_3_child_bars,1786620600,15m,,,INSUFFICIENT_DATA,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900|exec:15m,,4365.005,,
3,5m,bearish,1786709100,first_touch,4376.83,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-13|high|1786624200,,1786708800,15m,,,RESOLVED_NO_STOP,OANDA:XAUUSD|London|2026-08-13|high|1786624200|exec:15m,,4401.47,,
3,5m,bearish,1786708800,boundary,4374.135,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-13|high|1786624200,,1786708800,15m,,,RESOLVED_NO_STOP,OANDA:XAUUSD|London|2026-08-13|high|1786624200|exec:15m,,4401.47,,
3,5m,bearish,1786710000,ce,4377.62,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-13|high|1786624200,,1786709700,15m,,,RESOLVED_NO_STOP,OANDA:XAUUSD|London|2026-08-13|high|1786624200|exec:15m,,4401.47,,
3,5m,bearish,1786734600,first_touch,4377.09,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-14|high|1786710600,,1786734000,15m,,,RESOLVED_NO_STOP,OANDA:XAUUSD|London|2026-08-14|high|1786710600|exec:15m,,4386.965,,
3,5m,bearish,1786734600,boundary,4377.01,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-14|high|1786710600,,1786734000,15m,,,RESOLVED_NO_STOP,OANDA:XAUUSD|London|2026-08-14|high|1786710600|exec:15m,,4386.965,,
3,5m,bearish,1786734600,ce,4377.05,,15m,15m_resolved,OANDA:XAUUSD|London|2026-08-14|high|1786710600,,1786734000,15m,,,RESOLVED_NO_STOP,OANDA:XAUUSD|London|2026-08-14|high|1786710600|exec:15m,,4386.965,,
,,,,first_touch,,1786721400,,5m_unresolved,,,,,,True,,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300|exec:5m,,,,
,,,,boundary,,1786721400,,5m_unresolved,,,,,,True,,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300|exec:5m,,,,
,,,,ce,,1786721400,,5m_unresolved,,,,,,True,,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300|exec:5m,,,,
,,,,first_touch,,1786721400,,5m_unresolved,,,,,,True,,OANDA:XAUUSD|London|2026-08-14|high|1786710900|exec:5m,,,,
,,,,boundary,,1786721400,,5m_unresolved,,,,,,True,,OANDA:XAUUSD|London|2026-08-14|high|1786710900|exec:5m,,,,
,,,,ce,,1786721400,,5m_unresolved,,,,,,True,,OANDA:XAUUSD|London|2026-08-14|high|1786710900|exec:5m,,,,
