daily_bias,direction,entry_mode,execution_timeframe,h4_bias,htf_bucket,invalidation_reason,liquidity_event_id,outcome,session,setup_id,setup_vs_daily,setup_vs_h4,status,triggered
bullish,bearish,first_touch,5m,bearish,,first_touch:stop_not_directional;boundary:stop_not_directional;ce:stop_not_directional,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300|exec:5m,opposed,aligned,INVALIDATED,True
bullish,bearish,boundary,5m,bearish,,first_touch:stop_not_directional;boundary:stop_not_directional;ce:stop_not_directional,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300|exec:5m,opposed,aligned,INVALIDATED,True
bullish,bearish,ce,5m,bearish,,first_touch:stop_not_directional;boundary:stop_not_directional;ce:stop_not_directional,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-08-13|high|1786707300|exec:5m,opposed,aligned,INVALIDATED,True
bullish,bearish,first_touch,5m,bearish,,first_touch:stop_not_directional;boundary:stop_not_directional;ce:stop_not_directional,OANDA:XAUUSD|London|2026-08-14|high|1786710900,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-08-14|high|1786710900|exec:5m,opposed,aligned,INVALIDATED,True
bullish,bearish,boundary,5m,bearish,,first_touch:stop_not_directional;boundary:stop_not_directional;ce:stop_not_directional,OANDA:XAUUSD|London|2026-08-14|high|1786710900,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-08-14|high|1786710900|exec:5m,opposed,aligned,INVALIDATED,True
bullish,bearish,ce,5m,bearish,,first_touch:stop_not_directional;boundary:stop_not_directional;ce:stop_not_directional,OANDA:XAUUSD|London|2026-08-14|high|1786710900,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-08-14|high|1786710900|exec:5m,opposed,aligned,INVALIDATED,True
bullish,bearish,first_touch,15m,bullish,,,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100|exec:15m,opposed,opposed,EXPIRED,True
bullish,bearish,boundary,15m,bullish,,,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100|exec:15m,opposed,opposed,EXPIRED,True
bullish,bearish,ce,15m,bullish,,,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-08-11|high|1786526100|exec:15m,opposed,opposed,EXPIRED,True
bullish,bullish,first_touch,15m,bullish,,,OANDA:XAUUSD|London|2026-08-12|low|1786537800,STOP_HIT,London,OANDA:XAUUSD|London|2026-08-12|low|1786537800|exec:15m,aligned,aligned,EXPIRED,True
bullish,bullish,boundary,15m,bullish,,,OANDA:XAUUSD|London|2026-08-12|low|1786537800,STOP_HIT,London,OANDA:XAUUSD|London|2026-08-12|low|1786537800|exec:15m,aligned,aligned,EXPIRED,True
bullish,bullish,ce,15m,bullish,,,OANDA:XAUUSD|London|2026-08-12|low|1786537800,STOP_HIT,London,OANDA:XAUUSD|London|2026-08-12|low|1786537800|exec:15m,aligned,aligned,EXPIRED,True
bullish,bullish,first_touch,15m,bullish,,,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900|exec:15m,aligned,aligned,EXPIRED,True
bullish,bullish,boundary,15m,bullish,,,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900|exec:15m,aligned,aligned,EXPIRED,True
bullish,bullish,ce,15m,bullish,,,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-08-12|low|1786608900|exec:15m,aligned,aligned,EXPIRED,True
bullish,bearish,first_touch,15m,bullish,,,OANDA:XAUUSD|London|2026-08-13|high|1786624200,EXPIRED_WITHOUT_EXIT,London,OANDA:XAUUSD|London|2026-08-13|high|1786624200|exec:15m,opposed,opposed,EXPIRED,True
bullish,bearish,boundary,15m,bullish,,,OANDA:XAUUSD|London|2026-08-13|high|1786624200,EXPIRED_WITHOUT_EXIT,London,OANDA:XAUUSD|London|2026-08-13|high|1786624200|exec:15m,opposed,opposed,EXPIRED,True
bullish,bearish,ce,15m,bullish,,,OANDA:XAUUSD|London|2026-08-13|high|1786624200,EXPIRED_WITHOUT_EXIT,London,OANDA:XAUUSD|London|2026-08-13|high|1786624200|exec:15m,opposed,opposed,EXPIRED,True
bullish,bearish,first_touch,15m,bearish,,,OANDA:XAUUSD|London|2026-08-14|high|1786710600,EXPIRED_WITHOUT_EXIT,London,OANDA:XAUUSD|London|2026-08-14|high|1786710600|exec:15m,opposed,aligned,ENTRY_READY,True
bullish,bearish,boundary,15m,bearish,,,OANDA:XAUUSD|London|2026-08-14|high|1786710600,EXPIRED_WITHOUT_EXIT,London,OANDA:XAUUSD|London|2026-08-14|high|1786710600|exec:15m,opposed,aligned,ENTRY_READY,True
bullish,bearish,ce,15m,bearish,,,OANDA:XAUUSD|London|2026-08-14|high|1786710600,EXPIRED_WITHOUT_EXIT,London,OANDA:XAUUSD|London|2026-08-14|high|1786710600|exec:15m,opposed,aligned,ENTRY_READY,True
