entry_mode,execution_timeframe,feed_equivalence_class,outcome,session,setup_id,status,underlying_provider
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-17|high|1779090000|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-17|high|1779090000|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-17|high|1779090000|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-18|high|1779108600|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-18|high|1779108600|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-18|high|1779108600|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-18|low|1779187500|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-18|low|1779187500|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-18|low|1779187500|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-05-19|low|1779288600|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-05-19|low|1779288600|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-05-19|low|1779288600|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-19|high|1779286800|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-19|high|1779286800|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-19|high|1779286800|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-05-20|high|1779281400|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-05-20|high|1779281400|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-05-20|high|1779281400|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-20|low|1779347100|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-20|low|1779347100|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-20|low|1779347100|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,AMBIGUOUS_INTRABAR,London,OANDA:XAUUSD|London|2026-05-21|low|1779368100|exec:5m,EXPIRED,tiingo
