label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,candidate_id,execution_timeframe,htf_policy,entry_mode,stop_mode,confirmation_timeout_bars,fvg_timeout_bars,retrace_timeout_bars,target_evaluation,notes,expiry_counts,trades_retained_setups,selection_warnings,train_rank
C4_5m_first_touch,90,90,90,57,4,29,0,0,0.044444444444444446,0.6333333333333333,61,0.6777777777777778,32,0.5614035087719298,27,0.47368421052631576,14,0.24561403508771928,7,0.12280701754385964,25,0.43859649122807015,1.5368655578704904,0.9301948051949039,1.2372824592809877,1.029509559434748,57,57,13.4399999999996,2.653396029258073,0.7196988577363029,0.7196988577363029,-0.08771929824561403,-0.07017543859649122,-0.19298245614035087,MODERATE_SAMPLE,MODERATE_SAMPLE,C4_5m_first_touch,5m,POLICY_A,first_touch,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 91}",91,[],1
C12_5m_htf_C,39,39,39,27,3,9,0,0,0.07692307692307693,0.6923076923076923,30,0.7692307692307693,16,0.5925925925925926,12,0.4444444444444444,7,0.25925925925925924,2,0.07407407407407407,11,0.4074074074074074,1.2388789567904448,0.7832512315272635,1.259910283883012,1.0308285163776236,27,27,13.954999999999927,2.424999999999903,0.0,0.7777777777783392,-0.14814814814814814,-0.07407407407407407,-0.37037037037037035,SMALL_SAMPLE,SMALL_SAMPLE,C12_5m_htf_C,5m,POLICY_C,boundary,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 39}",39,[],2
C3_5m_ce,90,90,90,54,6,30,0,0,0.06666666666666667,0.6,60,0.6666666666666666,30,0.5555555555555556,25,0.46296296296296297,12,0.2222222222222222,6,0.1111111111111111,24,0.4444444444444444,1.343353363236105,0.8259056377789578,1.0704358242721752,1.028428394999977,54,54,13.552499999999782,2.7710380468190143,0.5,1.0,-0.09259259259259262,-0.11111111111111116,-0.22222222222222227,MODERATE_SAMPLE,MODERATE_SAMPLE,C3_5m_ce,5m,POLICY_A,ce,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 91}",91,[],3
C2_baseline_15m,103,103,102,59,5,38,1,0,0.049019607843137254,0.5784313725490197,64,0.6274509803921569,19,0.3220338983050847,15,0.2542372881355932,4,0.06779661016949153,2,0.03389830508474576,40,0.6779661016949152,0.7427560827103128,0.529313929313965,0.6481577720825564,0.24602332979850064,59,59,28.470000000000027,1.1913634027818802,0.0,0.8932487667371987,-0.06779661016949151,-0.18644067796610167,-0.22033898305084743,MODERATE_SAMPLE,LARGER_SAMPLE,C2_baseline_15m,15m,POLICY_A,boundary,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 105}",105,[],4
C1_baseline,90,90,90,58,4,28,0,0,0.044444444444444446,0.6444444444444445,62,0.6888888888888889,33,0.5689655172413793,24,0.41379310344827586,11,0.1896551724137931,5,0.08620689655172414,25,0.43103448275862066,1.2327362993384439,0.7876125117505295,1.087685829366149,1.0298216712700845,58,58,14.610000000000127,2.5061197622035336,0.0,0.7196988577363029,-0.15517241379310348,-0.18965517241379315,-0.3103448275862069,MODERATE_SAMPLE,MODERATE_SAMPLE,C1_baseline,5m,POLICY_A,boundary,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 91}",91,[],5
C9_train_derived,71,71,71,42,1,28,0,0,0.014084507042253521,0.5915492957746479,43,0.6056338028169014,18,0.42857142857142855,11,0.2619047619047619,4,0.09523809523809523,3,0.07142857142857142,24,0.5714285714285714,0.9764428263258675,0.670817120622582,1.0293035813504154,0.5742394945013255,42,42,25.730000000000018,1.3501890359168411,0.7336448598128359,0.7336448598128359,-0.16666666666666663,-0.23809523809523808,-0.21428571428571427,SMALL_SAMPLE,MODERATE_SAMPLE,C9_train_derived,15m,POLICY_A,first_touch,beyond_sweep,55,27,174,2R primary research target; opposite liquidity tracked,derived_from_train_comparisons,"{""RETAINED"": 71, ""EXPIRED_CONFIRMATION"": 16, ""EXPIRED_FVG"": 11, ""EXPIRED_RETRACE"": 7}",71,[],6
C6_5m_htf_E,71,71,71,49,4,18,0,0,0.056338028169014086,0.6901408450704225,53,0.7464788732394366,30,0.6122448979591837,19,0.3877551020408163,9,0.1836734693877551,4,0.08163265306122448,19,0.3877551020408163,1.1772571315888594,0.7120103314679412,1.1659208336231828,1.0308285163776236,49,49,14.079999999999927,2.4855491329480253,0.0,0.7777777777783392,-0.22448979591836737,-0.24489795918367346,-0.3673469387755102,SMALL_SAMPLE,MODERATE_SAMPLE,C6_5m_htf_E,5m,POLICY_E,boundary,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 72}",72,[],7
C11_5m_htf_B,32,32,32,20,2,10,0,0,0.0625,0.625,22,0.6875,12,0.6,6,0.3,1,0.05,0,0.0,8,0.4,0.756758378167274,0.4710808792336824,1.1550320992308833,1.0298216712700845,20,20,17.465000000000146,2.455274566473964,0.0,0.6811295458355404,-0.3,-0.5,-0.6,SMALL_SAMPLE,SMALL_SAMPLE,C11_5m_htf_B,5m,POLICY_B,boundary,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 32}",32,[],8
C7_5m_beyond_fvg,90,90,90,32,58,0,0,0,0.6444444444444445,0.35555555555555557,90,1.0,22,0.6875,26,0.8125,18,0.5625,10,0.3125,10,0.3125,3.316040702029952,2.1801467710371645,2.292276365799993,1.1167011359891412,32,32,1.5850000000000364,26.629898275101652,0.0,0.7196988577363029,0.125,0.4375,0.25,SMALL_SAMPLE,MODERATE_SAMPLE,C7_5m_beyond_fvg,5m,POLICY_A,boundary,beyond_fvg,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 91}",91,"[""HIGH_AMBIGUITY""]",9
C10_15m_htf_D_boundary,21,21,21,11,1,9,0,0,0.047619047619047616,0.5238095238095238,12,0.5714285714285714,1,0.09090909090909091,3,0.2727272727272727,0,0.0,0,0.0,10,0.9090909090909091,0.5379343527100705,0.3665859564165013,0.2756692347313362,0.14237288135591533,11,11,29.205000000000382,1.0632368703108415,0.0,1.0,0.1818181818181818,-0.09090909090909091,-0.09090909090909091,INSUFFICIENT_SAMPLE,SMALL_SAMPLE,C10_15m_htf_D_boundary,15m,POLICY_D,boundary,beyond_sweep,,,,2R primary research target; opposite liquidity tracked,,"{""RETAINED"": 21}",21,"[""INSUFFICIENT_SAMPLE""]",10
