label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,htf_group,n_setups,axis,value,htf_policy,trades_retained_setups,pct_opportunities_retained,sample_quality_setups
aligned_both,37,111,111,63,6,42,0,0,0.05405405405405406,0.5675675675675675,69,0.6216216216216216,21,0.3333333333333333,17,0.2698412698412698,4,0.06349206349206349,0,0.0,42,0.6666666666666666,0.7092480397372778,0.4613997113997134,0.7042608728540389,0.3654909437559324,63,63,20.649999999999636,1.1539415115662115,0.49999999999988604,1.0,-0.06349206349206349,-0.20634920634920634,-0.3333333333333333,MODERATE_SAMPLE,LARGER_SAMPLE,aligned_both,37,,,,,,
aligned_daily_only,34,102,102,65,0,37,0,0,0.0,0.6372549019607843,65,0.6372549019607843,30,0.46153846153846156,20,0.3076923076923077,1,0.015384615384615385,1,0.015384615384615385,35,0.5384615384615384,0.7440443933257082,0.5789667218238835,0.8897677299598078,0.5783009211873119,65,65,24.979999999999563,1.795891750896635,0.4999999999999907,1.0,-0.15384615384615385,-0.4307692307692308,-0.4153846153846154,MODERATE_SAMPLE,LARGER_SAMPLE,aligned_daily_only,34,,,,,,
aligned_h4_only,51,153,152,88,8,56,1,0,0.05263157894736842,0.5789473684210527,96,0.631578947368421,41,0.4659090909090909,39,0.4431818181818182,22,0.25,9,0.10227272727272728,47,0.5340909090909091,1.36823653359076,0.7584663468341277,1.3747891916782866,0.8432856318362323,88,88,14.330000000000382,1.8649830448796552,0.5,1.0,-0.022727272727272707,0.034090909090909116,-0.15909090909090906,MODERATE_SAMPLE,LARGER_SAMPLE,aligned_h4_only,51,,,,,,
canonical:aligned_bearish,75,225,225,126,8,91,0,0,0.035555555555555556,0.56,134,0.5955555555555555,45,0.35714285714285715,47,0.373015873015873,16,0.12698412698412698,4,0.031746031746031744,81,0.6428571428571429,0.9630665637867435,0.6671097820108438,0.711903141488564,0.48132577393220266,126,126,21.434999999999945,1.2670513044049592,0.49999999999825095,0.8095238095240158,0.015873015873015872,-0.1031746031746032,-0.2619047619047619,LARGER_SAMPLE,LARGER_SAMPLE,canonical:aligned_bearish,75,,,,,,
canonical:aligned_bullish,1,3,3,3,0,0,0,0,0.0,1.0,3,1.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.6192722895203505,0.6178521617851871,1.0579308620819734,1.057880055788,3,3,14.340000000000146,3.7984658298465623,0.5000000000004372,1.0,-1.0,-1.0,-1.0,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,canonical:aligned_bullish,1,,,,,,
canonical:mixed,58,174,174,110,2,62,0,0,0.011494252873563218,0.632183908045977,112,0.6436781609195402,51,0.4636363636363636,45,0.4090909090909091,13,0.11818181818181818,3,0.02727272727272727,59,0.5363636363636364,1.0487934687083118,0.6997105367879347,1.0154265591293063,0.6983494530584125,110,110,19.02500000000009,1.6214689265537237,0.5,1.0,-0.05454545454545451,-0.22727272727272727,-0.38181818181818183,LARGER_SAMPLE,LARGER_SAMPLE,canonical:mixed,58,,,,,,
canonical:partial,55,165,160,96,10,55,4,0,0.0625,0.6,106,0.6625,45,0.46875,31,0.3229166666666667,21,0.21875,18,0.1875,51,0.53125,1.3629186187688833,0.607666721619445,1.120816578055865,0.8893216499117291,96,96,17.81999999999971,2.499909812409943,0.499999999999733,1.0,-0.14583333333333331,-0.03125,0.09375,MODERATE_SAMPLE,LARGER_SAMPLE,canonical:partial,58,,,,,,
canonical:unknown,4,12,12,9,3,0,0,0,0.25,0.75,12,1.0,9,1.0,2,0.2222222222222222,0,0.0,0,0.0,0,0.0,0.7648568708684502,0.7372159090909206,1.1241211288455997,1.1129900076863428,9,9,16.9074999999998,2.74823738757288,0.4910586552217451,0.7149532710281129,-0.7777777777777778,-1.0,-1.0,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,canonical:unknown,4,,,,,,
neutral_or_unknown,32,96,92,62,7,24,3,0,0.07608695652173914,0.6739130434782609,69,0.75,34,0.5483870967741935,19,0.3064516129032258,11,0.1774193548387097,11,0.1774193548387097,28,0.45161290322580644,1.3600561334739554,0.6175332065079283,0.8160653522922646,1.0272764430823198,62,62,16.335000000000946,1.9053186634893984,0.49999999999948397,1.0,-0.2419354838709677,-0.19354838709677413,-0.016129032258064502,MODERATE_SAMPLE,MODERATE_SAMPLE,neutral_or_unknown,35,,,,,,
opposed_both,39,117,117,66,2,49,0,0,0.017094017094017096,0.5641025641025641,68,0.5811965811965812,27,0.4090909090909091,30,0.45454545454545453,12,0.18181818181818182,4,0.06060606060606061,39,0.5909090909090909,1.189720869730943,0.899502122309101,0.7349265670303111,0.6202777970857606,66,66,21.329999999999927,1.8941076003415684,0.413043478260626,0.6905766526020002,0.045454545454545414,-0.04545454545454547,-0.2272727272727273,MODERATE_SAMPLE,LARGER_SAMPLE,opposed_both,39,,,,,,
