setup_id,entry_mode,parent_bar_time,kind,result,parent_timeframe,child_timeframe,entry_price,stop_price,direction,child_bars_used,entry_first_ts,stop_first_ts,note
OANDA:XAUUSD|London|2025-08-15|low|1755261000|exec:5m,first_touch,1755282000,entry_stop,RESOLVED_NO_STOP,5m,1m,3336.29,3333.64,bullish,5,1755282060,,
OANDA:XAUUSD|London|2025-08-15|low|1755261000|exec:5m,ce,1755283500,entry_stop,RESOLVED_NO_STOP,5m,1m,3336.1800000000003,3333.64,bullish,5,1755283620,,
OANDA:XAUUSD|London|2025-08-21|high|1755779700|exec:5m,first_touch,1755787800,entry_stop,RESOLVED_NO_STOP,5m,1m,3344.07,3345.17,bearish,2,1755788040,,
OANDA:XAUUSD|London|2025-08-21|high|1755779700|exec:5m,ce,1755788100,entry_stop,RESOLVED_NO_STOP,5m,1m,3344.27,3345.17,bearish,5,1755788100,,
OANDA:XAUUSD|Asia|2025-08-28|low|1756452300|exec:5m,first_touch,1756464300,entry_stop,RESOLVED_NO_STOP,5m,1m,3406.98,3406.89,bullish,5,1756464300,,
OANDA:XAUUSD|Asia|2025-09-21|high|1758529500|exec:5m,first_touch,1758545100,entry_stop,RESOLVED_NO_STOP,5m,1m,3719.89,3720.07,bearish,5,1758545340,,
OANDA:XAUUSD|Asia|2025-09-21|high|1758529500|exec:5m,ce,1758545400,entry_stop,STILL_AMBIGUOUS,5m,1m,3719.955,3720.07,bearish,5,1758545400,1758545400,entry_and_stop_inside_same_1m_candle;_no_tick_ordering
OANDA:XAUUSD|Asia|2025-09-25|high|1758876000|exec:5m,ce,1758886500,entry_stop,RESOLVED_NO_STOP,5m,1m,3751.8599999999997,3755.28,bearish,5,1758886500,,
OANDA:XAUUSD|London|2025-10-01|low|1759329900|exec:5m,first_touch,1759344000,entry_stop,RESOLVED_NO_STOP,5m,1m,3858.51,3856.43,bullish,5,1759344240,,
OANDA:XAUUSD|Asia|2025-10-02|high|1759476000|exec:5m,first_touch,1759491900,entry_stop,RESOLVED_NO_STOP,5m,1m,3862.82,3863.03,bearish,5,1759492140,,
OANDA:XAUUSD|London|2025-10-15|high|1760575800|exec:5m,ce,1760594700,entry_stop,STILL_AMBIGUOUS,5m,1m,4218.59,4220.59,bearish,5,1760594880,1760594880,entry_and_stop_inside_same_1m_candle;_no_tick_ordering
OANDA:XAUUSD|Asia|2025-10-15|high|1760608800|exec:5m,first_touch,1760618700,entry_stop,RESOLVED_NO_STOP,5m,1m,4239.35,4243.39,bearish,5,1760618760,,
OANDA:XAUUSD|Asia|2025-10-15|high|1760608800|exec:5m,boundary,1760618700,entry_stop,RESOLVED_NO_STOP,5m,1m,4239.29,4243.39,bearish,5,1760618760,,
OANDA:XAUUSD|Asia|2025-10-15|high|1760608800|exec:5m,ce,1760618700,entry_stop,RESOLVED_NO_STOP,5m,1m,4239.32,4243.39,bearish,5,1760618760,,
OANDA:XAUUSD|Asia|2025-10-26|low|1762747500|exec:5m,first_touch,1763126700,entry_stop,RESOLVED_NO_STOP,5m,1m,4056.11,4052.83,bullish,5,1763126940,,
OANDA:XAUUSD|Asia|2025-10-26|low|1762747500|exec:5m,boundary,1763126700,entry_stop,RESOLVED_NO_STOP,5m,1m,4057.87,4052.83,bullish,5,1763126940,,
OANDA:XAUUSD|Asia|2025-10-26|low|1762747500|exec:5m,ce,1763126700,entry_stop,RESOLVED_NO_STOP,5m,1m,4056.99,4052.83,bullish,5,1763126940,,
OANDA:XAUUSD|London|2025-10-29|low|1761799200|exec:5m,first_touch,1761828300,entry_stop,STILL_AMBIGUOUS,5m,1m,3974.83,3972.53,bullish,5,1761828420,1761828420,entry_and_stop_inside_same_1m_candle;_no_tick_ordering
OANDA:XAUUSD|London|2025-10-29|low|1761799200|exec:5m,boundary,1761828300,entry_stop,ENTRY_THEN_STOP,5m,1m,3976.16,3972.53,bullish,5,1761828300,1761828420,
OANDA:XAUUSD|London|2025-10-29|low|1761799200|exec:5m,ce,1761828300,entry_stop,STILL_AMBIGUOUS,5m,1m,3975.495,3972.53,bullish,5,1761828420,1761828420,entry_and_stop_inside_same_1m_candle;_no_tick_ordering
OANDA:XAUUSD|Asia|2025-12-02|low|1764753300|exec:5m,boundary,1764780900,entry_stop,STILL_AMBIGUOUS,5m,1m,4201.35,4199.89,bullish,5,1764780960,1764780960,entry_and_stop_inside_same_1m_candle;_no_tick_ordering
OANDA:XAUUSD|Asia|2025-12-02|low|1764753300|exec:5m,ce,1764780900,entry_stop,STILL_AMBIGUOUS,5m,1m,4200.530000000001,4199.89,bullish,5,1764780960,1764780960,entry_and_stop_inside_same_1m_candle;_no_tick_ordering
OANDA:XAUUSD|London|2025-12-04|high|1764857700|exec:5m,first_touch,1764875700,entry_stop,RESOLVED_NO_STOP,5m,1m,4205.93,4206.95,bearish,5,1764875880,,
OANDA:XAUUSD|London|2025-12-04|high|1764857700|exec:5m,ce,1764876300,entry_stop,RESOLVED_NO_STOP,5m,1m,4206.08,4206.95,bearish,5,1764876480,,
