bars_5m,contract_symbol,exchange,first_seen,last_seen,root,tick_size
553,GCQ5,GLBX,1754007300,1756307700,GC,0.1
3828,GCU5,GLBX,1754006400,1758823800,GC,0.1
11683,GCV5,GLBX,1754006400,1761663600,GC,0.1
6589,GCX5,GLBX,1754010300,1764008700,GC,0.1
23630,GCZ5,GLBX,1754006400,1767018600,GC,0.1
10421,GCF6,GLBX,1754007900,1769452800,GC,0.1
28186,GCG6,GLBX,1754008200,1772019600,GC,0.1
14314,GCH6,GLBX,1754051400,1774533900,GC,0.1
30283,GCJ6,GLBX,1754017800,1777352400,GC,0.1
9791,GCK6,GLBX,1755227100,1779900300,GC,0.1
35386,GCM6,GLBX,1754049900,1782394200,GC,0.1
9595,GCN6,GLBX,1756767600,1785286500,GC,0.1
32389,GCQ6,GLBX,1754010000,1786734300,GC,0.1
28373,GCZ6,GLBX,1754052000,1786740900,GC,0.1
