V0_NAIVE_2SIG_FADE,V1_BAND_RECLAIM_CLOSE,V2_BAND_RECLAIM_2SIG_RETEST,V3_BAND_RECLAIM_EXT_MID,V4_RECLAIM_CANDLE_BREAK,V5_TWO_BAR_RETURN,vwap_extension_event_id
"{""triggered"": true, ""entry_price"": 3398.8, ""risk_distance"": 0.3999999999996362, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3398.1, ""risk_distance"": 1.099999999999909, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3398.590037513727, ""risk_distance"": 0.6099624862727069, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3407.2, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}",GC|2025-08-04|VWAP2S|above|1754312400
"{""triggered"": true, ""entry_price"": 3403.8, ""risk_distance"": 3.5, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3405.9, ""risk_distance"": 1.400000000000091, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3403.6611284433625, ""risk_distance"": 3.638871556637696, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3401.8500000000004, ""risk_distance"": 5.449999999999818, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3400.8, ""risk_distance"": 6.5, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3400.7, ""risk_distance"": 6.600000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}",GC|2025-08-05|VWAP2S|above|1754400600
"{""triggered"": true, ""entry_price"": 3395.5, ""risk_distance"": 1.0, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3394.6, ""risk_distance"": 1.900000000000091, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3395.433444841297, ""risk_distance"": 1.0665551587030677, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3394.2, ""risk_distance"": 2.300000000000182, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3396.0, ""risk_distance"": 0.5, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}",GC|2025-08-06|VWAP2S|above|1754484600
"{""triggered"": true, ""entry_price"": 3400.9, ""risk_distance"": 0.599999999999909, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3399.7, ""risk_distance"": 1.800000000000182, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3400.8464599017143, ""risk_distance"": 0.6535400982857027, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3398.05, ""risk_distance"": 3.449999999999818, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3406.1, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}",GC|2025-08-06|VWAP2S|above|1754488200
"{""triggered"": true, ""entry_price"": 3403.5, ""risk_distance"": 2.0, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3404.0, ""risk_distance"": 1.5, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3403.283687553086, ""risk_distance"": 2.2163124469138893, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3403.3, ""risk_distance"": 2.199999999999818, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3402.6, ""risk_distance"": 2.900000000000091, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3406.1, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}",GC|2025-08-06|VWAP2S|above|1754490000
"{""triggered"": true, ""entry_price"": 3405.3, ""risk_distance"": 3.5, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3406.1, ""risk_distance"": 2.700000000000273, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3404.6999019415675, ""risk_distance"": 4.10009805843265, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3405.75, ""risk_distance"": 3.050000000000182, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3404.9, ""risk_distance"": 3.900000000000091, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3406.1, ""risk_distance"": 2.700000000000273, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}",GC|2025-08-06|VWAP2S|above|1754490900
"{""triggered"": true, ""entry_price"": 3424.8, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3427.1, ""risk_distance"": 2.299999999999727, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3424.9037548735505, ""risk_distance"": 0.1037548735503151, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3428.15, ""risk_distance"": 3.349999999999909, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3429.1, ""risk_distance"": 4.299999999999727, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3416.5, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}",GC|2025-08-07|VWAP2S|below|1754570700
"{""triggered"": true, ""entry_price"": 3422.3, ""risk_distance"": 14.800000000000182, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3414.0, ""risk_distance"": 6.5, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3424.609380707486, ""risk_distance"": 17.109380707485798, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3418.3, ""risk_distance"": 10.800000000000182, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3424.3, ""risk_distance"": 16.800000000000182, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3416.5, ""risk_distance"": 9.0, ""outcome"": ""1R_HIT"", ""vwap_hit"": true}",GC|2025-08-07|VWAP2S|below|1754574900
"{""triggered"": true, ""entry_price"": 3384.3, ""risk_distance"": 5.699999999999818, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3386.5, ""risk_distance"": 3.5, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3384.0630526588343, ""risk_distance"": 5.936947341165705, ""outcome"": ""2R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3385.4, ""risk_distance"": 4.599999999999909, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3386.3, ""risk_distance"": 3.699999999999818, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3386.3, ""risk_distance"": 3.699999999999818, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}",GC|2025-08-11|VWAP2S|above|1754919600
"{""triggered"": true, ""entry_price"": 3378.5, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3371.7, ""risk_distance"": 6.800000000000182, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 3369.4, ""risk_distance"": 9.099999999999909, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 3369.4, ""risk_distance"": 9.099999999999909, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}",GC|2025-08-12|VWAP2S|above|1755002700
