event_family,hit_rate,horizon,mean,median,n,regime,stdev
CPI,0.5526315789473685,fwd_5m_signed,-2.3947368421052633,2.25,38,MACRO_BULLISH,26.902335032370438
CPI,0.47368421052631576,fwd_10m_signed,-2.6052631578947367,-0.375,38,MACRO_BULLISH,37.52786822285274
CPI,0.5263157894736842,fwd_15m_signed,0.3092105263157895,1.25,38,MACRO_BULLISH,45.364294235466666
CPI,0.5,fwd_30m_signed,-2.164473684210526,1.625,38,MACRO_BULLISH,49.725075623629
CPI,0.5,fwd_60m_signed,-10.953947368421053,-6.125,38,MACRO_BULLISH,68.49094387079958
CPI,0.42105263157894735,fwd_120m_signed,-2.598684210526316,-11.375,38,MACRO_BULLISH,127.60267459602159
CPI,0.42105263157894735,fwd_0930_signed,-3.460526315789474,-8.0,38,MACRO_BULLISH,55.93057039746823
CPI,0.5,fwd_1555_signed,-21.230263157894736,-3.75,38,MACRO_BULLISH,180.94074689459214
CPI,0.6,fwd_5m_signed,9.82,7.5,25,MACRO_BEARISH,33.37195828835941
CPI,0.6,fwd_10m_signed,8.81,5.75,25,MACRO_BEARISH,29.88070280297972
CPI,0.68,fwd_15m_signed,9.31,7.75,25,MACRO_BEARISH,31.123968255992036
CPI,0.56,fwd_30m_signed,15.01,4.0,25,MACRO_BEARISH,57.64193265323431
CPI,0.48,fwd_60m_signed,3.99,-0.25,25,MACRO_BEARISH,63.26252761311391
CPI,0.36,fwd_120m_signed,-12.49,-34.0,25,MACRO_BEARISH,100.61658610785798
CPI,0.52,fwd_0930_signed,7.41,3.75,25,MACRO_BEARISH,61.730498135038566
CPI,0.44,fwd_1555_signed,-8.49,-20.0,25,MACRO_BEARISH,222.39722884964192
NFP,0.5,fwd_5m_signed,-4.784722222222222,-1.875,36,MACRO_BULLISH,34.16647117717335
NFP,0.3611111111111111,fwd_10m_signed,-8.92361111111111,-7.625,36,MACRO_BULLISH,32.36053513435924
NFP,0.4166666666666667,fwd_15m_signed,-4.840277777777778,-3.875,36,MACRO_BULLISH,41.21160472259881
NFP,0.5,fwd_30m_signed,-2.8819444444444446,-1.5,36,MACRO_BULLISH,50.78407743790504
NFP,0.5277777777777778,fwd_60m_signed,-12.479166666666666,5.5,36,MACRO_BULLISH,60.908354853601345
NFP,0.5277777777777778,fwd_120m_signed,-28.993055555555557,3.25,36,MACRO_BULLISH,133.27716897960858
NFP,0.4722222222222222,fwd_0930_signed,-14.01388888888889,-1.25,36,MACRO_BULLISH,61.60190699960233
NFP,0.5277777777777778,fwd_1555_signed,-34.46527777777778,3.0,36,MACRO_BULLISH,219.5313359748964
NFP,0.34782608695652173,fwd_5m_signed,-7.5978260869565215,-6.0,23,MACRO_BEARISH,32.140802586840856
NFP,0.4782608695652174,fwd_10m_signed,-7.467391304347826,-1.25,23,MACRO_BEARISH,45.118822854806425
NFP,0.43478260869565216,fwd_15m_signed,-6.413043478260869,-2.5,23,MACRO_BEARISH,52.412484443306525
NFP,0.5217391304347826,fwd_30m_signed,1.5869565217391304,6.25,23,MACRO_BEARISH,57.781617013114854
NFP,0.5652173913043478,fwd_60m_signed,-15.152173913043478,12.0,23,MACRO_BEARISH,57.78087068410472
NFP,0.43478260869565216,fwd_120m_signed,-25.543478260869566,-39.0,23,MACRO_BEARISH,103.12488872652528
NFP,0.43478260869565216,fwd_0930_signed,-19.380434782608695,-26.75,23,MACRO_BEARISH,63.861937938041535
NFP,0.5217391304347826,fwd_1555_signed,-5.641304347826087,9.75,23,MACRO_BEARISH,263.16061621068155
