decile,feature,kind,mean_feature,n,p_reversal,quartile
,signed_flow_for_reversal,,-1849.2,5,0.4,1
,signed_flow_for_reversal,,-968.4,5,0.4,2
,signed_flow_for_reversal,,-560.4,5,0.6,3
,signed_flow_for_reversal,,636.4,5,0.4,4
1,signed_flow_for_reversal,decile,-2328.0,2,1.0,
2,signed_flow_for_reversal,decile,-1681.0,2,0.0,
3,signed_flow_for_reversal,decile,-1159.0,2,0.5,
4,signed_flow_for_reversal,decile,-973.0,2,0.0,
5,signed_flow_for_reversal,decile,-903.0,2,0.5,
6,signed_flow_for_reversal,decile,-658.0,2,1.0,
7,signed_flow_for_reversal,decile,-585.0,2,0.5,
8,signed_flow_for_reversal,decile,-224.0,2,0.5,
9,signed_flow_for_reversal,decile,256.0,2,0.0,
10,signed_flow_for_reversal,decile,1401.0,2,0.5,
,absorption_proxy,,104.2386847029387,5,0.6,1
,absorption_proxy,,189.15099566572837,5,0.4,2
,absorption_proxy,,284.64414395240055,5,0.6,3
,absorption_proxy,,386.4974166793627,5,0.2,4
1,absorption_proxy,decile,83.42397499540357,2,1.0,
2,absorption_proxy,decile,113.5477367619432,2,0.5,
3,absorption_proxy,decile,133.36084905660377,2,0.0,
4,absorption_proxy,decile,175.13702907097758,2,0.5,
5,absorption_proxy,decile,228.00461103673956,2,0.5,
6,absorption_proxy,decile,254.38590604026845,2,0.5,
7,absorption_proxy,decile,301.2093023255814,2,0.5,
8,absorption_proxy,decile,312.4492600422833,2,0.5,
9,absorption_proxy,decile,372.1393939393939,2,0.5,
10,absorption_proxy,decile,437.67003923188105,2,0.0,
,imb_for_reversal_top1,,0.25666666666666665,5,0.4,1
,imb_for_reversal_top1,,0.33333333333333337,5,0.6,2
,imb_for_reversal_top1,,0.48,5,0.6,3
,imb_for_reversal_top1,,0.6976190476190476,5,0.2,4
1,imb_for_reversal_top1,decile,0.22499999999999998,2,0.5,
2,imb_for_reversal_top1,decile,0.25,2,0.5,
