decile,feature,lift_hi_minus_lo,mean_feature,median,n,n_hi,n_lo,ok,p_reversal,p_reversal_hi,p_reversal_lo,rho
1,penetration_points,,1.375,,2,,,,0.0,,,
2,penetration_points,,4.0,,2,,,,1.0,,,
3,penetration_points,,5.125,,2,,,,1.0,,,
4,penetration_points,,9.5,,2,,,,1.0,,,
5,penetration_points,,21.25,,2,,,,0.5,,,
6,penetration_points,,37.75,,2,,,,1.0,,,
7,penetration_points,,60.25,,2,,,,0.0,,,
8,penetration_points,,68.125,,2,,,,0.0,,,
9,penetration_points,,129.625,,2,,,,0.0,,,
10,penetration_points,,252.125,,2,,,,0.0,,,
median_split,penetration_points,-0.49999999999999994,,26.375,20,10,10,True,,0.2,0.7,
spearman,penetration_points,,,,20,,,,,,,-0.49711654879788353
1,seconds_from_rth_open,,0.0,,2,,,,0.0,,,
2,seconds_from_rth_open,,0.0,,2,,,,0.0,,,
3,seconds_from_rth_open,,0.0,,2,,,,0.0,,,
4,seconds_from_rth_open,,0.0,,2,,,,0.5,,,
5,seconds_from_rth_open,,180.0,,2,,,,1.0,,,
6,seconds_from_rth_open,,2220.0,,2,,,,1.0,,,
7,seconds_from_rth_open,,4080.0,,2,,,,0.0,,,
8,seconds_from_rth_open,,5160.0,,2,,,,0.0,,,
9,seconds_from_rth_open,,7980.0,,2,,,,1.0,,,
10,seconds_from_rth_open,,14070.0,,2,,,,1.0,,,
median_split,seconds_from_rth_open,0.3,,1260.0,20,10,10,True,,0.6,0.3,
spearman,seconds_from_rth_open,,,,20,,,,,,,0.46838294250363555
1,volume_sweep_bar,,1737.5,,2,,,,0.5,,,
2,volume_sweep_bar,,2134.5,,2,,,,0.5,,,
3,volume_sweep_bar,,2817.0,,2,,,,0.5,,,
4,volume_sweep_bar,,3575.5,,2,,,,1.0,,,
5,volume_sweep_bar,,4464.5,,2,,,,1.0,,,
6,volume_sweep_bar,,5925.0,,2,,,,0.0,,,
7,volume_sweep_bar,,6523.0,,2,,,,1.0,,,
8,volume_sweep_bar,,7179.0,,2,,,,0.0,,,
9,volume_sweep_bar,,7391.5,,2,,,,0.0,,,
10,volume_sweep_bar,,8856.0,,2,,,,0.0,,,
median_split,volume_sweep_bar,-0.49999999999999994,,5001.5,20,10,10,True,,0.2,0.7,
spearman,volume_sweep_bar,,,,20,,,,,,,-0.4095948053992017
1,atr_1m_14,,8.1875,,2,,,,0.0,,,
2,atr_1m_14,,10.910714285714285,,2,,,,0.5,,,
3,atr_1m_14,,11.830357142857142,,2,,,,0.5,,,
4,atr_1m_14,,12.794642857142858,,2,,,,0.5,,,
5,atr_1m_14,,14.419642857142858,,2,,,,0.5,,,
6,atr_1m_14,,19.383928571428573,,2,,,,0.0,,,
7,atr_1m_14,,20.348214285714285,,2,,,,0.5,,,
8,atr_1m_14,,29.151785714285715,,2,,,,0.5,,,
9,atr_1m_14,,48.00892857142857,,2,,,,0.5,,,
10,atr_1m_14,,59.875,,2,,,,1.0,,,
median_split,atr_1m_14,0.09999999999999998,,16.919642857142858,20,10,10,True,,0.5,0.4,
spearman,atr_1m_14,,,,20,,,,,,,0.3224469744632013
1,penetration_over_atr,,0.05350740019668108,,2,,,,0.0,,,
2,penetration_over_atr,,0.19834369765898502,,2,,,,1.0,,,
3,penetration_over_atr,,0.340458408447077,,2,,,,1.0,,,
4,penetration_over_atr,,0.43082788671023964,,2,,,,1.0,,,
5,penetration_over_atr,,0.7902017275206309,,2,,,,1.0,,,
6,penetration_over_atr,,1.0915423757622111,,2,,,,0.5,,,
7,penetration_over_atr,,3.198204039999271,,2,,,,0.0,,,
8,penetration_over_atr,,6.58238562143775,,2,,,,0.0,,,
9,penetration_over_atr,,9.155687894992706,,2,,,,0.0,,,
10,penetration_over_atr,,21.7945612160076,,2,,,,0.0,,,
median_split,penetration_over_atr,-0.7000000000000001,,0.9783901990541447,20,10,10,True,,0.1,0.8,
spearman,penetration_over_atr,,,,20,,,,,,,-0.5316017687096022
