ambiguous,continuation,horizon_sec,n,neither,p_continuation,p_reversal,p_reversal_among_decided,reversal,side
0,0,30,5,5,0.0,0.0,,0,pdl_sweep
0,0,30,15,15,0.0,0.0,,0,pdh_sweep
0,0,30,20,20,0.0,0.0,,0,ALL
0,0,60,5,5,0.0,0.0,,0,pdl_sweep
0,0,60,15,15,0.0,0.0,,0,pdh_sweep
0,0,60,20,20,0.0,0.0,,0,ALL
1,2,180,5,2,0.4,0.0,0.0,0,pdl_sweep
0,5,180,15,2,0.3333333333333333,0.5333333333333333,0.6153846153846154,8,pdh_sweep
1,7,180,20,4,0.35,0.4,0.5333333333333333,8,ALL
1,2,300,5,1,0.4,0.2,0.3333333333333333,1,pdl_sweep
0,5,300,15,2,0.3333333333333333,0.5333333333333333,0.6153846153846154,8,pdh_sweep
1,7,300,20,3,0.35,0.45,0.5625,9,ALL
1,2,900,5,1,0.4,0.2,0.3333333333333333,1,pdl_sweep
0,5,900,15,1,0.3333333333333333,0.6,0.6428571428571429,9,pdh_sweep
1,7,900,20,2,0.35,0.5,0.5882352941176471,10,ALL
