feature,lift_hi_minus_lo,median,n,n_hi,n_lo,ok,p_reversal_hi,p_reversal_lo,spearman,stability,status
imb_for_reversal_top1,-0.19162011173184357,0.5,269,90,179,True,0.3,0.49162011173184356,-0.18475522266792146,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.19162011173184357, ""p60"": -0.19162011173184357, ""p70"": -0.17851916886157448, ""p80"": -0.2465277777777778}, ""sign"": -1}",THRESHOLD_STABLE
imb_for_reversal_top3,0.040604026845637575,0.5,269,120,149,True,0.45,0.40939597315436244,-0.06316577833117032,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": 0.040604026845637575, ""p60"": 0.0017421602787456303, ""p70"": -0.06762158560959358, ""p80"": -0.13294898672257166}, ""sign"": 1}",THRESHOLD_UNSTABLE
imb_for_reversal_top5,-0.11508200354609927,0.5,269,128,141,True,0.3671875,0.48226950354609927,-0.09556733649655509,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.11508200354609927, ""p60"": -0.04257528556593976, ""p70"": -0.1034643570952698, ""p80"": -0.0859538784067086}, ""sign"": -1}",THRESHOLD_STABLE
imb_for_reversal_top10,0.01061359867330014,0.5072463768115942,269,134,135,True,0.43283582089552236,0.4222222222222222,-0.033966250939152655,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": 0.01061359867330014, ""p60"": -0.08276420882046531, ""p70"": -0.09252645502645501, ""p80"": -0.11782945736434108}, ""sign"": 1}",THRESHOLD_UNSTABLE
signed_flow_for_reversal,-0.06373687119955779,-482.0,269,134,135,True,0.39552238805970147,0.45925925925925926,-0.036384938784665664,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": -0.06373687119955779, ""p60"": -0.02705665166724358, ""p70"": -0.09252645502645501, ""p80"": -0.11782945736434108}, ""sign"": -1}",THRESHOLD_UNSTABLE
ofi_for_reversal,-0.08209570957095708,0.0,269,101,168,True,0.37623762376237624,0.4583333333333333,-0.17377843169681095,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.08209570957095708, ""p60"": -0.08209570957095708, ""p70"": -0.08342866481451217, ""p80"": -0.1185245901639344}, ""sign"": -1}",THRESHOLD_STABLE
absorption_proxy,-0.03399668325041455,248.02898550724638,269,134,135,True,0.41044776119402987,0.4444444444444444,-0.04993232228343112,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": -0.03399668325041455, ""p60"": -0.011538017768547348, ""p70"": 0.014219576719576743, ""p80"": -0.04832041343669252}, ""sign"": 1}",THRESHOLD_UNSTABLE
executed_to_displayed,-0.04886677722498617,3582.0,269,134,135,True,0.40298507462686567,0.45185185185185184,-0.0532224693538774,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": -0.04886677722498617, ""p60"": -0.04257528556593976, ""p70"": -0.11031746031746031, ""p80"": -0.1409991386735573}, ""sign"": -1}",THRESHOLD_UNSTABLE
slope_for_reversal,0.04035378662244338,0.5072463768115942,269,134,135,True,0.44776119402985076,0.4074074074074074,-0.003919130248178534,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": 0.04035378662244338, ""p60"": -0.04257528556593976, ""p70"": -0.02136243386243386, ""p80"": -0.07149009474590873}, ""sign"": 1}",THRESHOLD_UNSTABLE
persistence_top1_swept_side,-0.10156054931335834,1.0,269,89,180,True,0.3595505617977528,0.46111111111111114,-0.13189552378826727,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.10156054931335834, ""p60"": -0.10156054931335834, ""p70"": -0.14487236901030004, ""p80"": -0.13775100401606427}, ""sign"": -1}",THRESHOLD_STABLE
withdrawal_proxy,0.09993757802746567,0.0,269,89,180,True,0.4943820224719101,0.39444444444444443,0.11045682196065457,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": 0.09993757802746567, ""p60"": 0.09993757802746567, ""p70"": 0.16545739080950356, ""p80"": 0.1730821360802386}, ""sign"": 1}",THRESHOLD_STABLE
price_impact_per_lot,0.02548369264787176,0.004031786841182657,269,134,135,True,0.44029850746268656,0.4148148148148148,0.04993232228343112,"{""ok"": true, ""stable"": false, ""lifts"": {""p50"": 0.02548369264787176, ""p60"": 0.0039806161301488285, ""p70"": 0.032010582010582045, ""p80"": 0.09069767441860466}, ""sign"": 1}",THRESHOLD_UNSTABLE
