bucket,feature,kind,lift_hi_minus_lo,max_feature,mean_feature,median,min_feature,n,n_hi,n_lo,ok,p_reversal,p_reversal_hi,p_reversal_lo,spearman,stability,wilson_hi,wilson_lo
,penetration_points,median_split,-0.4206191265892759,,,20.0,,269,134,135,True,,0.21641791044776118,0.6370370370370371,-0.4481037317356604,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.4206191265892759, ""p60"": -0.4150224991346486, ""p70"": -0.4483465608465608, ""p80"": -0.46537467700258395}, ""sign"": -1}",,
1,penetration_points,quintile,,4.75,2.5235849056603774,,0.25,53,,,,0.660377358490566,,,,,0.773131371425709,0.5259453611082096
2,penetration_points,quintile,,10.75,7.439814814814815,,4.75,54,,,,0.6296296296296297,,,,,0.745768102923745,0.49627222791081016
3,penetration_points,quintile,,29.75,20.333333333333332,,10.75,54,,,,0.5,,,,,0.628856380110767,0.37114361988923295
4,penetration_points,quintile,,99.0,60.7962962962963,,30.0,54,,,,0.2962962962962963,,,,,0.42827825173788586,0.19137265695067046
5,penetration_points,quintile,,868.75,240.65277777777777,,105.5,54,,,,0.05555555555555555,,,,,0.15107451463482943,0.019072922503838907
,penetration_over_atr,median_split,-0.37600884466556106,,,1.095846645367412,,269,134,135,True,,0.23880597014925373,0.6148148148148148,-0.45035872003753,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.37600884466556106, ""p60"": -0.3995038652359525, ""p70"": -0.5017195767195768, ""p80"": -0.48854435831180015}, ""sign"": -1}",,
1,penetration_over_atr,quintile,,0.28129829984544047,0.1368917408337913,,0.015659955257270694,53,,,,0.660377358490566,,,,,0.773131371425709,0.5259453611082096
2,penetration_over_atr,quintile,,0.7534722222222222,0.5080380832342898,,0.2923433874709977,54,,,,0.6296296296296297,,,,,0.745768102923745,0.49627222791081016
3,penetration_over_atr,quintile,,2.8843373493975903,1.3223077889451662,,0.7550274223034735,54,,,,0.46296296296296297,,,,,0.5939487298374504,0.33689688992410527
4,penetration_over_atr,quintile,,9.47424511545293,5.967102994648747,,2.961892247043364,54,,,,0.35185185185185186,,,,,0.4851541618220226,0.23822831722420018
5,penetration_over_atr,quintile,,69.89942528735632,20.847061833303865,,9.686777920410783,54,,,,0.037037037037037035,,,,,0.12535409343403314,0.010216153585413057
,penetration_over_median_range,median_split,-0.2898550724637682,,,0.40734265734265734,,138,69,69,True,,0.42028985507246375,0.7101449275362319,-0.22090090524811262,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.2898550724637682, ""p60"": -0.3049288061336254, ""p70"": -0.2836308775458889, ""p80"": -0.19619619619619627}, ""sign"": -1}",,
1,penetration_over_median_range,quintile,,0.1044776119402985,0.06443235155749398,,0.004329004329004329,27,,,,0.5925925925925926,,,,,0.7548548662714265,0.4072638305536409
2,penetration_over_median_range,quintile,,0.2807017543859649,0.2004536218365852,,0.11627906976744186,28,,,,0.7142857142857143,,,,,0.8474618415167003,0.529403642629825
3,penetration_over_median_range,quintile,,0.5032258064516129,0.39632206557899763,,0.2857142857142857,27,,,,0.7407407407407407,,,,,0.8682979157713322,0.553210695973843
4,penetration_over_median_range,quintile,,0.8163265306122449,0.6450206003285633,,0.5121951219512195,28,,,,0.39285714285714285,,,,,0.575912739650937,0.23565451827580033
5,penetration_over_median_range,quintile,,6.15483870967742,1.5170745848598377,,0.8172043010752689,28,,,,0.39285714285714285,,,,,0.575912739650937,0.23565451827580033
,volume_sweep_bar,median_split,-0.27191818684356,,,4264.0,,269,134,135,True,,0.291044776119403,0.562962962962963,-0.2810631522074871,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": -0.27191818684356, ""p60"": -0.29087342794507903, ""p70"": -0.2704365079365079, ""p80"": -0.25684754521963826}, ""sign"": -1}",,
1,volume_sweep_bar,quintile,,2349.0,1705.5849056603774,,535.0,53,,,,0.5849056603773585,,,,,0.7073929169087134,0.45094182384453757
2,volume_sweep_bar,quintile,,3453.0,2907.3333333333335,,2383.0,54,,,,0.5555555555555556,,,,,0.6799774312440219,0.42375413911364457
3,volume_sweep_bar,quintile,,4812.0,4198.481481481482,,3461.0,54,,,,0.48148148148148145,,,,,0.6114852495153457,0.3539375603654322
4,volume_sweep_bar,quintile,,6200.0,5425.740740740741,,4856.0,54,,,,0.2962962962962963,,,,,0.42827825173788586,0.19137265695067046
5,volume_sweep_bar,quintile,,9372.0,7246.222222222223,,6224.0,54,,,,0.2222222222222222,,,,,0.34938926831587813,0.13195287989578958
,seconds_from_rth_open,median_split,0.22960708356391807,,,60.0,,269,130,139,True,,0.5461538461538461,0.31654676258992803,0.2716941434042288,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": 0.22960708356391807, ""p60"": 0.25227875850928805, ""p70"": 0.2191205862758161, ""p80"": 0.2430118798043326}, ""sign"": 1}",,
1,seconds_from_rth_open,quintile,,0.0,0.0,,0.0,53,,,,0.24528301886792453,,,,,0.3756681506217008,0.14932762711854577
2,seconds_from_rth_open,quintile,,0.0,0.0,,0.0,54,,,,0.2962962962962963,,,,,0.42827825173788586,0.19137265695067046
3,seconds_from_rth_open,quintile,,600.0,114.44444444444444,,0.0,54,,,,0.42592592592592593,,,,,0.5583750215365371,0.30331621798657443
4,seconds_from_rth_open,quintile,,4320.0,2148.8888888888887,,660.0,54,,,,0.5370370370370371,,,,,0.6631031100758948,0.4060512701625496
5,seconds_from_rth_open,quintile,,22440.0,11180.0,,4320.0,54,,,,0.6296296296296297,,,,,0.745768102923745,0.49627222791081016
,atr_1m_14,median_split,0.1147042564953013,,,13.696428571428571,,269,134,135,True,,0.48507462686567165,0.37037037037037035,0.15139433995345503,"{""ok"": true, ""stable"": true, ""lifts"": {""p50"": 0.1147042564953013, ""p60"": 0.15916695511711082, ""p70"": 0.1743386243386244, ""p80"": 0.16020671834625327}, ""sign"": 1}",,
1,atr_1m_14,quintile,,8.196428571428571,6.317385444743936,,2.6964285714285716,53,,,,0.33962264150943394,,,,,0.4740546388917903,0.22686862857429074
2,atr_1m_14,quintile,,11.464285714285714,9.822089947089948,,8.25,54,,,,0.35185185185185186,,,,,0.4851541618220226,0.23822831722420018
3,atr_1m_14,quintile,,15.642857142857142,13.636574074074074,,11.553571428571429,54,,,,0.3888888888888889,,,,,0.5221194341849167,0.2704174250997505
4,atr_1m_14,quintile,,21.857142857142858,18.90277777777778,,15.857142857142858,54,,,,0.5,,,,,0.628856380110767,0.37114361988923295
5,atr_1m_14,quintile,,70.57142857142857,33.09292328042328,,21.910714285714285,54,,,,0.5555555555555556,,,,,0.6799774312440219,0.42375413911364457
