ambiguous,continuation,n,neither,p_reversal,p_reversal_among_decided,p_reversal_unresolved_as_fail,p_reversal_wilson_hi,p_reversal_wilson_lo,reversal,slice,unresolved
15,66,185,38,0.3567567567567568,0.5,0.3567567567567568,0.42805806850643596,0.29128343251876193,66,open_30m,53
1,5,22,4,0.5454545454545454,0.7058823529411765,0.5454545454545454,0.7307998556799515,0.34659473289041554,12,open_60m,5
4,12,52,4,0.6153846153846154,0.7272727272727273,0.6153846153846154,0.7352972866511478,0.47959626940741784,32,midday,8
2,1,10,2,0.5,0.8333333333333334,0.5,0.7634104063845126,0.23658959361548731,5,afternoon,4
15,66,185,38,0.3567567567567568,0.5,0.3567567567567568,0.42805806850643596,0.29128343251876193,66,in_open_30m,53
7,18,84,10,0.5833333333333334,0.7313432835820896,0.5833333333333334,0.6828533023500432,0.4765244867612664,49,not_in_open_30m,17
16,71,207,42,0.37681159420289856,0.5234899328859061,0.37681159420289856,0.44450546471571517,0.3136067863770483,78,in_open_60m,58
6,13,62,6,0.5967741935483871,0.74,0.5967741935483871,0.7097531708834752,0.4725024243632989,37,not_in_open_60m,12
4,12,58,10,0.5517241379310345,0.7272727272727273,0.5517241379310345,0.6725034870705885,0.4245185822161052,32,aligned_open_30m,14
3,4,24,0,0.7083333333333334,0.8095238095238095,0.7083333333333334,0.8508553966583573,0.508319363412903,17,against_open_30m,3
