candidate,exp_r,full_exp_pts,full_wr,holdout_exp_r,holdout_n,max_dd,n_resolved,pf,reclaim_mode,target_r,wr
A,-0.0813672846302144,-0.3867469879518069,0.46987951807228917,-0.2799080247632875,19,218.5,83,0.9473382003117055,range_1m,1.0,0.46987951807228917
A,-0.02809252992006597,0.8568181818181819,0.3977272727272727,-0.33721493913539335,22,158.40000000000003,88,1.1067081800169827,range_1m,1.5,0.3977272727272727
A,0.07716137815223179,2.7944444444444443,0.36666666666666664,-0.36820559395559366,23,123.3999999999998,90,1.3385381612599274,range_1m,2.0,0.36666666666666664
A,0.006096563337416963,2.658333333333333,0.25555555555555554,-0.3247273330860284,23,168.7999999999999,90,1.2757448279836339,range_1m,3.0,0.25555555555555554
B,-0.1396270321670106,-2.1756097560975607,0.43902439024390244,-0.23805106317606275,18,257.79999999999984,82,0.7610820945493505,close_1m,1.0,0.43902439024390244
B,-0.08800086798084744,-0.9936046511627906,0.37209302325581395,-0.3040664441735867,21,206.55000000000007,86,0.8990310764504313,close_1m,1.5,0.37209302325581395
B,0.003961272958111207,0.9477272727272726,0.3409090909090909,-0.33797251489296914,22,162.25000000000003,88,1.0944935418082937,close_1m,2.0,0.3409090909090909
B,-0.01190046946613122,0.871022727272727,0.25,-0.2925179694384236,22,176.70000000000002,88,1.076500823394381,close_1m,3.0,0.25
C,0.19101923677807656,4.497368421052632,0.6052631578947368,0.3148908804767553,6,84.50000000000001,38,1.7724293785310736,close_5m,1.0,0.6052631578947368
C,0.42786134204123444,8.878947368421052,0.5789473684210527,0.6482242138100885,6,110.00000000000001,38,2.4406490179333904,close_5m,1.5,0.5789473684210527
C,0.2548657108366086,5.675,0.425,0.9815575471434219,6,166.20000000000005,40,1.6587347649448636,close_5m,2.0,0.425
C,0.23866146064526336,7.6170731707317065,0.3170731707317073,0.981557547143422,6,146.40000000000003,41,1.8041714947856313,close_5m,3.0,0.3170731707317073
