candidate,contract,direction,entry_adverse_ticks,entry_fill,entry_theo,entry_ts,event_id,exit_px,exit_ts,expiry_sec,extras,first_of_day,opening_bar,outcome,penetration_points,points,points_after_cost,r_after_cost,r_multiple,reclaim_lag_sec,reclaim_mode,reclaim_ts,risk_points,risk_usd,seconds_from_rth_open,session_bucket,side,sl_buffer_ticks,status,stop,target,target_r,trading_date
B,NQU5,LONG,1.0,22015.0,22014.75,1750181400,NQ|NQU5|PDL|2025-06-17|1750181340,22010.5,1750181400,300,{},True,False,STOP_HIT,3.25,-4.5,-4.7,-1.0444444444444445,-1.0,0,close_1m,1750181400,4.5,90.0,14340,1130_1330,pdl_sweep,1,ENTERED,22010.5,22021.75,1.5,2025-06-17
B,NQU5,LONG,1.0,21919.75,21919.5,1750273080,NQ|NQU5|PDL|2025-06-18|1750273020,21908.75,1750273080,300,{},True,False,STOP_HIT,0.5,-11.0,-11.2,-1.018181818181818,-1.0,0,close_1m,1750273080,11.0,220.0,19620,1330_1530,pdl_sweep,1,ENTERED,21908.75,21936.25,1.5,2025-06-18
B,NQU5,SHORT,1.0,22067.0,22067.25,1750426320,NQ|NQU5|PDH|2025-06-20|1750426260,22098.25,1750426320,300,{},True,False,STOP_HIT,0.25,-31.25,-31.45,-1.0064,-1.0,0,close_1m,1750426320,31.25,625.0,60,0930_1000,pdh_sweep,1,ENTERED,22098.25,22020.125,1.5,2025-06-20
B,NQU5,LONG,1.0,21784.75,21784.5,1750685700,NQ|NQU5|PDL|2025-06-23|1750685640,21824.5,1750685760,300,{},True,False,TARGET_HIT,6.5,39.75,39.55,1.4924528301886792,1.5,0,close_1m,1750685700,26.5,530.0,240,0930_1000,pdl_sweep,1,ENTERED,21758.25,21824.5,1.5,2025-06-23
B,NQU5,SHORT,1.0,22537.5,22537.75,1750944780,NQ|NQU5|PDH|2025-06-26|1750944600,22493.625,1750945680,300,{},True,True,TARGET_HIT,18.25,43.875,43.675,1.493162393162393,1.5,120,close_1m,1750944780,29.25,585.0,0,0930_1000,pdh_sweep,1,ENTERED,22566.75,22493.625,1.5,2025-06-26
B,NQU5,LONG,1.0,22793.75,22793.5,1751377500,NQ|NQU5|PDL|2025-07-01|1751377440,22814.75,1751377680,300,{},True,False,TARGET_HIT,1.0,21.0,20.8,1.4857142857142858,1.5,0,close_1m,1751377500,14.0,280.0,840,0930_1000,pdl_sweep,1,ENTERED,22779.75,22814.75,1.5,2025-07-01
B,NQU5,SHORT,1.0,22841.5,22841.75,1751483100,NQ|NQU5|PDH|2025-07-02|1751483040,22823.5,1751483760,300,{},True,False,TARGET_HIT,5.0,18.0,17.8,1.4833333333333334,1.5,0,close_1m,1751483100,12.0,240.0,20040,1330_1530,pdh_sweep,1,ENTERED,22853.5,22823.5,1.5,2025-07-02
B,NQU5,LONG,1.0,22946.75,22946.5,1751895480,NQ|NQU5|PDL|2025-07-07|1751895180,22917.75,1751895600,300,{},True,False,STOP_HIT,12.25,-29.0,-29.2,-1.006896551724138,-1.0,240,close_1m,1751895480,29.0,580.0,180,0930_1000,pdl_sweep,1,ENTERED,22917.75,22990.25,1.5,2025-07-07
B,NQU5,LONG,1.0,22926.0,22925.75,1752156120,NQ|NQU5|PDL|2025-07-10|1752156060,22942.125,1752156120,300,{},True,False,TARGET_HIT,4.25,16.125,15.925,1.4813953488372094,1.5,0,close_1m,1752156120,10.75,215.0,1860,1000_1130,pdl_sweep,1,ENTERED,22915.25,22942.125,1.5,2025-07-10
B,NQU5,LONG,1.0,,,,NQ|NQU5|PDL|2025-07-11|1752241020,,,300,{},True,False,,7.5,,,,,,close_1m,,,,420,0930_1000,pdl_sweep,1,EXPIRED,,,1.5,2025-07-11
B,NQU5,LONG,1.0,22869.0,22868.75,1752500640,NQ|NQU5|PDL|2025-07-14|1752500580,22854.0,1752500640,300,{},True,False,STOP_HIT,8.75,-15.0,-15.2,-1.0133333333333332,-1.0,0,close_1m,1752500640,15.0,300.0,780,0930_1000,pdl_sweep,1,ENTERED,22854.0,22891.5,1.5,2025-07-14
B,NQU5,LONG,1.0,23053.75,23053.5,1752672840,NQ|NQU5|PDL|2025-07-16|1752672660,23041.5,1752672840,300,{},True,False,STOP_HIT,8.25,-12.25,-12.45,-1.0163265306122449,-1.0,120,close_1m,1752672840,12.25,245.0,60,0930_1000,pdl_sweep,1,ENTERED,23041.5,23072.125,1.5,2025-07-16
B,NQU5,SHORT,1.0,23081.75,23082.0,1752759180,NQ|NQU5|PDH|2025-07-17|1752759000,23118.5,1752759720,300,{},True,True,STOP_HIT,18.25,-36.75,-36.95,-1.0054421768707484,-1.0,120,close_1m,1752759180,36.75,735.0,0,0930_1000,pdh_sweep,1,ENTERED,23118.5,23026.625,1.5,2025-07-17
B,NQU5,SHORT,1.0,,,,NQ|NQU5|PDH|2025-07-21|1753104960,,,300,{},True,False,,13.5,,,,,,close_1m,,,,360,0930_1000,pdh_sweep,1,EXPIRED,,,1.5,2025-07-21
B,NQU5,LONG,1.0,,,,NQ|NQU5|PDL|2025-07-22|1753191900,,,300,{},True,False,,1.75,,,,,,close_1m,,,,900,0930_1000,pdl_sweep,1,EXPIRED,,,1.5,2025-07-22
B,NQU5,SHORT,1.0,23422.25,23422.5,1753457460,NQ|NQU5|PDH|2025-07-25|1753457400,23411.375,1753457760,300,{},True,False,TARGET_HIT,4.75,10.875,10.675,1.4724137931034484,1.5,0,close_1m,1753457460,7.25,145.0,7200,1130_1330,pdh_sweep,1,ENTERED,23429.5,23411.375,1.5,2025-07-25
B,NQU5,SHORT,1.0,23396.25,23396.5,1754503860,NQ|NQU5|PDH|2025-08-06|1754503560,23402.5,1754503860,300,{},True,False,STOP_HIT,5.0,-6.25,-6.45,-1.032,-1.0,240,close_1m,1754503860,6.25,125.0,16560,1330_1530,pdh_sweep,1,ENTERED,23402.5,23386.875,1.5,2025-08-06
