bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
1,1,0.5826771653543307,ES,Q1_weakest,5,0.0023273484484319083,0.0007084849029848023,508,LONG
2,1,0.5304518664047151,ES,Q2,5,0.0070221928370911785,0.00027929406127078237,509,LONG
3,1,0.5166994106090373,ES,Q3,5,0.011730452138859648,-0.00012425911807228057,509,LONG
4,1,0.5540275049115914,ES,Q4,5,0.018227931484010956,0.00044876946482782197,509,LONG
5,1,0.550098231827112,ES,Q5_strongest,5,0.03700390585889643,0.00037161498163358506,509,LONG
1,1,0.45426829268292684,ES,Q1_weakest,5,0.0015871897922903723,-0.0005425775681319165,328,SHORT
2,1,0.4847560975609756,ES,Q2,5,0.005586650673327272,0.0002476556032364013,328,SHORT
3,1,0.4024390243902439,ES,Q3,5,0.01104560631402721,-0.0015861759616089524,328,SHORT
4,1,0.4634146341463415,ES,Q4,5,0.020034824799390748,-0.0008986728983673004,328,SHORT
5,1,0.425531914893617,ES,Q5_strongest,5,0.042442062464811726,-0.0022111232517430675,329,SHORT
1,3,0.5590551181102362,ES,Q1_weakest,5,0.0023349233034853207,0.0014610823928586777,508,LONG
2,3,0.5787401574803149,ES,Q2,5,0.007026792692326712,0.0008177501385752451,508,LONG
3,3,0.5972495088408645,ES,Q3,5,0.011737219379083591,0.0015999476031450799,509,LONG
4,3,0.5826771653543307,ES,Q4,5,0.018235223993539527,0.000569218463103317,508,LONG
5,3,0.5776031434184676,ES,Q5_strongest,5,0.03700390585889643,0.0003754750119428608,509,LONG
1,3,0.3932926829268293,ES,Q1_weakest,5,0.0015871897922903723,-0.001730732747624644,328,SHORT
2,3,0.4329268292682927,ES,Q2,5,0.005586650673327272,-0.0005333787755966317,328,SHORT
3,3,0.375,ES,Q3,5,0.01104560631402721,-0.0036508507932304294,328,SHORT
4,3,0.4024390243902439,ES,Q4,5,0.020034824799390748,-0.00278728022222018,328,SHORT
5,3,0.4133738601823708,ES,Q5_strongest,5,0.042442062464811726,-0.006156858994243724,329,SHORT
1,5,0.5649606299212598,ES,Q1_weakest,5,0.0023349233034853207,0.001896409505112584,508,LONG
2,5,0.5787401574803149,ES,Q2,5,0.007026792692326712,0.0006082866824744635,508,LONG
3,5,0.6161417322834646,ES,Q3,5,0.011731734896279631,0.0023020653251535268,508,LONG
4,5,0.6437007874015748,ES,Q4,5,0.018228944512886685,0.0019902705175514263,508,LONG
5,5,0.5913555992141454,ES,Q5_strongest,5,0.03700390585889643,0.0015228275969986287,509,LONG
1,5,0.39634146341463417,ES,Q1_weakest,5,0.0015891631814192117,-0.0023053080377640053,328,SHORT
2,5,0.4298780487804878,ES,Q2,5,0.0056001581496715296,-0.0012185610197448557,328,SHORT
3,5,0.3567073170731707,ES,Q3,5,0.011065870954273393,-0.005091942563464836,328,SHORT
4,5,0.375,ES,Q4,5,0.020069304402615566,-0.0046657714263796885,328,SHORT
5,5,0.3475609756097561,ES,Q5_strongest,5,0.04249251188637702,-0.010795502605316028,328,SHORT
1,10,0.6331360946745562,ES,Q1_weakest,5,0.0023302871238522734,0.004991020457810801,507,LONG
2,10,0.6193293885601578,ES,Q2,5,0.007013235774240058,0.0019444868554303934,507,LONG
3,10,0.6528599605522682,ES,Q3,5,0.011705706606862754,0.004295237873636932,507,LONG
4,10,0.6469428007889546,ES,Q4,5,0.01816862523251852,0.003432205678019503,507,LONG
5,10,0.6614173228346457,ES,Q5_strongest,5,0.03689415119034469,0.005361025708828732,508,LONG
1,10,0.3932926829268293,ES,Q1_weakest,5,0.0015891631814192117,-0.004524042468507283,328,SHORT
2,10,0.3597560975609756,ES,Q2,5,0.0056001581496715296,-0.005651751292048163,328,SHORT
3,10,0.31402439024390244,ES,Q3,5,0.011065870954273393,-0.008475299364429444,328,SHORT
4,10,0.39939024390243905,ES,Q4,5,0.020069304402615566,-0.00847065493393363,328,SHORT
5,10,0.3384146341463415,ES,Q5_strongest,5,0.04249251188637702,-0.0158571566621382,328,SHORT
1,1,0.5503731343283582,ES,Q1_weakest,10,0.003781492968508841,0.00033461305270283774,536,LONG
2,1,0.5485074626865671,ES,Q2,10,0.010360450180376554,0.0002927737979303736,536,LONG
3,1,0.5671641791044776,ES,Q3,10,0.017417735592328024,0.0006650560983174293,536,LONG
4,1,0.542910447761194,ES,Q4,10,0.026471452860559117,0.0002639205553282585,536,LONG
5,1,0.5363128491620112,ES,Q5_strongest,10,0.04890808157705841,0.0003343211624544229,537,LONG
1,1,0.4666666666666667,ES,Q1_weakest,10,0.0023285216614496473,-0.0003430375906702976,300,SHORT
2,1,0.46,ES,Q2,10,0.007673604512826682,-0.00018905509866772678,300,SHORT
3,1,0.45,ES,Q3,10,0.015536949515601643,-0.0007849974462639586,300,SHORT
4,1,0.42333333333333334,ES,Q4,10,0.02630251501393289,-0.001733772430266292,300,SHORT
5,1,0.4684385382059801,ES,Q5_strongest,10,0.05843347267364073,-0.0017309592909055419,301,SHORT
1,3,0.5962616822429907,ES,Q1_weakest,10,0.003775226143453735,0.0010422518294069224,535,LONG
2,3,0.5876865671641791,ES,Q2,10,0.01034820319201089,0.0010751843714596682,536,LONG
3,3,0.5895522388059702,ES,Q3,10,0.017403582093904614,0.0011410869786381884,536,LONG
4,3,0.5895522388059702,ES,Q4,10,0.02645073478986628,0.001120056788776959,536,LONG
5,3,0.5951492537313433,ES,Q5_strongest,10,0.048876923767788905,0.001842061461757212,536,LONG
1,3,0.43,ES,Q1_weakest,10,0.0023285216614496473,-0.001584208951822474,300,SHORT
2,3,0.42,ES,Q2,10,0.007673604512826682,-0.0014074371021575538,300,SHORT
3,3,0.43666666666666665,ES,Q3,10,0.015536949515601643,-0.0017820514253823227,300,SHORT
4,3,0.4033333333333333,ES,Q4,10,0.02630251501393289,-0.0027374162113943694,300,SHORT
5,3,0.4318936877076412,ES,Q5_strongest,10,0.05843347267364073,-0.0059440374403456515,301,SHORT
1,5,0.5962616822429907,ES,Q1_weakest,10,0.003775226143453735,0.0015313586482680907,535,LONG
2,5,0.6018691588785047,ES,Q2,10,0.010341955674125167,0.0014171937108849641,535,LONG
3,5,0.6044776119402985,ES,Q3,10,0.017389501758398172,0.002112935023246002,536,LONG
4,5,0.6130841121495327,ES,Q4,10,0.02641892449084396,0.0015546976703139231,535,LONG
5,5,0.6231343283582089,ES,Q5_strongest,10,0.048851887319099896,0.0035273105457236235,536,LONG
1,5,0.4266666666666667,ES,Q1_weakest,10,0.0023285216614496473,-0.0018620154604456023,300,SHORT
2,5,0.41333333333333333,ES,Q2,10,0.007673604512826682,-0.0019060760404717488,300,SHORT
3,5,0.38333333333333336,ES,Q3,10,0.015536949515601643,-0.003477235221467945,300,SHORT
4,5,0.37333333333333335,ES,Q4,10,0.02630251501393289,-0.005649618486879614,300,SHORT
5,5,0.3654485049833887,ES,Q5_strongest,10,0.05843347267364073,-0.009718777444721396,301,SHORT
1,10,0.6142322097378277,ES,Q1_weakest,10,0.0037689673202721506,0.004274824964128602,534,LONG
2,10,0.6423220973782772,ES,Q2,10,0.010328480939815981,0.0028628950711283184,534,LONG
3,10,0.685981308411215,ES,Q3,10,0.01736835503843022,0.005224426122251024,535,LONG
4,10,0.6385767790262172,ES,Q4,10,0.0264106870689996,0.003437375409943226,534,LONG
5,10,0.6542056074766355,ES,Q5_strongest,10,0.04887694129617122,0.006020045579863619,535,LONG
1,10,0.38333333333333336,ES,Q1_weakest,10,0.0023285216614496473,-0.004417169566152996,300,SHORT
2,10,0.39666666666666667,ES,Q2,10,0.007673604512826682,-0.0051151830632092336,300,SHORT
3,10,0.38,ES,Q3,10,0.015536949515601643,-0.005730316120649965,300,SHORT
4,10,0.29,ES,Q4,10,0.02630251501393289,-0.013585843575973764,300,SHORT
5,10,0.3853820598006645,ES,Q5_strongest,10,0.05843347267364073,-0.01385953091887547,301,SHORT
1,1,0.5759717314487632,ES,Q1_weakest,20,0.006189112811801314,0.0009649587016922974,566,LONG
2,1,0.5123674911660777,ES,Q2,20,0.01656589850968846,-0.0001478695796317434,566,LONG
3,1,0.5590828924162258,ES,Q3,20,0.026557274018379085,0.00030283874123118043,567,LONG
4,1,0.5618374558303887,ES,Q4,20,0.037780553291393036,0.0006672489447211389,566,LONG
5,1,0.5485008818342152,ES,Q5_strongest,20,0.06932007350944949,0.0005048909039403028,567,LONG
1,1,0.503731343283582,ES,Q1_weakest,20,0.003695714812762829,0.00024316339280321098,268,SHORT
2,1,0.45724907063197023,ES,Q2,20,0.011544971894484581,-0.00022493567306106644,269,SHORT
3,1,0.4552238805970149,ES,Q3,20,0.021737225810153464,-0.0008173373562548586,268,SHORT
4,1,0.46096654275092935,ES,Q4,20,0.03780791831545041,-0.0006653141627559891,269,SHORT
5,1,0.39776951672862454,ES,Q5_strongest,20,0.0753726771848226,-0.003211923780036486,269,SHORT
1,3,0.6024734982332155,ES,Q1_weakest,20,0.006190037446015783,0.002130331425123027,566,LONG
2,3,0.5936395759717314,ES,Q2,20,0.016584064373788898,0.0016099281887596302,566,LONG
3,3,0.5724381625441696,ES,Q3,20,0.026575292998381513,0.0004332163843199117,566,LONG
4,3,0.6130742049469965,ES,Q4,20,0.03780588787485135,0.0018182757684978154,566,LONG
5,3,0.5724381625441696,ES,Q5_strongest,20,0.06936216626911251,0.001268082178843675,566,LONG
1,3,0.44776119402985076,ES,Q1_weakest,20,0.003695714812762829,-0.0002810874615569592,268,SHORT
