direction,entry_date,entry_fill,entry_theo,exit_date,exit_fill,exit_theo,extras,hold,hold_days,instrument,lookback,mode,n_roll_nights,overnight_points,points,points_after_cost,rv20,session_points,signal_date,signal_ret,status,vol_weight,weekend_points,year
SHORT,2010-07-06,1007.75,1008.0,2010-07-08,1058.25,1058.0,{},daily_refresh,2,ES,20,daily_refresh,0,0.75,-50.5,-50.58,0.01327263360859473,-51.25,2010-07-05,-0.03907553014057674,ENTERED,,0.0,2010
LONG,2010-07-08,1058.25,1058.0,2010-07-09,1065.0,1065.25,{},daily_refresh,1,ES,20,daily_refresh,0,0.0,6.75,6.67,0.01555334046464403,9.0,2010-07-07,0.005223171889838563,ENTERED,,0.0,2010
SHORT,2010-07-09,1065.0,1065.25,2010-07-23,1091.5,1091.25,{},daily_refresh,10,ES,20,daily_refresh,0,-1.25,-26.5,-26.58,0.013953240191925197,-21.25,2010-07-08,-0.017042837402119204,ENTERED,,2.75,2010
LONG,2010-07-23,1091.5,1091.25,2010-08-12,1078.5,1078.75,{},daily_refresh,14,ES,20,daily_refresh,0,-3.5,-13.0,-13.08,0.016554638755103077,-12.0,2010-07-22,0.013982754602656744,ENTERED,,-0.75,2010
SHORT,2010-08-12,1078.5,1078.75,2010-08-16,1074.75,1074.5,{},daily_refresh,2,ES,20,daily_refresh,0,-1.75,3.75,3.67,0.015052501625964844,4.75,2010-08-11,-0.014880952380952439,ENTERED,,0.0,2010
LONG,2010-08-16,1074.75,1074.5,2010-08-20,1072.75,1073.0,{},daily_refresh,4,ES,20,daily_refresh,0,-2.75,-2.0,-2.08,0.01367185963405739,0.25,2010-08-13,0.011756407241946931,ENTERED,,0.0,2010
SHORT,2010-08-20,1072.75,1073.0,2010-09-09,1101.25,1101.0,{},daily_refresh,14,ES,20,daily_refresh,0,-9.5,-28.5,-28.58,0.011798857508628219,-18.75,2010-08-19,-0.014479430016088202,ENTERED,,-4.75,2010
LONG,2010-09-09,1101.25,1101.0,2010-11-24,1180.75,1181.0,{},daily_refresh,54,ES,20,daily_refresh,0,27.5,79.5,79.42,0.011871303923282676,48.25,2010-09-08,0.023704392284453535,ENTERED,,20.0,2010
SHORT,2010-11-24,1180.75,1181.0,2010-11-25,1196.25,1196.0,{},daily_refresh,1,ES,20,daily_refresh,0,0.0,-15.5,-15.58,0.008870081537716795,-15.0,2010-11-23,-0.0057034220532325985,ENTERED,,0.0,2010
LONG,2010-11-25,1196.25,1196.0,2010-12-01,1176.75,1177.0,{},daily_refresh,4,ES,20,daily_refresh,0,1.5,-19.5,-19.58,0.009546376471785946,-19.25,2010-11-24,0.015064714619138275,ENTERED,,4.25,2010
SHORT,2010-12-01,1176.75,1177.0,2010-12-02,1206.5,1206.25,{},daily_refresh,1,ES,20,daily_refresh,0,0.0,-29.75,-29.83,0.010048016543968674,-27.5,2010-11-30,-0.011949685534591303,ENTERED,,0.0,2010
LONG,2010-12-02,1206.5,1206.25,2011-03-02,1300.75,1301.0,{},daily_refresh,63,ES,20,daily_refresh,0,-9.5,94.25,94.17,0.01124778222118476,100.75,2010-12-01,0.006265664160401085,ENTERED,,-20.0,2010
SHORT,2011-03-02,1300.75,1301.0,2011-03-03,1306.25,1306.0,{},daily_refresh,1,ES,20,daily_refresh,0,0.0,-5.5,-5.58,0.007919229399900857,-4.25,2011-03-01,-0.003456221198156695,ENTERED,,0.0,2011
