direction,entry_date,entry_fill,entry_theo,exit_date,exit_fill,exit_theo,extras,hold,hold_days,instrument,lookback,mode,n_roll_nights,overnight_points,points,points_after_cost,rv20,session_points,signal_date,signal_ret,status,vol_weight,weekend_points,year
SHORT,2010-08-31,1046.5,1046.75,2010-09-06,1102.25,1102.0,{},5,5,ES,60,fixed_hold,0,-0.5,-55.75,-55.83,0.012379865991594255,-54.75,2010-08-30,-0.0038122468429833134,ENTERED,1.120495046212557,-0.75,2010
LONG,2010-09-07,1102.75,1102.5,2010-09-13,1118.75,1119.0,{},5,5,ES,60,fixed_hold,0,1.0,16.0,15.92,0.014612672910017844,15.5,2010-09-06,0.01473296500920851,ENTERED,0.9548725464428505,2.0,2010
LONG,2010-09-14,1117.25,1117.0,2010-09-20,1135.75,1136.0,{},5,5,ES,60,fixed_hold,0,-1.75,18.5,18.42,0.01196805150709413,20.75,2010-09-13,0.0074274139095213965,ENTERED,1.1590507032940334,-1.75,2010
LONG,2010-09-21,1136.75,1136.5,2010-09-27,1138.5,1138.75,{},5,5,ES,60,fixed_hold,0,4.25,1.75,1.67,0.011501844975006486,-2.0,2010-09-20,0.06093859444314664,ENTERED,1.1886666585896737,5.5,2010
LONG,2010-09-28,1138.0,1137.75,2010-10-04,1134.5,1134.75,{},5,5,ES,60,fixed_hold,0,-1.0,-3.5,-3.58,0.009498889575461595,-2.0,2010-09-27,0.12943218447805682,ENTERED,1.3972826511092222,-2.5,2010
LONG,2010-10-05,1135.25,1135.0,2010-10-11,1161.75,1162.0,{},5,5,ES,60,fixed_hold,0,5.5,26.5,26.42,0.007799829265324395,21.5,2010-10-04,0.051668211306766354,ENTERED,1.658967636839922,4.0,2010
LONG,2010-10-12,1162.75,1162.5,2010-10-18,1172.25,1172.5,{},5,5,ES,60,fixed_hold,0,-5.75,9.5,9.42,0.007850167881019193,15.75,2010-10-11,0.09648502005189896,ENTERED,1.6034167064211309,-2.5,2010
LONG,2010-10-19,1174.0,1173.75,2010-10-25,1182.75,1183.0,{},5,5,ES,60,fixed_hold,0,1.75,8.75,8.67,0.007149194719708422,7.5,2010-10-18,0.05678233438485725,ENTERED,1.754300544012352,1.75,2010
LONG,2010-10-26,1182.75,1182.5,2010-11-01,1181.5,1181.75,{},5,5,ES,60,fixed_hold,0,7.25,-1.25,-1.33,0.005771660990147328,-8.0,2010-10-25,0.05436720142602525,ENTERED,2.106476950082743,5.75,2010
LONG,2010-11-02,1182.75,1182.5,2010-11-08,1216.5,1216.75,{},5,5,ES,60,fixed_hold,0,2.5,33.75,33.67,0.005354844823682668,31.75,2010-11-01,0.050444444444445846,ENTERED,2.225347578682943,-1.0,2010
LONG,2010-11-09,1217.0,1216.75,2010-11-15,1193.0,1193.25,{},5,5,ES,60,fixed_hold,0,4.0,-24.0,-24.08,0.005676027688005583,-27.5,2010-11-08,0.12923433874710022,ENTERED,2.0906705074864607,2.25,2010
LONG,2010-11-16,1194.25,1194.0,2010-11-22,1197.0,1197.25,{},5,5,ES,60,fixed_hold,0,10.5,2.75,2.67,0.006826745338521091,-7.25,2010-11-15,0.12015958695141982,ENTERED,1.736894169418476,6.5,2010
LONG,2010-11-23,1195.5,1195.25,2010-11-29,1186.5,1186.75,{},5,5,ES,60,fixed_hold,0,6.5,-9.0,-9.08,0.007931337537153757,-15.0,2010-11-22,0.14541975603922497,ENTERED,1.4653383063027117,4.25,2010
LONG,2010-11-30,1186.25,1186.0,2010-12-06,1219.75,1220.0,{},5,5,ES,60,fixed_hold,0,1.5,33.5,33.42,0.010142416821397738,32.5,2010-11-29,0.0769056261343013,ENTERED,1.124523997145334,2.25,2010
LONG,2010-12-07,1222.5,1222.25,2010-12-13,1236.0,1236.25,{},5,5,ES,60,fixed_hold,0,0.5,13.5,13.42,0.011071252757688874,13.5,2010-12-06,0.09025915996425238,ENTERED,1.0159448499062844,-7.25,2010
LONG,2010-12-14,1235.25,1235.0,2010-12-20,1241.5,1241.75,{},5,5,ES,60,fixed_hold,0,-2.5,6.25,6.17,0.01063329762203861,9.25,2010-12-13,0.08824823943662063,ENTERED,1.046741500330124,1.75,2010
LONG,2010-12-21,1241.5,1241.25,2010-12-28,1253.25,1253.5,{},5,5,ES,60,fixed_hold,0,-6.0,11.75,11.67,0.009366130995965383,18.25,2010-12-20,0.09045005488474156,ENTERED,1.1820518805959472,0.0,2010
LONG,2010-12-29,1254.0,1253.75,2011-01-04,1265.0,1265.25,{},5,5,ES,60,fixed_hold,0,-0.75,11.0,10.92,0.006751174731714531,12.25,2010-12-28,0.10464860101343931,ENTERED,1.6268371113807574,-0.75,2010
LONG,2011-01-05,1265.25,1265.0,2011-01-11,1269.5,1269.75,{},5,5,ES,60,fixed_hold,0,0.0,4.25,4.17,0.003246356335134988,4.75,2011-01-04,0.0888554216867472,ENTERED,3.2754560880934416,-2.25,2011
LONG,2011-01-12,1270.5,1270.25,2011-01-18,1293.5,1293.75,{},5,5,ES,60,fixed_hold,0,-2.25,23.0,22.92,0.0027059413616525156,25.75,2011-01-11,0.08294243070362461,ENTERED,3.9087083605008375,-1.25,2011
LONG,2011-01-19,1293.5,1293.25,2011-01-25,1287.25,1287.5,{},5,5,ES,60,fixed_hold,0,-3.25,-6.25,-6.33,0.0036192541565751952,-2.5,2011-01-18,0.09361792054099727,ENTERED,2.797455604326555,-1.0,2011
