bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
1,1,0.5521064301552107,GC,Q1_weakest,5,0.0025549681475976424,0.00034371547084045324,451,LONG
2,1,0.5199115044247787,GC,Q2,5,0.007609053022787499,0.0008433766941419626,452,LONG
3,1,0.5530973451327433,GC,Q3,5,0.013232479833763912,0.0007080054910285249,452,LONG
4,1,0.5,GC,Q4,5,0.021195554565022888,0.00025689683918755826,452,LONG
5,1,0.4557522123893805,GC,Q5_strongest,5,0.039322798323265185,-0.0003878687870316794,452,LONG
1,1,0.5,GC,Q1_weakest,5,0.0023755790625724056,9.559197250131401e-06,386,SHORT
2,1,0.5297157622739018,GC,Q2,5,0.0070679088586403475,0.0005245170481908215,387,SHORT
3,1,0.46113989637305697,GC,Q3,5,0.012941899092581944,-0.0003135114853721375,386,SHORT
4,1,0.4470284237726098,GC,Q4,5,0.020598784966436162,-0.0004922637119416069,387,SHORT
5,1,0.4728682170542636,GC,Q5_strongest,5,0.041102128890252054,-0.0005138180643694988,387,SHORT
1,3,0.5343680709534369,GC,Q1_weakest,5,0.0025549681475976424,0.0008275324883109004,451,LONG
2,3,0.5388026607538803,GC,Q2,5,0.007603665587761563,0.0013027607977503979,451,LONG
3,3,0.5530973451327433,GC,Q3,5,0.013217760695097046,0.002049547927518268,452,LONG
4,3,0.549889135254989,GC,Q4,5,0.0211697070503837,0.0013910008415033465,451,LONG
5,3,0.4756637168141593,GC,Q5_strongest,5,0.03931141065425389,-0.0010295337937229147,452,LONG
1,3,0.49222797927461137,GC,Q1_weakest,5,0.0023755790625724056,-0.0009194713372588796,386,SHORT
2,3,0.4909560723514212,GC,Q2,5,0.0070679088586403475,0.00020821646617631513,387,SHORT
3,3,0.4948186528497409,GC,Q3,5,0.012941899092581944,-7.400297903093136e-05,386,SHORT
4,3,0.46770025839793283,GC,Q4,5,0.020598784966436162,0.00010407648746635528,387,SHORT
5,3,0.46770025839793283,GC,Q5_strongest,5,0.041102128890252054,-0.0024575521528671374,387,SHORT
