direction,entry_date,entry_fill,entry_theo,exit_date,exit_fill,exit_theo,extras,hold,hold_days,instrument,lookback,mode,n_roll_nights,overnight_points,points,points_after_cost,rv20,session_points,signal_date,signal_ret,status,vol_weight,weekend_points,year
SHORT,2010-07-06,1209.6000000000001,1209.7,2010-08-10,1202.3,1202.2,{},daily_refresh,25,GC,20,daily_refresh,0,-3.299999999999727,7.300000000000182,7.260000000000182,0.010628998384594733,10.699999999999818,2010-07-05,-0.02513696422816658,ENTERED,,-3.0,2010
LONG,2010-08-10,1202.3,1202.2,2010-08-11,1205.3000000000002,1205.4,{},daily_refresh,1,GC,20,daily_refresh,0,0.0,3.0000000000002274,2.9600000000002273,0.008419359733160357,2.8999999999998636,2010-08-09,0.0038406946647742135,ENTERED,,0.0,2010
SHORT,2010-08-11,1205.3000000000002,1205.4,2010-08-13,1214.6,1214.5,{},daily_refresh,2,GC,20,daily_refresh,0,-0.09999999999990905,-9.299999999999727,-9.339999999999726,0.00801763496247433,-8.700000000000045,2010-08-10,-0.005200594353640398,ENTERED,,0.0,2010
LONG,2010-08-13,1214.6,1214.5,2010-11-15,1369.7,1369.8,{},daily_refresh,66,GC,20,daily_refresh,0,11.800000000000182,155.10000000000014,155.06000000000014,0.00830911318162902,141.89999999999986,2010-08-12,0.0038029100529100024,ENTERED,,13.099999999999909,2010
SHORT,2010-11-15,1369.7,1369.8,2010-11-17,1339.1999999999998,1339.1,{},daily_refresh,2,GC,20,daily_refresh,0,-0.10000000000013642,30.500000000000227,30.46000000000023,0.013331608563393802,30.700000000000045,2010-11-12,-0.0011680537304717964,ENTERED,,0.0,2010
LONG,2010-11-17,1339.1999999999998,1339.1,2010-11-18,1341.2,1341.3,{},daily_refresh,1,GC,20,daily_refresh,0,0.0,2.0000000000002274,1.9600000000002273,0.012471031213961899,2.0,2010-11-16,0.004123865936867421,ENTERED,,0.0,2010
SHORT,2010-11-18,1341.2,1341.3,2010-11-19,1362.3999999999999,1362.3,{},daily_refresh,1,GC,20,daily_refresh,0,0.0,-21.199999999999818,-21.239999999999817,0.012184267959477087,-21.0,2010-11-17,-0.00607722522789611,ENTERED,,0.0,2010
LONG,2010-11-19,1362.3999999999999,1362.3,2010-12-09,1384.7,1384.8,{},daily_refresh,14,GC,20,daily_refresh,0,-4.7999999999999545,22.300000000000182,22.260000000000183,0.012035626822279977,27.299999999999955,2010-11-18,0.026833496645812582,ENTERED,,-6.0,2010
SHORT,2010-12-09,1384.7,1384.8,2010-12-13,1381.6,1381.5,{},daily_refresh,2,GC,20,daily_refresh,0,0.10000000000013642,3.1000000000001364,3.0600000000001364,0.011305246771852111,-0.8000000000001819,2010-12-08,-0.01135146712358115,ENTERED,,0.0,2010
LONG,2010-12-13,1381.6,1381.5,2011-01-04,1415.1000000000001,1415.2,{},daily_refresh,15,GC,20,daily_refresh,0,-3.0,33.50000000000023,33.46000000000023,0.009354348470804425,36.700000000000045,2010-12-10,0.012644350241192814,ENTERED,,1.5000000000002274,2010
SHORT,2011-01-04,1415.1000000000001,1415.2,2011-02-15,1362.1,1362.0,{},daily_refresh,30,GC,20,daily_refresh,0,-9.499999999999773,53.00000000000023,52.96000000000023,0.007778125372485456,62.399999999999864,2011-01-03,-0.0005649717514123465,ENTERED,,-9.399999999999636,2011
LONG,2011-02-15,1362.1,1362.0,2011-03-30,1416.9,1417.0,{},daily_refresh,31,GC,20,daily_refresh,0,18.599999999999454,54.80000000000018,54.76000000000018,0.00917825709172686,36.500000000000455,2011-02-14,0.0013230429988977388,ENTERED,,19.200000000000045,2011
SHORT,2011-03-30,1416.9,1417.0,2011-04-01,1433.6,1433.5,{},daily_refresh,2,GC,20,daily_refresh,0,-0.7999999999999545,-16.699999999999818,-16.739999999999817,0.008742627945152617,-15.700000000000045,2011-03-29,-0.011785216178521796,ENTERED,,0.0,2011
LONG,2011-04-01,1433.6,1433.5,2011-04-04,1431.7,1431.8,{},daily_refresh,1,GC,20,daily_refresh,0,0.0,-1.8999999999998636,-1.9399999999998636,0.00846159120198919,-4.2999999999999545,2011-03-31,0.013002614656207667,ENTERED,,0.0,2011
SHORT,2011-04-04,1431.7,1431.8,2011-04-05,1435.3,1435.2,{},daily_refresh,1,GC,20,daily_refresh,0,0.0,-3.599999999999909,-3.639999999999909,0.008001991325056733,-3.5,2011-04-01,-0.002721373246807879,ENTERED,,0.0,2011
LONG,2011-04-05,1435.3,1435.2,2011-05-18,1485.6000000000001,1485.7,{},daily_refresh,30,GC,20,daily_refresh,0,-6.100000000000136,50.30000000000018,50.26000000000018,0.008058656692028475,56.5,2011-04-04,0.0023744674907459906,ENTERED,,-14.0,2011
SHORT,2011-05-18,1485.6000000000001,1485.7,2011-05-23,1516.8999999999999,1516.8,{},daily_refresh,3,GC,20,daily_refresh,0,-0.09999999999990905,-31.299999999999727,-31.339999999999726,0.010911603084873558,-27.799999999999955,2011-05-17,-0.006752691047669956,ENTERED,,0.0,2011
LONG,2011-05-23,1516.8999999999999,1516.8,2011-05-27,1524.3000000000002,1524.4,{},daily_refresh,4,GC,20,daily_refresh,0,0.1999999999998181,7.400000000000318,7.360000000000318,0.01134348405550944,7.300000000000182,2011-05-20,0.005781115024254602,ENTERED,,0.0,2011
