avg_hold_days,avg_loss,avg_win,expectancy_points,hit_rate,instrument,long,max_consec_losses,max_dd_points,mean_boot_hi,mean_boot_lo,median_points,n,overnight_expectancy,overnight_share_of_mean,profit_factor,session_expectancy,short,total_points,tstat,use_cost,vol_scaled,weekend_expectancy,year
5.0,15.067272727272536,22.440000000000154,6.571538461538632,0.5769230769230769,GC,"{""n"": 20, ""expectancy_points"": 8.570000000000174, ""hit_rate"": 0.65, ""total_points"": 171.40000000000347}",3,54.879999999999484,16.86769230769249,-2.663076923076767,12.010000000000183,26,-0.48076923076924827,-0.07315931171719614,2.0308917581754953,7.2923076923076975,"{""n"": 6, ""expectancy_points"": -0.08999999999984043, ""hit_rate"": 0.3333333333333333, ""total_points"": -0.5399999999990426}",170.86000000000442,1.3889399902739195,True,False,-0.28461538461539687,2010
5.0,33.068124999999824,41.510000000000204,-4.384230769230583,0.38461538461538464,GC,"{""n"": 31, ""expectancy_points"": -1.3141935483869058, ""hit_rate"": 0.41935483870967744, ""total_points"": -40.73999999999408}",6,476.13999999999703,8.654230769230956,-17.611153846153663,-8.88999999999968,52,-0.848076923076917,0.1934380208790313,0.7845546126367996,-3.2961538461538478,"{""n"": 21, ""expectancy_points"": -8.916190476190296, ""hit_rate"": 0.3333333333333333, ""total_points"": -187.2399999999962}",-227.9799999999903,-0.6003429327858408,True,False,-0.9865384615384476,2011
5.0,24.049999999999788,28.364545454545645,-1.8746153846151805,0.4230769230769231,GC,"{""n"": 26, ""expectancy_points"": -0.9399999999997934, ""hit_rate"": 0.4230769230769231, ""total_points"": -24.43999999999463}",8,351.4599999999961,7.098461538461737,-10.139999999999795,-4.68999999999975,52,-1.328846153846152,0.7088633565860426,0.8648925848925985,-0.30576923076921064,"{""n"": 26, ""expectancy_points"": -2.8092307692305676, ""hit_rate"": 0.4230769230769231, ""total_points"": -73.03999999999475}",-97.47999999998939,-0.4254856404738947,True,False,-1.2269230769230803,2012
5.0,26.849999999999824,28.128181818182018,-3.5899999999998147,0.4230769230769231,GC,"{""n"": 17, ""expectancy_points"": -18.657647058823354, ""hit_rate"": 0.35294117647058826, ""total_points"": -317.17999999999705}",5,274.879999999993,6.046538461538641,-15.013076923076747,-6.539999999999886,52,-0.13076923076925612,0.03642596957361083,0.7682433271260191,-3.2192307692307405,"{""n"": 35, ""expectancy_points"": 3.7285714285716196, ""hit_rate"": 0.45714285714285713, ""total_points"": 130.50000000000668}",-186.67999999999037,-0.6956391120558398,True,False,-0.09807692307692133,2013
5.0,21.483999999999806,18.82153846153864,-0.936078431372362,0.5098039215686274,GC,"{""n"": 26, ""expectancy_points"": -1.0207692307690466, ""hit_rate"": 0.5384615384615384, ""total_points"": -26.53999999999521}",7,200.27999999999264,5.171764705882548,-8.751764705882183,0.16000000000004547,51,-0.42352941176466397,0.4524507750314658,0.9111152485570827,-0.2725490196078806,"{""n"": 25, ""expectancy_points"": -0.8479999999998101, ""hit_rate"": 0.48, ""total_points"": -21.199999999995253}",-47.73999999999047,-0.26330251721696324,True,False,-0.24509803921568182,2014
5.0,15.779285714285521,17.918333333333532,-0.2265384615382651,0.46153846153846156,GC,"{""n"": 18, ""expectancy_points"": -3.462222222222027, ""hit_rate"": 0.3888888888888889, ""total_points"": -62.31999999999649}",6,121.41999999999328,6.277307692307881,-5.132307692307485,-2.93999999999975,52,-0.0884615384615542,0.39049235993249637,0.9733375582816759,0.10192307692310666,"{""n"": 34, ""expectancy_points"": 1.4864705882354912, ""hit_rate"": 0.5, ""total_points"": 50.5400000000067}",-11.779999999989784,-0.07552579439274458,True,False,0.1461538461538444,2015
5.0,21.106666666666428,22.60166666666685,-0.5380392156860617,0.47058823529411764,GC,"{""n"": 27, ""expectancy_points"": -0.18814814814793712, ""hit_rate"": 0.48148148148148145, ""total_points"": -5.079999999994302}",6,267.39999999999196,7.1050980392158625,-8.596862745097845,-5.339999999999727,51,-0.2529411764706346,0.4701166180760738,0.9518495121780209,-0.04509803921560959,"{""n"": 24, ""expectancy_points"": -0.9316666666664519, ""hit_rate"": 0.4583333333333333, ""total_points"": -22.359999999994848}",-27.439999999989148,-0.13776095230530572,True,False,-0.11960784313724866,2016
5.0,16.83642857142839,14.94333333333352,-2.1688461538459705,0.46153846153846156,GC,"{""n"": 28, ""expectancy_points"": 0.027857142857333476, ""hit_rate"": 0.5357142857142857, ""total_points"": 0.7800000000053373}",6,180.53999999999593,2.9003846153847928,-7.728461538461332,-2.3899999999997954,52,-0.015384615384605765,0.007093456286571798,0.7607653472487554,-1.9134615384615472,"{""n"": 24, ""expectancy_points"": -4.7316666666664915, ""hit_rate"": 0.375, ""total_points"": -113.5599999999958}",-112.77999999999047,-0.831608321609102,True,False,-0.28076923076923777,2017
5.0,14.31916666666646,9.810000000000194,-1.3265384615382616,0.5384615384615384,GC,"{""n"": 24, ""expectancy_points"": -2.139999999999795, ""hit_rate"": 0.5833333333333334, ""total_points"": -51.359999999995075}",4,140.81999999999147,2.533076923077124,-5.668846153845958,1.4100000000001591,52,-0.09807692307690821,0.07393447376051022,0.7992783565151876,-0.9884615384615358,"{""n"": 28, ""expectancy_points"": -0.6292857142855189, ""hit_rate"": 0.5, ""total_points"": -17.61999999999453}",-68.9799999999896,-0.6245563965417197,True,False,-0.17307692307690997,2018
5.0,17.49416666666649,16.07785714285732,0.5830769230771001,0.5384615384615384,GC,"{""n"": 29, ""expectancy_points"": 4.025517241379487, ""hit_rate"": 0.6551724137931034, ""total_points"": 116.74000000000511}",5,138.71999999999875,7.006153846154019,-6.884230769230592,1.8100000000001364,52,0.16538461538460927,0.2836411609497715,1.072214547706401,0.6576923076923086,"{""n"": 23, ""expectancy_points"": -3.757391304347648, ""hit_rate"": 0.391304347826087, ""total_points"": -86.41999999999591}",30.320000000009205,0.17388176649907486,True,False,0.0730769230769222,2019
