bucket,fwd,hit_rate,instrument,label,lookback,mean_abs_signal,mean_signed_fwd,n,side
1,1,0.5668662674650699,NQ,Q1_weakest,5,0.003471246798953687,6.613219560581716e-05,501,LONG
2,1,0.5369261477045908,NQ,Q2,5,0.009573441117638444,0.0005805842849243922,501,LONG
3,1,0.5597609561752988,NQ,Q3,5,0.015869314974023545,0.0007160389670171519,502,LONG
4,1,0.5508982035928144,NQ,Q4,5,0.02457354484509446,0.0008651251545971064,501,LONG
5,1,0.547808764940239,NQ,Q5_strongest,5,0.04607385931931665,-6.993051430573239e-05,502,LONG
1,1,0.45535714285714285,NQ,Q1_weakest,5,0.002368553818077624,-0.0005605617640326788,336,SHORT
2,1,0.44642857142857145,NQ,Q2,5,0.007574969790067663,-0.0010577772811444838,336,SHORT
3,1,0.4017857142857143,NQ,Q3,5,0.014861775257015136,-0.0019588182227137144,336,SHORT
4,1,0.48214285714285715,NQ,Q4,5,0.025068145184528098,-8.356484482825953e-05,336,SHORT
5,1,0.3857566765578635,NQ,Q5_strongest,5,0.05008876887604003,-0.002979011425057001,337,SHORT
1,3,0.5708582834331337,NQ,Q1_weakest,5,0.003471246798953687,0.0009624216700216194,501,LONG
2,3,0.5608782435129741,NQ,Q2,5,0.009583497718981043,0.0011203922974328316,501,LONG
3,3,0.5728542914171657,NQ,Q3,5,0.015876022713051132,0.0018164344459098937,501,LONG
4,3,0.6187624750499002,NQ,Q4,5,0.024593813606123362,0.0022703243261090037,501,LONG
5,3,0.5568862275449101,NQ,Q5_strongest,5,0.04610441101867733,0.0002815658954642222,501,LONG
1,3,0.40773809523809523,NQ,Q1_weakest,5,0.002368553818077624,-0.002515424598625021,336,SHORT
2,3,0.3898809523809524,NQ,Q2,5,0.007574969790067663,-0.0029391460378764937,336,SHORT
3,3,0.3482142857142857,NQ,Q3,5,0.014861775257015136,-0.005119436723084442,336,SHORT
4,3,0.43154761904761907,NQ,Q4,5,0.025068145184528098,-0.0029964933241940993,336,SHORT
5,3,0.4124629080118694,NQ,Q5_strongest,5,0.05008876887604003,-0.0058342629651428396,337,SHORT
1,5,0.584,NQ,Q1_weakest,5,0.0034647351208240413,0.0020221820071109602,500,LONG
2,5,0.590818363273453,NQ,Q2,5,0.009571957495712727,0.0023604232562592165,501,LONG
3,5,0.6287425149700598,NQ,Q3,5,0.01586232827849613,0.002761440842601514,501,LONG
4,5,0.626746506986028,NQ,Q4,5,0.024581939808844145,0.003482653309730882,501,LONG
5,5,0.5469061876247505,NQ,Q5_strongest,5,0.04610441101867733,0.0017665167721043413,501,LONG
1,5,0.44345238095238093,NQ,Q1_weakest,5,0.002368553818077624,-0.0027003295887882083,336,SHORT
2,5,0.3898809523809524,NQ,Q2,5,0.007589905902873042,-0.004264049891134889,336,SHORT
3,5,0.35714285714285715,NQ,Q3,5,0.01488687184406743,-0.00780705389401967,336,SHORT
4,5,0.4166666666666667,NQ,Q4,5,0.025105883255319723,-0.0034469189169911625,336,SHORT
5,5,0.38095238095238093,NQ,Q5_strongest,5,0.050142863940295664,-0.011279223870000176,336,SHORT
1,10,0.5951903807615231,NQ,Q1_weakest,5,0.0034582275523119582,0.004883229652768739,499,LONG
2,10,0.61,NQ,Q2,5,0.00955452730240078,0.004933403626713945,500,LONG
3,10,0.642,NQ,Q3,5,0.015832603078625367,0.005787233653155971,500,LONG
4,10,0.622,NQ,Q4,5,0.024526843475397384,0.004815246949924487,500,LONG
5,10,0.642,NQ,Q5_strongest,5,0.0460088289973964,0.0066582026564969135,500,LONG
1,10,0.33035714285714285,NQ,Q1_weakest,5,0.002368553818077624,-0.009206377383946647,336,SHORT
2,10,0.35714285714285715,NQ,Q2,5,0.007589905902873042,-0.007463066308961983,336,SHORT
3,10,0.3392857142857143,NQ,Q3,5,0.01488687184406743,-0.012260101157004575,336,SHORT
4,10,0.34523809523809523,NQ,Q4,5,0.025105883255319723,-0.01089305953319185,336,SHORT
5,10,0.3630952380952381,NQ,Q5_strongest,5,0.050142863940295664,-0.014975834924788985,336,SHORT
1,1,0.5386064030131826,NQ,Q1_weakest,10,0.004937818665290477,0.0007466562142465887,531,LONG
2,1,0.5649717514124294,NQ,Q2,10,0.014448920650829115,0.00041621015365964173,531,LONG
3,1,0.5574387947269304,NQ,Q3,10,0.023727702168121135,0.00016295614472085462,531,LONG
4,1,0.568738229755179,NQ,Q4,10,0.03510604566406334,0.001205633150780014,531,LONG
5,1,0.5423728813559322,NQ,Q5_strongest,10,0.06196704403623056,0.0003364521794704026,531,LONG
1,1,0.4360655737704918,NQ,Q1_weakest,10,0.0036535380940008605,-0.000917444077399024,305,SHORT
2,1,0.4477124183006536,NQ,Q2,10,0.011470802679608245,0.00018764393039869077,306,SHORT
3,1,0.46557377049180326,NQ,Q3,10,0.020652866636214736,-0.0005942060193833962,305,SHORT
4,1,0.4084967320261438,NQ,Q4,10,0.0347402649780861,-0.001016255761462018,306,SHORT
5,1,0.434640522875817,NQ,Q5_strongest,10,0.06808880303489652,-0.0033458709470093316,306,SHORT
1,3,0.5660377358490566,NQ,Q1_weakest,10,0.004929121863483457,0.0011591107272399571,530,LONG
2,3,0.5875706214689266,NQ,Q2,10,0.014431218325058674,0.0013075023345844644,531,LONG
3,3,0.6056603773584905,NQ,Q3,10,0.023698866172636085,0.000906113388520175,530,LONG
4,3,0.5819209039548022,NQ,Q4,10,0.0350540375680559,0.00233289233394271,531,LONG
5,3,0.6026365348399246,NQ,Q5_strongest,10,0.06189970988599759,0.002435402422030623,531,LONG
1,3,0.3737704918032787,NQ,Q1_weakest,10,0.0036535380940008605,-0.0024809333917788397,305,SHORT
2,3,0.41830065359477125,NQ,Q2,10,0.011470802679608245,-0.001755983682132624,306,SHORT
3,3,0.4426229508196721,NQ,Q3,10,0.020652866636214736,-0.00212600021477929,305,SHORT
4,3,0.43137254901960786,NQ,Q4,10,0.0347402649780861,-0.0028470006393762045,306,SHORT
5,3,0.4215686274509804,NQ,Q5_strongest,10,0.06808880303489652,-0.008457884573911606,306,SHORT
1,5,0.5754716981132075,NQ,Q1_weakest,10,0.004929121863483457,0.0028099882687234903,530,LONG
2,5,0.5830188679245283,NQ,Q2,10,0.014422713023925948,0.001396875077783906,530,LONG
3,5,0.6150943396226415,NQ,Q3,10,0.023680009237008273,0.002568429107722643,530,LONG
4,5,0.6075471698113207,NQ,Q4,10,0.03501345020455781,0.002838556699711229,530,LONG
5,5,0.5951035781544256,NQ,Q5_strongest,10,0.061898159854577674,0.004130600969510721,531,LONG
1,5,0.3770491803278688,NQ,Q1_weakest,10,0.0036535380940008605,-0.004089077355859993,305,SHORT
2,5,0.4215686274509804,NQ,Q2,10,0.011470802679608245,-0.0027615527814465555,306,SHORT
3,5,0.39344262295081966,NQ,Q3,10,0.020652866636214736,-0.004163754170686328,305,SHORT
4,5,0.40522875816993464,NQ,Q4,10,0.0347402649780861,-0.00468872402232144,306,SHORT
5,5,0.38235294117647056,NQ,Q5_strongest,10,0.06808880303489652,-0.013345036714542973,306,SHORT
1,10,0.6143667296786389,NQ,Q1_weakest,10,0.004928579028102482,0.0067966775273119425,529,LONG
2,10,0.6,NQ,Q2,10,0.014422713023925948,0.00317737467675858,530,LONG
