direction,entry_date,entry_fill,entry_theo,exit_date,exit_fill,exit_theo,extras,hold,hold_days,instrument,lookback,mode,n_roll_nights,overnight_points,points,points_after_cost,rv20,session_points,signal_date,signal_ret,status,vol_weight,weekend_points,year
SHORT,2010-07-06,1713.25,1713.5,2010-07-08,1788.25,1788.0,{},daily_refresh,2,NQ,20,daily_refresh,0,1.25,-75.0,-75.2,0.013614817299748859,-76.0,2010-07-05,-0.046200946284441824,ENTERED,,0.0,2010
LONG,2010-07-08,1788.25,1788.0,2010-07-09,1793.0,1793.25,{},daily_refresh,1,NQ,20,daily_refresh,0,0.0,4.75,4.55,0.015614399049681546,7.0,2010-07-07,0.005623506256150712,ENTERED,,0.0,2010
SHORT,2010-07-09,1793.0,1793.25,2010-07-23,1857.25,1857.0,{},daily_refresh,10,NQ,20,daily_refresh,0,-0.5,-64.25,-64.45,0.014469620459711072,-57.25,2010-07-08,-0.01589912280701722,ENTERED,,5.75,2010
LONG,2010-07-23,1857.25,1857.0,2010-08-12,1823.0,1823.25,{},daily_refresh,14,NQ,20,daily_refresh,0,-6.75,-34.25,-34.45,0.017903898818311698,-34.5,2010-07-22,0.0012170385395540162,ENTERED,,-1.5,2010
SHORT,2010-08-12,1823.0,1823.25,2010-08-16,1814.75,1814.5,{},daily_refresh,2,NQ,20,daily_refresh,0,-2.25,8.25,8.05,0.016404964273895383,9.0,2010-08-11,-0.02023472278429772,ENTERED,,0.0,2010
LONG,2010-08-16,1814.75,1814.5,2010-08-18,1840.25,1840.5,{},daily_refresh,2,NQ,20,daily_refresh,0,-2.25,25.5,25.3,0.015283537652474047,28.0,2010-08-13,0.008046614872363689,ENTERED,,0.0,2010
SHORT,2010-08-18,1840.25,1840.5,2010-08-19,1836.75,1836.5,{},daily_refresh,1,NQ,20,daily_refresh,0,0.0,3.5,3.3,0.013849929532498093,1.5,2010-08-17,-0.006076154469349726,ENTERED,,0.0,2010
LONG,2010-08-19,1836.75,1836.5,2010-08-20,1822.25,1822.5,{},daily_refresh,1,NQ,20,daily_refresh,0,0.0,-14.5,-14.7,0.013014754367275462,-14.5,2010-08-18,0.01392143349414221,ENTERED,,0.0,2010
SHORT,2010-08-20,1822.25,1822.5,2010-09-09,1882.25,1882.0,{},daily_refresh,14,NQ,20,daily_refresh,0,-14.5,-60.0,-60.2,0.012319558009353896,-45.5,2010-08-19,-0.015667206915180865,ENTERED,,-10.75,2010
LONG,2010-09-09,1882.25,1882.0,2010-11-24,2122.0,2122.25,{},daily_refresh,54,NQ,20,daily_refresh,0,44.75,239.75,239.55,0.011839632222908049,188.5,2010-09-08,0.036761668731928765,ENTERED,,36.0,2010
SHORT,2010-11-24,2122.0,2122.25,2010-11-25,2160.25,2160.0,{},daily_refresh,1,NQ,20,daily_refresh,0,0.0,-38.25,-38.45,0.009573141885176953,-38.25,2010-11-23,-0.0010625737898469767,ENTERED,,0.0,2010
LONG,2010-11-25,2160.25,2160.0,2010-12-01,2112.0,2112.25,{},daily_refresh,4,NQ,20,daily_refresh,0,3.75,-48.25,-48.45,0.010704913610323937,-49.0,2010-11-24,0.018863475595378043,ENTERED,,6.0,2010
SHORT,2010-12-01,2112.0,2112.25,2010-12-03,2187.0,2186.75,{},daily_refresh,2,NQ,20,daily_refresh,0,-2.5,-75.0,-75.2,0.01099100679589286,-74.75,2010-11-30,-0.016624040920716676,ENTERED,,0.0,2010
LONG,2010-12-03,2187.0,2186.75,2011-02-24,2305.75,2306.0,{},daily_refresh,58,NQ,20,daily_refresh,0,-12.75,118.75,118.55,0.012210850665975274,130.0,2010-12-02,0.002977553825011192,ENTERED,,-21.0,2010
SHORT,2011-02-24,2305.75,2306.0,2011-02-28,2341.75,2341.5,{},daily_refresh,2,NQ,20,daily_refresh,0,-3.0,-36.0,-36.2,0.009635126323321393,-36.25,2011-02-23,-0.005503399158303668,ENTERED,,0.0,2011
LONG,2011-02-28,2341.75,2341.5,2011-03-02,2310.75,2311.0,{},daily_refresh,2,NQ,20,daily_refresh,0,2.5,-31.0,-31.2,0.008382708809045052,-39.0,2011-02-25,0.035544762115023554,ENTERED,,0.0,2011
SHORT,2011-03-02,2310.75,2311.0,2011-03-03,2323.0,2322.75,{},daily_refresh,1,NQ,20,daily_refresh,0,0.0,-12.25,-12.45,0.008782469156061398,-10.5,2011-03-01,-0.006786599159754436,ENTERED,,0.0,2011
LONG,2011-03-03,2323.0,2322.75,2011-03-08,2329.0,2329.25,{},daily_refresh,3,NQ,20,daily_refresh,0,1.75,6.0,5.8,0.008939233689317984,0.75,2011-03-02,0.0007543916370296166,ENTERED,,-1.75,2011
SHORT,2011-03-08,2329.0,2329.25,2011-03-25,2316.5,2316.25,{},daily_refresh,13,NQ,20,daily_refresh,1,-26.75,-8.75,-8.95,0.010815962723418945,18.0,2011-03-07,-0.007469853804290105,ENTERED,,-13.0,2011
LONG,2011-03-25,2316.5,2316.25,2011-03-28,2321.0,2321.25,{},daily_refresh,1,NQ,20,daily_refresh,0,0.0,4.5,4.3,0.013493297958043722,0.75,2011-03-24,0.011378486485872807,ENTERED,,0.0,2011
SHORT,2011-03-28,2321.0,2321.25,2011-03-30,2322.75,2322.5,{},daily_refresh,2,NQ,20,daily_refresh,0,1.0,-1.75,-1.95,0.013100688051857233,-4.5,2011-03-25,-0.002852835743233695,ENTERED,,0.0,2011
LONG,2011-03-30,2322.75,2322.5,2011-04-01,2341.75,2342.0,{},daily_refresh,2,NQ,20,daily_refresh,0,0.25,19.0,18.8,0.012660662362073149,14.25,2011-03-29,0.01795292829775641,ENTERED,,0.0,2011
SHORT,2011-04-01,2341.75,2342.0,2011-04-05,2341.25,2341.0,{},daily_refresh,2,NQ,20,daily_refresh,0,-4.75,0.5,0.3,0.011548625774388505,4.75,2011-03-31,-0.006006959797447142,ENTERED,,-4.75,2011
LONG,2011-04-05,2341.25,2341.0,2011-05-20,2367.5,2367.75,{},daily_refresh,32,NQ,20,daily_refresh,0,29.75,26.25,26.05,0.01091598111650039,-3.0,2011-04-04,0.016575425763908136,ENTERED,,10.0,2011
SHORT,2011-05-20,2367.5,2367.75,2011-07-04,2354.75,2354.5,{},daily_refresh,31,NQ,20,daily_refresh,0,14.25,12.75,12.55,0.008084746123629015,-0.5,2011-05-19,-0.003472222222222099,ENTERED,,19.75,2011
