direction,entry_date,entry_fill,entry_theo,exit_date,exit_fill,exit_theo,extras,hold,hold_days,instrument,lookback,mode,n_roll_nights,overnight_points,points,points_after_cost,rv20,session_points,signal_date,signal_ret,status,vol_weight,weekend_points,year
SHORT,2010-08-31,1771.0,1771.25,2010-09-06,1867.75,1867.5,{},5,5,NQ,60,fixed_hold,0,-2.0,-96.75,-96.95,0.013158026132260773,-94.25,2010-08-30,-0.015029223490119259,ENTERED,1.0947516785846667,-2.25,2010
LONG,2010-09-07,1867.25,1867.0,2010-09-13,1919.75,1920.0,{},5,5,NQ,60,fixed_hold,0,7.75,52.5,52.3,0.015275794731683664,45.25,2010-09-06,0.011235955056180247,ENTERED,0.9494693452816011,9.0,2010
LONG,2010-09-14,1917.25,1917.0,2010-09-20,1982.25,1982.5,{},5,5,NQ,60,fixed_hold,0,-2.75,65.0,64.8,0.011918675708507439,68.25,2010-09-13,0.010393369293514088,ENTERED,1.2085882313981746,-1.75,2010
LONG,2010-09-21,1983.75,1983.5,2010-09-27,2008.5,2008.75,{},5,5,NQ,60,fixed_hold,0,3.5,24.75,24.55,0.011433512035685824,21.75,2010-09-20,0.08126533951458992,ENTERED,1.2360107272523158,7.5,2010
LONG,2010-09-28,2008.25,2008.0,2010-10-04,1977.25,1977.5,{},5,5,NQ,60,fixed_hold,0,-3.0,-31.0,-31.2,0.008412267547104635,-27.5,2010-09-27,0.17230814123139782,ENTERED,1.6463967004074915,-5.0,2010
LONG,2010-10-05,1978.5,1978.25,2010-10-11,2025.0,2025.25,{},5,5,NQ,60,fixed_hold,0,11.75,46.5,46.3,0.007633713768231795,35.25,2010-10-04,0.08385859139490304,ENTERED,1.8003344740009348,6.5,2010
LONG,2010-10-12,2025.75,2025.5,2010-10-18,2065.0,2065.25,{},5,5,NQ,60,fixed_hold,0,-9.25,39.25,39.05,0.008092531718720566,49.0,2010-10-11,0.12686048129086158,ENTERED,1.6887014939995095,-4.0,2010
LONG,2010-10-19,2066.25,2066.0,2010-10-25,2109.75,2110.0,{},5,5,NQ,60,fixed_hold,0,-1.0,43.5,43.3,0.00878492187433097,45.0,2010-10-18,0.09460712866039445,ENTERED,1.503553895918574,1.0,2010
LONG,2010-10-26,2108.25,2108.0,2010-11-01,2127.25,2127.5,{},5,5,NQ,60,fixed_hold,0,17.75,19.0,18.8,0.008277393761305795,1.75,2010-10-25,0.11404435058078088,ENTERED,1.5883989156241267,10.0,2010
LONG,2010-11-02,2129.25,2129.0,2010-11-08,2179.5,2179.75,{},5,5,NQ,60,fixed_hold,0,3.25,50.25,50.05,0.007537328356415119,47.5,2010-11-01,0.11212754835337102,ENTERED,1.6981253950271462,-1.25,2010
LONG,2010-11-09,2180.0,2179.75,2010-11-15,2123.25,2123.5,{},5,5,NQ,60,fixed_hold,0,3.5,-56.75,-56.95,0.006415685958515394,-59.75,2010-11-08,0.19717149526294087,ENTERED,1.8605411523028732,2.5,2010
LONG,2010-11-16,2124.25,2124.0,2010-11-22,2153.5,2153.75,{},5,5,NQ,60,fixed_hold,0,16.75,29.25,29.05,0.007314165211738826,13.0,2010-11-15,0.17401520387007552,ENTERED,1.6295332910143498,11.5,2010
LONG,2010-11-23,2150.5,2150.25,2010-11-29,2144.25,2144.5,{},5,5,NQ,60,fixed_hold,0,11.25,-6.25,-6.45,0.008620027446342734,-17.0,2010-11-22,0.2171517377790333,ENTERED,1.3658507340428148,6.0,2010
LONG,2010-11-30,2143.75,2143.5,2010-12-06,2185.25,2185.5,{},5,5,NQ,60,fixed_hold,0,2.25,41.5,41.3,0.010828160425641114,39.75,2010-11-29,0.14832663989290507,ENTERED,1.0688044421369072,5.0,2010
LONG,2010-12-07,2191.25,2191.0,2010-12-13,2209.75,2210.0,{},5,5,NQ,60,fixed_hold,0,5.5,18.5,18.3,0.01220405701605041,13.5,2010-12-06,0.1382812499999979,ENTERED,0.9633037087096669,-6.5,2010
