fwd,hit_rate,hit_wilson_hi,hit_wilson_lo,instrument,lookback,mean,mean_block_boot_hi,mean_block_boot_lo,mean_boot_hi,mean_boot_lo,median,n,note,side,spearman_abs_signal_vs_signed_fwd,tstat_iid
1,0.5467767295597484,0.5660362896214657,0.5273761108982526,ES,5,0.0003366347484485744,0.0006338570300126652,3.479049407187526e-05,0.0006890720177438221,-2.7387159444480684e-05,0.000582206865502144,2544,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.011917127782598192,2.009069823065351
1,0.4460694698354662,0.47021851879548593,0.422172335132333,ES,5,-0.0009989179648881225,-0.000479349597700178,-0.0015313087837413432,-0.00035397632091421706,-0.001599199368283042,-0.0012384996461429765,1641,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.06637609714349366,-3.1111013763803377
3,0.5790715971675846,0.5981309746528863,0.5597735862593086,ES,5,0.0009647128309617151,0.001602088228702148,0.0002551523356634076,0.0014962857977859935,0.0004022305912770463,0.0020043014417143734,2542,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.001630616732540067,3.4464144049001004
3,0.4034125533211456,0.42734780422628416,0.37992847088738013,ES,5,-0.002973761219860185,-0.0015364933768617828,-0.004370532978994443,-0.002045829409291995,-0.0039332273130307715,-0.0039029149896330217,1641,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.08016965298835543,-5.713973851807243
5,0.5989767807949626,0.6178700817585273,0.5797846563595545,ES,5,0.001663916378693679,0.0027293497361753193,0.0004830551972161357,0.0023460165830124944,0.0009494087989807754,0.003109513166844824,2541,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.030701559410988156,4.620859706273248
5,0.38109756097560976,0.40485476101967344,0.35789610256718307,ES,5,-0.004815417130533882,-0.0028958977527418204,-0.006648225384645257,-0.0036266318432596626,-0.006043266799006948,-0.006174289742914785,1640,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.13277816062756337,-7.504909557821859
10,0.6427444794952681,0.6611661976074388,0.6238909492634528,ES,5,0.004005330105910132,0.006256075541735965,0.0020403026287016675,0.005049459512140557,0.003076055649669897,0.006788991054254345,2536,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.0415627828450817,7.827719751349732
10,0.36097560975609755,0.3845207206049945,0.33808028912733007,ES,5,-0.008595780944211344,-0.005772167829728449,-0.011809459108148462,-0.006942006425947886,-0.010237829762891577,-0.010465220722830737,1640,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.13589476685674423,-10.695726176918313
1,0.5490488623647892,0.5678008641655884,0.5301564976392942,ES,10,0.00037812059027658154,0.0006698298867662724,7.992613198803649e-05,0.0006843240544772039,5.8499181783100485e-05,0.0006269592476488839,2681,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.014942601885460075,2.394051949231962
1,0.4536975349766822,0.47897021240537235,0.42866126189730497,ES,10,-0.0009568804239327453,-0.0002677677231610264,-0.00158149889543065,-0.00016728214479194426,-0.0016531168471362405,-0.0012196609342602915,1501,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.06395294367383203,-2.7154785709088682
3,0.59163867114595,0.610107752160075,0.5729071526334099,ES,10,0.0012442036411614297,0.001985239043862951,0.0006553876346511153,0.0017921298106240507,0.0007754999949353034,0.0021899808376675267,2679,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.005903714203917202,4.680225857581388
3,0.42438374417055297,0.4495497120973371,0.39960384665595616,ES,10,-0.0026931974528787857,-0.0010099932992573494,-0.004083095070481666,-0.0015932049999457215,-0.003758303244560702,-0.003404834865509132,1501,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.07060285077698375,-4.739312976833774
5,0.6077698916697796,0.6260985973888212,0.5891323211406435,ES,10,0.00202929039623928,0.003197060809862008,0.0010418380004989386,0.002758770029428727,0.0013667882737437096,0.0033775006495193605,2677,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.007382566850052687,5.849917590918585
5,0.3924050632911392,0.4173521668229404,0.3680073022401157,ES,10,-0.004526206244930455,-0.0023618626227518698,-0.006716661732767873,-0.0031354889448140166,-0.005898204924550614,-0.006179473401397351,1501,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.12335272456919774,-6.53050381499163
10,0.6470808383233533,0.6649777553778607,0.6287616049788957,ES,10,0.0043648552875629534,0.006503337148430215,0.0022032473521628685,0.005326716962647317,0.003375052697190498,0.006861988734245261,2672,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.03762476792907333,9.026677947383657
10,0.3670886075949367,0.39178411859072976,0.343071696134222,ES,10,-0.008545151568539177,-0.004823754580574382,-0.011942909671341616,-0.006735303053741066,-0.010230040018555726,-0.01068853179106144,1501,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.13846270464778954,-9.727767474107816
1,0.5515536723163842,0.5697887351980366,0.5331789340822222,ES,20,0.0004583750192834284,0.0007692005101966219,0.00013239979792388333,0.0007511426543023746,0.00017640147166794214,0.0006639850667159441,2832,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.013562335564362114,3.0532414373296803
1,0.454951600893522,0.4816752773474923,0.4284849077848945,ES,20,-0.0009362347914144783,-0.00016910631981123514,-0.001725632369791173,-0.00023483562915757386,-0.001775145791797416,-0.0012196609342602915,1343,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.09691318636490465,-2.3898382011873847
3,0.5908127208480566,0.6087931871375849,0.5725860402687741,ES,20,0.0014519667891088118,0.0020590122766872545,0.0008197119101617238,0.001963401452083914,0.0010293449201023953,0.0022520890769771595,2830,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.015230438597348385,5.767578306514491
3,0.422933730454207,0.449538837804257,0.39676825576933034,ES,20,-0.002548768123285744,-0.0011151576061223078,-0.004092544354030866,-0.0013956959701249467,-0.003817821448100243,-0.0032889819105992313,1343,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.11875333035337123,-4.034111609456694
5,0.6117397454031117,0.6295388831582087,0.5936374413932775,ES,20,0.0021323407083905965,0.0030885678029367275,0.001000527688673687,0.0027340412690416717,0.0014919792833691132,0.003539313573810654,2828,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.005729557708167261,6.665229480175376
5,0.39985107967237526,0.4263006266726928,0.37397284275385295,ES,20,-0.004756845438617573,-0.0018728199763189326,-0.007331874043457915,-0.0033208531896760005,-0.006372143466504673,-0.006373626373626262,1343,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.14166562634310279,-6.079827798472675
10,0.6469546742209632,0.6643710894217012,0.6291389855414793,ES,20,0.004288952899541092,0.006474951108761495,0.0025260926128922874,0.005108463641568431,0.0034401607213275166,0.0067887505874248966,2824,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.003907614355586711,9.61532087994697
10,0.368107302533532,0.39425377482862384,0.3427137850981908,ES,20,-0.009177950615668331,-0.00479316847270333,-0.013405973758055535,-0.00762778293871636,-0.011272789831767096,-0.011283235248172208,1342,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.16182162235432263,-9.200952461499076
1,0.545227698066126,0.5624002798828033,0.5279468574961877,ES,60,0.00034346891858978604,0.0006461469252327962,5.990624151204394e-05,0.0006587635970347663,6.250730663049849e-05,0.0006343579127546795,3206,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.007155958760789474,2.3773047091047586
1,0.4370290635091496,0.4691204436286535,0.4054563333932974,ES,60,-0.0015225431160539075,-0.0005823488068470459,-0.0024621284015865896,-0.00045853243025698303,-0.0026881698593086483,-0.0016995241332427025,929,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.0548869747695042,-2.9199598559873623
3,0.5848938826466916,0.6018442211960217,0.5677402121500638,ES,60,0.0011944160364329894,0.0018269289552367925,0.0005050771580302621,0.0016236583607413546,0.0007213956266432636,0.0021728256938607915,3204,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.03350324062153619,4.958676962257531
3,0.40904198062432723,0.4409698752192977,0.37786324714574265,ES,60,-0.0038878894513660507,-0.0013976598342886832,-0.006390810838271002,-0.002097568297629045,-0.0055622105264075995,-0.005013673655423823,929,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.14201450960342255,-4.637273656067173
5,0.60368519675203,0.620493490801418,0.586628408172006,ES,60,0.0019003358539455438,0.0028079410714240897,0.0008706377365712164,0.0024510313446582097,0.00127188030134205,0.0034331837504958385,3202,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.04122248352969968,6.191468721814398
5,0.37351991388589884,0.4050880747392085,0.34299348594590673,ES,60,-0.006657054966515531,-0.00272182061931608,-0.009795848620828308,-0.004561868703954544,-0.008615169786520879,-0.008130081300813163,929,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.15437500224504924,-6.4753191683243925
10,0.6330935251798561,0.6496314431710613,0.616236133656233,ES,60,0.004023362738454678,0.005830809068081667,0.002164843885036054,0.004836563328907208,0.0032535778874159043,0.006638622321545773,3197,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.055170363852233686,9.64861968154226
10,0.3261571582346609,0.35696623415492196,0.2967799109569598,ES,60,-0.012202283851457099,-0.005746740558662493,-0.017465826270412512,-0.00977165125578361,-0.014722628004629888,-0.015627806718160553,929,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.21861530453044947,-9.170984967132421
1,0.5524531312325489,0.5718227651016503,0.532922990265793,NQ,5,0.000431503431376114,0.0008215322672621738,6.670228982103517e-05,0.0008578195460995445,1.9288310577586797e-05,0.0008362279686093821,2507,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.002167145386613232,2.0056441019925653
1,0.43426531826293874,0.4580836168267238,0.4107467824226775,NQ,5,-0.001328928899534705,-0.0005658566925540687,-0.001979833792721538,-0.0005442554102769925,-0.00212461075889719,-0.001746427761397218,1681,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.053653281995864915,-3.5380160667865543
3,0.5760479041916168,0.595269611916955,0.5565933036214353,NQ,5,0.0012902277269875142,0.002248977503840749,0.0003797239282031209,0.0020080140294315213,0.0005705768839702881,0.0027569352574654538,2505,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.008312160796952338,3.5466261819517406
3,0.39797739440809043,0.4215840481719312,0.37483598324229794,NQ,5,-0.003882114722785982,-0.002298614398878759,-0.005360744582785164,-0.0026648310376945843,-0.005098529559148688,-0.005184331797234876,1681,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.03886672375343407,-6.566723365281064
5,0.5954472843450479,0.6145110949515967,0.5760910547216521,NQ,5,0.002478825530385045,0.00400522571316447,0.0010027183853046743,0.0033803419635995186,0.0016277510302670994,0.00473564817576444,2504,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,5.292342539106061e-05,5.247466679573786
5,0.3976190476190476,0.421230031671206,0.3744752175636388,NQ,5,-0.005899515232186821,-0.0035818239700036764,-0.00806746538475347,-0.004482623038743432,-0.007369825768943568,-0.0073601538913038445,1680,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.08178351618099151,-8.170424791641214
10,0.6222488995598239,0.6410565322867923,0.6030659882914176,NQ,5,0.00541567628646549,0.00843717785327574,0.0028484466233163626,0.006713803451603992,0.004159617930898297,0.008452234277916748,2499,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.03576207771225617,8.171264155647698
10,0.3470238095238095,0.37011252694301733,0.3246331070881171,NQ,5,-0.010959687861578808,-0.007335842459945927,-0.014713278774801681,-0.009033544008217041,-0.012781171055242681,-0.013720928676746125,1680,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.05536009310822865,-11.804576157164066
1,0.5544256120527307,0.5732397333739694,0.5354542181574042,NQ,10,0.0005735815685755004,0.0009846631339030948,0.00021660375090187939,0.0009601368472577238,0.00021198703834999122,0.000883332200856124,2655,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.008020613428570647,2.8436160055165822
1,0.43848167539267013,0.4634853126765724,0.4137865932437264,NQ,10,-0.0011377257916288428,-0.0004036516304410988,-0.0019445777353770308,-0.00038792920443238315,-0.0020108214066693695,-0.0016562333465112156,1528,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.04662241972135877,-2.7391060306794968
3,0.5887674330946099,0.6073501722805681,0.5699279913856437,NQ,10,0.001628653236501719,0.0024487692791229708,0.0006606498582129994,0.002342928218646878,0.000998228787941404,0.003184005923732025,2653,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.024826398445018865,4.794973865431233
3,0.4175392670157068,0.44244318708185565,0.39304894213045977,NQ,10,-0.0035351705706798972,-0.0019929007563321602,-0.005209474919185983,-0.0022126549168197092,-0.004852663933913868,-0.0046208772717271085,1528,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.03251198027746799,-5.379674166070014
5,0.5952470765748774,0.6137813122106682,0.5764371927276303,NQ,10,0.0027494112283663013,0.004418786910860334,0.0013091304349016444,0.0036944105941998694,0.001890811726354174,0.004823401275867445,2651,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.013764476714409132,6.180179802083693
5,0.3959424083769634,0.4206956338335981,0.37171110064860946,NQ,10,-0.005811832167670016,-0.0032214036110581844,-0.008288624558272725,-0.0043396855907736455,-0.007460149272710737,-0.007529586942076283,1528,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.08023146597659188,-7.303661280370103
10,0.6349565873914684,0.6530830087107097,0.6164393027608835,NQ,10,0.0062924874087988995,0.009218135871277218,0.0035602861023140697,0.0075361050730452005,0.0050544055004604705,0.009120318041859754,2649,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.03339870245913773,10.085214214419103
10,0.3652459016393443,0.38972315598955715,0.3414458545868165,NQ,10,-0.010235027832114907,-0.005999985484677123,-0.014645825430309628,-0.008364108443505219,-0.012276417970265477,-0.01356973058637112,1525,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.08230774319099722,-10.024580864418022
1,0.5598137535816619,0.5781326820060803,0.5413304520999435,NQ,20,0.0006607981145282458,0.001028543410379667,0.00029606825530321707,0.0010552213354456516,0.0002975748918513531,0.0009302333631008297,2792,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.010118424063657972,3.4609716730345377
1,0.44251626898047725,0.4688170559606995,0.4165339459129102,NQ,20,-0.0011054267216512874,-0.00033252232159914003,-0.0020283226726468422,-0.000288158717782208,-0.0019321651108598818,-0.0016833599865331283,1383,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.08198449961898686,-2.407143133009653
3,0.5911859548548907,0.6092875120867064,0.5728337215459974,NQ,20,0.0019888195030010867,0.002765537312534927,0.0011173467138493858,0.002665756762374069,0.001369321705264357,0.003184005923732025,2791,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.026571673208338184,6.182438024339041
3,0.4196816208393632,0.44588840660770385,0.3939201256228196,NQ,20,-0.0031741806249035447,-0.0014185179027872623,-0.0053775181656837544,-0.0017845497226065341,-0.004717976404047551,-0.004914647647563886,1382,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.08111014445194464,-4.3799725956508375
5,0.6051594410605518,0.6231381873067955,0.5868916047214897,NQ,20,0.00332683543239105,0.004599473360899743,0.001916840544152256,0.004231471260740626,0.0025368340805927226,0.0051229508196724005,2791,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,0.025216224679189995,8.02747618464183
5,0.4115942028985507,0.4377697948294839,0.3859094470721904,NQ,20,-0.005156490643003795,-0.002413574607514442,-0.007677179253752482,-0.003507386619588619,-0.007029050824057632,-0.007455594759406159,1380,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.11302082146447893,-5.794546717053629
10,0.638480831243282,0.6561036816104407,0.6204772881303847,NQ,20,0.006632981827184026,0.009232418049823827,0.0038721104369948884,0.007807971891651191,0.005603589132488404,0.009499588600494047,2791,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.010118106048426714,11.423771268830693
10,0.37018181818181817,0.39603279609302716,0.3450542149167943,NQ,20,-0.010038171029261085,-0.004866081187409541,-0.0149246711698176,-0.007775129446236999,-0.01215966904637034,-0.013673187117170249,1375,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.12006596379146396,-8.729966461821572
1,0.5559772296015181,0.5732172664920151,0.5386013412361795,NQ,60,0.0005582512015463271,0.000930352698460679,0.00015577866620288105,0.0009356004541297897,0.00016771678238552666,0.0009284521308119409,3162,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.017719802315041267,2.8764329793207506
1,0.434737923946557,0.4660829151344609,0.40390624175648226,NQ,60,-0.001615836336063768,-0.0006558870690951176,-0.0026813225873021664,-0.0005349934830961515,-0.0026136100026508766,-0.0021104985030184764,973,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.0755528297937902,-2.860949625572505
3,0.5806451612903226,0.5977368618997427,0.563357742454436,NQ,60,0.001632135974122284,0.002421781896271027,0.0006889903313694077,0.002267745690188603,0.0009883671661645983,0.003091062609988482,3162,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.020694676491751326,5.101777538870754
3,0.3913491246138002,0.42241792459248717,0.3611366549412547,NQ,60,-0.004834388003162835,-0.002748105647961116,-0.007161963636375655,-0.0030370181602841872,-0.006417667744785759,-0.006021550813437582,971,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,SHORT,-0.14130626923298237,-5.392819394742152
5,0.5901328273244781,0.6071557993516619,0.572891111397126,NQ,60,0.0025879077516721433,0.00401563529926428,0.0010204237199312814,0.003359450938562368,0.0018280610394399773,0.004794421023036288,3162,Overlapping daily observations. iid t-stat overstates precision; block bootstrap is preferred.,LONG,-0.027540350609533852,6.289282186937609
