candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,open_class,outcome,poc,points,points_after_cost,r_after_cost,r_multiple,risk_points,signal_hhmm,status,stop,target,target_name,trading_date,vah,val,year
VP_INSIDE_ROTATE_POC,SHORT,3239.25,3239.5,1578407400,3240.0,1578407400,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",0,ES,1.25,2.75,OPEN_INSIDE_VALUE,STOP_HIT,3232.5,-0.75,-0.83,-1.1066666666666667,-1.0,0.75,09:30,ENTERED,3240.0,3232.5,POC,2020-01-07,3239.75,3218.75,2020
VP_INSIDE_ROTATE_POC,SHORT,3238.75,3239.0,1578493800,3237.5,1578493800,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",0,ES,0.5,2.75,OPEN_INSIDE_VALUE,TARGET_HIT,3237.5,1.25,1.17,0.4254545454545454,0.45454545454545453,2.75,09:30,ENTERED,3241.5,3237.5,POC,2020-01-08,3241.25,3236.0,2020
VP_INSIDE_ROTATE_POC,LONG,3273.25,3273.0,1578925800,3269.75,1578926040,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",240,ES,3.75,1.5,OPEN_INSIDE_VALUE,STOP_HIT,3277.5,-3.5,-3.58,-1.022857142857143,-1.0,3.5,09:30,ENTERED,3269.75,3277.5,POC,2020-01-13,3281.75,3270.0,2020
VP_INSIDE_ROTATE_POC,LONG,3282.5,3282.25,1579098600,3282.75,1579098600,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",0,ES,0.5,1.5,OPEN_INSIDE_VALUE,TARGET_HIT,3282.75,0.25,0.16999999999999998,0.09714285714285713,0.14285714285714285,1.75,09:30,ENTERED,3280.75,3282.75,POC,2020-01-15,3287.25,3281.0,2020
VP_INSIDE_ROTATE_POC,SHORT,3239.0,3239.25,1580740200,3246.75,1580740560,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",360,ES,8.5,1.5,OPEN_INSIDE_VALUE,STOP_HIT,3224.75,-7.75,-7.83,-1.0103225806451612,-1.0,7.75,09:30,ENTERED,3246.75,3224.75,POC,2020-02-03,3246.5,3220.25,2020
VP_INSIDE_ROTATE_POC,SHORT,3377.75,3378.0,1581690600,3374.75,1581690960,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",360,ES,2.0,3.5,OPEN_INSIDE_VALUE,TARGET_HIT,3374.75,3.0,2.92,0.5309090909090909,0.5454545454545454,5.5,09:30,ENTERED,3383.25,3374.75,POC,2020-02-14,3383.0,3369.0,2020
VP_INSIDE_ROTATE_POC,SHORT,3357.0,3357.25,1582295400,3352.5,1582295700,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",300,ES,3.25,6.5,OPEN_INSIDE_VALUE,TARGET_HIT,3352.5,4.5,4.42,0.24555555555555555,0.25,18.0,09:30,ENTERED,3375.0,3352.5,POC,2020-02-21,3374.75,3349.5,2020
VP_INSIDE_ROTATE_POC,SHORT,3240.25,3240.5,1582641000,3228.75,1582641900,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",900,ES,6.75,13.75,OPEN_INSIDE_VALUE,TARGET_HIT,3228.75,11.5,11.42,1.3051428571428572,1.3142857142857143,8.75,09:30,ENTERED,3249.0,3228.75,POC,2020-02-25,3248.75,3225.5,2020
VP_INSIDE_ROTATE_POC,SHORT,3058.5,3058.75,1583332200,3073.25,1583344560,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",12360,ES,14.5,28.0,OPEN_INSIDE_VALUE,STOP_HIT,3000.5,-14.75,-14.83,-1.0054237288135592,-1.0,14.75,09:30,ENTERED,3073.25,3000.5,POC,2020-03-04,3073.0,2979.75,2020
VP_INSIDE_ROTATE_POC,SHORT,2802.0,2802.25,1583933400,2767.0,1583938680,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",5280,ES,12.25,35.5,OPEN_INSIDE_VALUE,TARGET_HIT,2767.0,35.0,34.92,1.5182608695652176,1.5217391304347827,23.0,09:30,ENTERED,2825.0,2767.0,POC,2020-03-11,2824.75,2734.5,2020
