candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,open_class,outcome,poc,points,points_after_cost,r_after_cost,r_multiple,risk_points,signal_hhmm,status,stop,target,target_name,trading_date,vah,val,year
VP_OUTSIDE_REJECT_1R,LONG,3239.25,3239.0,1578062700,3237.75,1578084900,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",22200,ES,9.0,7.25,OPEN_BELOW_VAL,TIME_EXIT,3249.0,-1.5,-1.58,-0.08426666666666667,-0.08,18.75,09:44,ENTERED,3220.5,3258.0,1R,2020-01-03,3251.25,3239.25,2020
VP_OUTSIDE_REJECT_1R,LONG,3232.5,3232.25,1578325380,3245.25,1578344100,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",18720,ES,1.75,13.5,OPEN_BELOW_VAL,TIME_EXIT,3237.75,12.75,12.67,0.6497435897435897,0.6538461538461539,19.5,10:42,ENTERED,3213.0,3252.0,1R,2020-01-06,3240.25,3232.75,2020
VP_OUTSIDE_REJECT_1R,SHORT,3268.5,3268.75,1578581160,3274.25,1578584340,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",3180,ES,5.5,3.25,OPEN_ABOVE_VAH,STOP_HIT,3258.5,-5.75,-5.83,-1.0139130434782608,-1.0,5.75,09:45,ENTERED,3274.25,3262.75,1R,2020-01-09,3267.5,3247.0,2020
VP_OUTSIDE_REJECT_1R,SHORT,3275.75,3276.0,1578667560,3283.75,1578668760,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",1200,ES,7.75,1.25,OPEN_ABOVE_VAH,STOP_HIT,3273.0,-8.0,-8.08,-1.01,-1.0,8.0,09:45,ENTERED,3283.75,3267.75,1R,2020-01-10,3274.75,3269.25,2020
VP_OUTSIDE_REJECT_1R,LONG,3325.0,3324.75,1579811400,3325.0,1579812900,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",1500,ES,2.75,1.75,OPEN_BELOW_VAL,TIME_EXIT,3329.0,0.0,-0.08,-0.0033333333333333335,0.0,24.0,15:29,ENTERED,3301.0,3349.0,1R,2020-01-23,3335.5,3325.75,2020
VP_OUTSIDE_REJECT_1R,SHORT,3317.0,3317.25,1579880820,3301.25,1579885980,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",5160,ES,5.25,16.0,OPEN_ABOVE_VAH,TARGET_HIT,3312.0,15.75,15.67,0.9949206349206349,1.0,15.75,10:46,ENTERED,3332.75,3301.25,1R,2020-01-24,3315.75,3301.75,2020
VP_OUTSIDE_REJECT_1R,SHORT,3252.0,3252.25,1580222460,3261.5,1580223600,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",1140,ES,10.0,0.5,OPEN_ABOVE_VAH,STOP_HIT,3243.5,-9.5,-9.58,-1.0084210526315789,-1.0,9.5,09:40,ENTERED,3261.5,3242.5,1R,2020-01-28,3251.75,3242.0,2020
VP_OUTSIDE_REJECT_1R,SHORT,3264.25,3264.5,1580481960,3250.75,1580485140,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",3180,ES,2.75,14.0,OPEN_ABOVE_VAH,TARGET_HIT,3257.5,13.5,13.42,0.9940740740740741,1.0,13.5,09:45,ENTERED,3277.75,3250.75,1R,2020-01-31,3264.25,3246.25,2020
VP_OUTSIDE_REJECT_1R,LONG,3340.0,3339.75,1581093120,3323.75,1581102240,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",9120,ES,16.25,0.5,OPEN_BELOW_VAL,STOP_HIT,3343.75,-16.25,-16.33,-1.0049230769230768,-1.0,16.25,11:31,ENTERED,3323.75,3356.25,1R,2020-02-07,3345.75,3339.75,2020
VP_OUTSIDE_REJECT_1R,LONG,3325.25,3325.0,1581345300,3334.5,1581347340,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",2040,ES,1.5,9.75,OPEN_BELOW_VAL,TARGET_HIT,3327.5,9.25,9.17,0.9913513513513513,1.0,9.25,09:34,ENTERED,3316.0,3334.5,1R,2020-02-10,3334.75,3325.5,2020
