accept_1m,accept_5m,accept_two_1m,close_vs_value,continue_away,enter_value,first_exit_side,gap,gap_over_atr,inside_closes,instrument,mae_into,mfe_away,open,open_above_poc,open_below_poc,open_class,overnight_inside_value,poc,poc_in_range,prior_date,reject_1m,return_vah,return_val,tod_first_value_int,touch_poc,trading_date,traverse_full_value,ts_accept_1m,ts_poc,ts_vah,ts_val,vah,val,vol_above_poc,width,width_over_atr,width_over_range,year
True,True,True,CLOSE_ABOVE_VAH,False,True,,-37.0,,181,ES,-24.75,0.75,3221.5,False,True,OPEN_BELOW_VAL,True,3249.0,0.5806451612903226,2020-01-02,True,False,True,0930_1000,False,2020-01-03,False,1578062700,,,1578062640,3251.25,3239.25,0.27425156528758177,12.0,,0.5161290322580645,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,,-19.75,,216,ES,-31.25,1.25,3214.5,False,True,OPEN_BELOW_VAL,True,3237.75,0.6666666666666666,2020-01-03,True,True,True,1330_1530,True,2020-01-06,True,1578325380,1578334620,1578337920,1578325320,3240.25,3232.75,0.42022318415586574,7.5,,0.29411764705882354,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,VAH,-7.0,,255,ES,0.0,0.0,3239.5,True,False,OPEN_INSIDE_VALUE,True,3232.5,0.5620437956204379,2020-01-06,False,True,False,0930_1000,True,2020-01-07,False,1578407400,1578408300,1578407400,,3239.75,3218.75,0.5747755328380544,21.0,,0.6131386861313869,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,BOTH_SAME_BAR,1.75,,13,ES,0.0,0.0,3239.0,True,False,OPEN_INSIDE_VALUE,True,3237.5,0.4423076923076923,2020-01-07,False,True,True,0930_1000,True,2020-01-08,True,1578493800,1578493800,1578493860,1578493860,3241.25,3236.0,0.5966123409319268,5.25,,0.40384615384615385,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,,17.25,,26,ES,-6.75,5.75,3271.0,True,False,OPEN_ABOVE_VAH,True,3258.5,0.7086614173228346,2020-01-08,True,True,False,0930_1000,False,2020-01-09,False,1578581160,,1578581100,,3267.5,3247.0,0.3141994591659494,20.5,,0.6456692913385826,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,,6.5,0.2777777777777778,116,ES,-21.25,1.75,3282.0,True,False,OPEN_ABOVE_VAH,True,3273.0,0.7,2020-01-09,True,True,True,0930_1000,True,2020-01-10,True,1578674700,1578675720,1578667500,1578676200,3274.75,3269.25,0.2753345074224287,5.5,0.23504273504273507,0.44,2020
True,True,True,CLOSE_BELOW_VAL,False,True,VAL,7.25,0.3107142857142857,181,ES,0.0,0.0,3273.0,False,True,OPEN_INSIDE_VALUE,True,3277.5,0.7282608695652174,2020-01-10,False,True,True,1130_1330,True,2020-01-13,True,1578925800,1578931020,1578934740,1578926040,3281.75,3270.0,0.3227731465237414,11.75,0.5035714285714286,0.5108695652173914,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,VAH,-4.75,-0.20684292379471228,153,ES,0.0,0.0,3283.75,False,False,OPEN_INSIDE_VALUE,True,3283.75,0.7590361445783133,2020-01-13,False,True,False,0930_1000,True,2020-01-14,False,1579012260,1579012200,1579012200,,3285.0,3273.25,0.21347431541701037,11.75,0.5116640746500777,0.5662650602409639,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,-1.0,-0.04481792717086835,43,ES,0.0,0.0,3282.25,False,True,OPEN_INSIDE_VALUE,True,3282.75,0.30985915492957744,2020-01-14,False,True,False,0930_1000,True,2020-01-15,False,1579098600,1579098600,1579098780,,3287.25,3281.0,0.6997938911197332,6.25,0.2801120448179272,0.352112676056338,2020
False,False,False,CLOSE_INSIDE_VALUE,True,False,,14.25,0.6535031847133758,0,ES,-2.5,11.0,3305.25,True,False,OPEN_ABOVE_VAH,True,3290.0,0.49295774647887325,2020-01-15,False,False,False,0930_1000,False,2020-01-16,False,,,,,3296.0,3286.5,0.6142222448606379,9.5,0.43566878980891716,0.5352112676056338,2020
False,False,False,CLOSE_ABOVE_VAH,True,False,,7.75,0.3668639053254438,0,ES,-6.25,3.75,3325.25,True,False,OPEN_ABOVE_VAH,False,3307.25,0.3,2020-01-16,False,False,False,0930_1000,False,2020-01-17,False,,,,,3309.25,3304.25,0.466144839880607,5.0,0.23668639053254437,0.3333333333333333,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,,-11.75,-0.5808988764044944,110,ES,-13.25,0.5,3316.5,False,True,OPEN_BELOW_VAL,True,3324.5,0.4888888888888889,2020-01-17,False,True,True,1000_1130,True,2020-01-21,True,1579617120,1579623300,1579623660,1579617120,3326.0,3321.75,0.40977891234094765,4.25,0.21011235955056182,0.37777777777777777,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,,9.25,0.46984126984126984,20,ES,-11.0,7.0,3330.5,True,False,OPEN_ABOVE_VAH,True,3321.25,0.38181818181818183,2020-01-21,False,True,False,1330_1530,True,2020-01-22,False,1579724100,1579724520,1579724100,,3323.0,3318.0,0.47803861265607916,5.0,0.25396825396825395,0.36363636363636365,2020
True,False,False,CLOSE_BELOW_VAL,False,True,,-8.0,-0.4090462143559489,2,ES,-13.0,12.25,3313.5,False,True,OPEN_BELOW_VAL,False,3329.0,0.5277777777777778,2020-01-22,True,False,True,1330_1530,False,2020-01-23,False,1579811520,,,1579811340,3335.5,3325.75,0.4845780538802197,9.75,0.4985250737463127,0.5416666666666666,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,,6.25,0.3125,88,ES,-51.0,1.0,3331.5,True,False,OPEN_ABOVE_VAH,False,3312.0,0.4174757281553398,2020-01-23,True,True,True,1000_1130,True,2020-01-24,True,1579880700,1579883040,1579880700,1579885800,3315.75,3301.75,0.46205476243138754,14.0,0.7,0.5436893203883495,2020
False,False,False,CLOSE_INSIDE_VALUE,True,False,,-57.75,-2.637846655791191,0,ES,-21.0,3.75,3236.75,False,True,OPEN_BELOW_VAL,True,3294.5,0.2692307692307692,2020-01-24,False,False,False,0930_1000,False,2020-01-27,False,,,,,3313.25,3281.75,0.6795430190133612,31.5,1.438825448613377,0.6057692307692307,2020
False,False,False,CLOSE_BELOW_VAL,False,False,,15.75,0.7424242424242424,0,ES,-5.25,28.0,3257.0,True,False,OPEN_ABOVE_VAH,True,3243.5,0.42424242424242425,2020-01-27,True,True,False,0930_1000,False,2020-01-28,False,,,1580222400,,3251.75,3242.0,0.7948247512875539,9.75,0.45959595959595956,0.3939393939393939,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,,14.25,0.6288416075650118,155,ES,-20.0,2.5,3290.25,True,False,OPEN_ABOVE_VAH,True,3275.0,0.6992481203007519,2020-01-28,False,True,False,0930_1000,True,2020-01-29,False,1580309280,1580310060,1580309280,,3284.25,3269.25,0.48962290329804614,15.0,0.6619385342789599,0.45112781954887216,2020
True,True,True,CLOSE_BELOW_VAL,False,True,,-23.5,-1.0681818181818181,9,ES,-32.75,8.0,3249.0,False,True,OPEN_BELOW_VAL,True,3285.25,0.6666666666666666,2020-01-29,False,False,True,1330_1530,False,2020-01-30,False,1580416980,,,1580416980,3290.0,3277.5,0.317613068176833,12.5,0.5681818181818182,0.5555555555555556,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,,-7.25,-0.29874908020603386,64,ES,-62.75,2.0,3275.5,True,False,OPEN_ABOVE_VAH,False,3257.5,0.3728813559322034,2020-01-30,True,True,True,0930_1000,True,2020-01-31,True,1580481960,1580483040,1580481900,1580485800,3264.25,3246.25,0.49684449337027475,18.0,0.7417218543046358,0.4067796610169492,2020
