candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,open_class,outcome,poc,points,points_after_cost,r_after_cost,r_multiple,risk_points,signal_hhmm,status,stop,target,target_name,trading_date,vah,val,year
VP_OUTSIDE_REJECT_1R,LONG,8811.5,8811.25,1578061980,8852.75,1578071160,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",9180,NQ,6.25,41.75,OPEN_BELOW_VAL,TARGET_HIT,8837.25,41.25,41.05,0.9951515151515151,1.0,41.25,09:32,ENTERED,8770.25,8852.75,1R,2020-01-03,8850.0,8812.0,2020
VP_OUTSIDE_REJECT_1R,SHORT,8844.75,8845.0,1578408000,8878.25,1578412680,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",4680,NQ,34.0,10.5,OPEN_ABOVE_VAH,STOP_HIT,8831.75,-33.5,-33.7,-1.0059701492537314,-1.0,33.5,09:39,ENTERED,8878.25,8811.25,1R,2020-01-07,8843.5,8781.5,2020
VP_OUTSIDE_REJECT_1R,SHORT,9063.75,9064.0,1579012620,9041.0,1579013880,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",1260,NQ,11.25,27.75,OPEN_ABOVE_VAH,TARGET_HIT,9024.75,22.75,22.55,0.9912087912087912,1.0,22.75,09:36,ENTERED,9086.5,9041.0,1R,2020-01-14,9063.0,9003.75,2020
VP_OUTSIDE_REJECT_1R,SHORT,9095.25,9095.5,1579185060,,1579185120,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",,NQ,8.25,5.25,OPEN_ABOVE_VAH,AMBIGUOUS,9081.0,,,,,4.0,09:30,ENTERED,9099.25,9091.25,1R,2020-01-16,9090.0,9058.75,2020
VP_OUTSIDE_REJECT_1R,LONG,9218.75,9218.5,1579807140,9226.5,1579812900,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",5760,NQ,6.0,15.25,OPEN_BELOW_VAL,TIME_EXIT,9230.0,7.75,7.55,0.11226765799256505,0.11524163568773234,67.25,14:18,ENTERED,9151.5,9286.0,1R,2020-01-23,9244.25,9220.5,2020
VP_OUTSIDE_REJECT_1R,SHORT,9221.0,9221.25,1579883220,9158.5,1579890720,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",7500,NQ,10.75,63.0,OPEN_ABOVE_VAH,TARGET_HIT,9188.5,62.5,62.3,0.9967999999999999,1.0,62.5,11:26,ENTERED,9283.5,9158.5,1R,2020-01-24,9219.5,9176.5,2020
VP_OUTSIDE_REJECT_1R,SHORT,9124.25,9124.5,1580309460,9089.5,1580310060,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",600,NQ,3.0,37.5,OPEN_ABOVE_VAH,TARGET_HIT,9107.5,34.75,34.55,0.9942446043165467,1.0,34.75,09:50,ENTERED,9159.0,9089.5,1R,2020-01-29,9118.75,9053.25,2020
VP_OUTSIDE_REJECT_1R,LONG,9596.5,9596.25,1582036320,9618.75,1582037580,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",1260,NQ,6.0,23.25,OPEN_BELOW_VAL,TARGET_HIT,9608.75,22.25,22.05,0.9910112359550562,1.0,22.25,09:31,ENTERED,9574.25,9618.75,1R,2020-02-18,9624.25,9600.75,2020
VP_OUTSIDE_REJECT_1R,LONG,9713.5,9713.25,1582209120,9699.5,1582209360,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",240,NQ,20.75,6.0,OPEN_BELOW_VAL,STOP_HIT,9734.5,-14.0,-14.2,-1.0142857142857142,-1.0,14.0,09:31,ENTERED,9699.5,9727.5,1R,2020-02-20,9745.5,9714.5,2020
VP_OUTSIDE_REJECT_1R,LONG,8660.75,8660.5,1587735060,8641.5,1587735120,"{""adverse_ticks"": 1.0, ""tick"": 0.25}",60,NQ,22.25,3.75,OPEN_BELOW_VAL,STOP_HIT,8724.25,-19.25,-19.45,-1.0103896103896104,-1.0,19.25,09:30,ENTERED,8641.5,8680.0,1R,2020-04-24,8771.5,8663.0,2020
