accept_1m,accept_5m,accept_two_1m,close_vs_value,continue_away,enter_value,first_exit_side,gap,gap_over_atr,inside_closes,instrument,mae_into,mfe_away,open,open_above_poc,open_below_poc,open_class,overnight_inside_value,poc,poc_in_range,prior_date,reject_1m,return_vah,return_val,tod_first_value_int,touch_poc,trading_date,traverse_full_value,ts_accept_1m,ts_poc,ts_vah,ts_val,vah,val,vol_above_poc,width,width_over_atr,width_over_range,year
True,True,True,CLOSE_ABOVE_VAH,False,True,,-117.0,,332,NQ,-89.75,1.5,8772.0,False,True,OPEN_BELOW_VAL,True,8837.25,0.40114613180515757,2020-01-02,True,True,True,1130_1330,True,2020-01-03,True,1578061980,1578062580,1578071100,1578061920,8850.0,8812.0,0.49711960509258696,38.0,,0.4355300859598854,2020
True,True,True,CLOSE_BELOW_VAL,False,True,,-70.75,,227,NQ,-124.0,10.0,8739.0,False,True,OPEN_BELOW_VAL,True,8820.75,0.5506849315068493,2020-01-03,True,True,True,1330_1530,True,2020-01-06,True,1578324060,1578325320,1578337800,1578324000,8837.5,8812.25,0.6858167826846443,25.25,,0.27671232876712326,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,,3.5,,10,NQ,-32.5,21.0,8867.0,True,False,OPEN_ABOVE_VAH,False,8831.75,0.7486338797814208,2020-01-06,True,True,False,0930_1000,False,2020-01-07,False,1578408000,,1578407940,,8843.5,8781.5,0.29416050680885786,62.0,,0.4517304189435337,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAL,-1.25,,51,NQ,0.0,0.0,8861.25,False,True,OPEN_INSIDE_VALUE,True,8870.75,0.677570093457944,2020-01-07,False,True,True,0930_1000,True,2020-01-08,True,1578493860,1578493860,1578493980,1578493800,8880.75,8858.75,0.3787245430495762,22.0,,0.411214953271028,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,,72.0,,15,NQ,-49.25,20.5,9001.75,True,False,OPEN_ABOVE_VAH,True,8933.0,0.6841046277665996,2020-01-08,False,True,False,1130_1330,False,2020-01-09,False,1578591180,,1578591180,,8971.5,8887.25,0.3682430550681977,84.25,,0.6780684104627767,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,,31.75,0.3335084033613445,160,NQ,-71.75,4.5,9038.0,True,False,OPEN_ABOVE_VAH,True,9005.25,0.7562724014336918,2020-01-09,False,True,True,0930_1000,True,2020-01-10,True,1578667020,1578667140,1578667020,1578676200,9013.75,8990.0,0.3078881302236252,23.75,0.2494747899159664,0.34050179211469533,2020
True,True,True,CLOSE_BELOW_VAL,False,True,VAH,34.75,0.3775464010864644,116,NQ,0.0,0.0,9017.5,True,False,OPEN_INSIDE_VALUE,True,9014.25,0.6295081967213115,2020-01-10,False,True,False,1000_1130,True,2020-01-13,False,1578925800,1578926100,1578931920,,9039.75,8998.75,0.4757356853506151,41.0,0.44545043005885016,0.5377049180327869,2020
True,True,True,CLOSE_ABOVE_VAH,False,True,,-8.75,-0.09641873278236915,138,NQ,-41.5,18.5,9076.5,True,False,OPEN_ABOVE_VAH,True,9024.75,0.25301204819277107,2020-01-13,True,True,False,0930_1000,False,2020-01-14,False,1579012800,,1579012560,,9063.0,9003.75,0.781197867767145,59.25,0.6528925619834711,0.713855421686747,2020
True,True,True,CLOSE_INSIDE_VALUE,False,True,VAH,3.5,0.040273282991729595,157,NQ,0.0,0.0,9054.0,False,True,OPEN_INSIDE_VALUE,True,9064.25,0.4875,2020-01-14,False,True,True,0930_1000,True,2020-01-15,True,1579098600,1579098780,1579098780,1579114620,9072.5,9045.75,0.45196208200145216,26.75,0.30780294857964763,0.44583333333333336,2020
True,True,True,CLOSE_BELOW_VAL,False,True,,43.0,0.5037422713960299,29,NQ,-19.25,39.5,9095.75,True,False,OPEN_ABOVE_VAH,True,9081.0,0.7945205479452054,2020-01-15,True,True,False,0930_1000,True,2020-01-16,False,1579191120,1579191360,1579185000,,9090.0,9058.75,0.24165125943242072,31.25,0.3660917670029287,0.4280821917808219,2020
False,False,False,CLOSE_ABOVE_VAH,True,False,,37.5,0.4515352197471403,0,NQ,-45.5,8.75,9175.5,True,False,OPEN_ABOVE_VAH,False,9104.25,0.4457831325301205,2020-01-16,False,False,False,0930_1000,False,2020-01-17,False,,,,,9118.0,9093.75,0.5035101364105523,24.25,0.29199277543648405,0.3895582329317269,2020
