aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3240.75,3241.0,1577984700,3241.5,1577984820,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": null, ""prior_ret"": null, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",120,1h,1,-0.0026927219572241423,weak,ES,0.5,0.75,STOP_HIT,-0.75,-0.83,-1.1066666666666667,-1.0,True,False,0.5227272727272727,0.75,12:05,ENTERED,3241.5,3240.0,1.0,2020-01-02,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3236.75,3236.5,1578064500,3243.75,1578071040,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -37.0, ""prior_ret"": 12.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",6540,1h,1,0.008018060096528057,strong,ES,5.75,7.75,TARGET_HIT,7.0,6.92,0.9885714285714285,1.0,True,False,0.5277777777777778,7.0,10:15,ENTERED,3229.75,3243.75,1.0,2020-01-03,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3226.0,3225.75,1578323100,3230.25,1578324120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -19.75, ""prior_ret"": 12.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",1020,1h,1,0.002798072438986443,weak,ES,1.25,5.5,TARGET_HIT,4.25,4.17,0.9811764705882353,1.0,True,False,0.4117647058823529,4.25,10:05,ENTERED,3221.75,3230.25,1.0,2020-01-06,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3234.0,3234.25,1578408600,3237.0,1578409200,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -7.0, ""prior_ret"": 32.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",600,1h,1,-0.002847468062182501,weak,ES,3.75,2.25,STOP_HIT,-3.0,-3.08,-1.0266666666666666,-1.0,False,False,0.56,3.0,09:50,ENTERED,3237.0,3231.0,1.0,2020-01-07,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3246.5,3246.25,1578495300,3242.25,1578497400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 1.75, ""prior_ret"": -2.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",2100,1h,5,0.0023977105731300963,weak,ES,4.0,3.25,STOP_HIT,-4.25,-4.33,-1.0188235294117647,-1.0,False,False,0.4166666666666667,4.25,09:55,ENTERED,3242.25,3250.75,1.0,2020-01-08,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3274.0,3274.25,1578679200,3275.75,1578679380,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": 6.5, ""prior_ret"": 4.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",180,1h,2,-0.0023615449074426698,weak,ES,1.5,0.5,STOP_HIT,-1.75,-1.83,-1.0457142857142858,-1.0,False,False,0.46296296296296297,1.75,13:00,ENTERED,3275.75,3272.25,1.0,2020-01-10,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3295.75,3295.5,1579105200,3291.75,1579110720,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -1.0, ""prior_ret"": -0.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",5520,1h,2,0.0033467711264927313,weak,ES,5.25,3.5,STOP_HIT,-4.0,-4.08,-1.02,-1.0,False,False,0.4090909090909091,4.0,11:20,ENTERED,3291.75,3299.75,1.0,2020-01-15,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3322.25,3322.0,1579619100,3319.25,1579619760,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -11.75, ""prior_ret"": 3.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",660,1h,1,0.0023397992301306125,weak,ES,3.5,1.0,STOP_HIT,-3.0,-3.08,-1.0266666666666666,-1.0,False,False,0.5,3.0,10:05,ENTERED,3319.25,3325.25,1.0,2020-01-21,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3306.25,3306.5,1579796100,3303.75,1579796760,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -8.0, ""prior_ret"": -9.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",660,1h,2,-0.0030871169339657945,weak,ES,1.5,3.25,TARGET_HIT,2.5,2.42,0.968,1.0,True,False,0.5918367346938775,2.5,11:15,ENTERED,3308.75,3303.75,1.0,2020-01-23,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3320.25,3320.5,1579882500,3317.75,1579882680,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 6.25, ""prior_ret"": 11.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",180,1h,1,-0.004723346828609976,medium,ES,1.0,7.25,TARGET_HIT,2.5,2.42,0.968,1.0,True,True,0.4375,2.5,11:15,ENTERED,3322.75,3317.75,1.0,2020-01-24,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3252.0,3251.75,1580139000,3241.75,1580140380,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -57.75, ""prior_ret"": -37.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",1380,1h,1,0.003704561241028026,weak,ES,10.25,1.0,STOP_HIT,-10.25,-10.33,-1.0078048780487805,-1.0,False,False,0.4925373134328358,10.25,10:30,ENTERED,3241.75,3262.25,1.0,2020-01-27,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3270.5,3270.25,1580225100,3277.75,1580229120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 15.75, ""prior_ret"": 4.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",4020,1h,3,0.002770722696836758,weak,ES,1.5,7.75,TARGET_HIT,7.25,7.17,0.9889655172413793,1.0,True,False,0.4090909090909091,7.25,10:25,ENTERED,3263.25,3277.75,1.0,2020-01-28,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3271.75,3272.0,1580310300,3283.0,1580313000,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 14.25, ""prior_ret"": 19.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",2700,1h,1,-0.0026613945707550934,weak,ES,11.75,1.75,STOP_HIT,-11.25,-11.33,-1.007111111111111,-1.0,False,False,0.4,11.25,10:05,ENTERED,3283.0,3260.5,1.0,2020-01-29,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3264.0,3263.75,1580397000,3256.75,1580397480,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -23.5, ""prior_ret"": -17.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",480,1h,1,0.002153349227101531,weak,ES,7.25,0.25,STOP_HIT,-7.25,-7.33,-1.0110344827586206,-1.0,False,False,0.47619047619047616,7.25,10:10,ENTERED,3256.75,3271.25,1.0,2020-01-30,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3255.25,3255.0,1580741400,3266.75,1580743680,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 16.75, ""prior_ret"": -53.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",2280,1h,1,0.0023189302002009082,weak,ES,0.75,12.25,TARGET_HIT,11.5,11.42,0.9930434782608696,1.0,True,False,0.525,11.5,09:50,ENTERED,3243.75,3266.75,1.0,2020-02-03,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3333.75,3333.5,1580934000,3331.25,1580934720,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1400_1530"", ""gap_points"": 32.0, ""prior_ret"": 9.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",720,1h,1,0.0033125047052624534,weak,ES,3.0,2.5,STOP_HIT,-2.5,-2.58,-1.032,-1.0,True,False,0.5172413793103449,2.5,15:20,ENTERED,3331.25,3336.25,1.0,2020-02-05,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3356.25,3356.5,1581451500,3359.75,1581454500,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1400_1530"", ""gap_points"": 14.75, ""prior_ret"": 35.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",3000,1h,1,-0.003189910979228494,weak,ES,3.75,4.75,TIME_EXIT,-3.5,-3.58,-0.5728,-0.56,False,False,0.5555555555555556,6.25,15:05,ENTERED,3362.5,3350.0,1.0,2020-02-11,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,3368.5,3368.25,1581605400,3371.25,1581605640,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -16.0, ""prior_ret"": 5.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",240,1h,1,0.002234304014299582,weak,ES,0.0,3.5,TARGET_HIT,2.75,2.67,0.9709090909090908,1.0,True,False,0.45454545454545453,2.75,09:50,ENTERED,3365.75,3371.25,1.0,2020-02-13,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3371.5,3371.75,1581693300,3376.25,1581693600,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 3.25, ""prior_ret"": 12.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",300,1h,1,-0.002807950934752057,weak,ES,4.75,0.75,STOP_HIT,-4.75,-4.83,-1.016842105263158,-1.0,False,False,0.5454545454545454,4.75,10:15,ENTERED,3376.25,3366.75,1.0,2020-02-14,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,3360.5,3360.75,1582047000,3361.75,1582047000,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": -11.0, ""prior_ret"": 1.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",0,1h,1,-0.0030453836440614834,weak,ES,1.75,0.0,STOP_HIT,-1.25,-1.33,-1.064,-1.0,False,False,0.41509433962264153,1.25,12:30,ENTERED,3361.75,3359.25,1.0,2020-02-18,True,2020
