aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,3246.5,3246.25,1578495300,3242.25,1578497400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 1.75, ""prior_ret"": -2.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2100,4h,1,0.00270646458397783,weak,ES,4.0,3.25,STOP_HIT,-4.25,-4.33,-1.0188235294117647,-1.0,False,False,0.4166666666666667,4.25,09:55,ENTERED,3242.25,3250.75,1.0,2020-01-08,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,3274.25,3274.0,1578585000,3272.25,1578586080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 17.25, ""prior_ret"": 14.75, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1080,4h,8,0.002145758295654776,weak,ES,1.75,0.75,STOP_HIT,-2.0,-2.08,-1.04,-1.0,False,False,0.6,2.0,10:50,ENTERED,3272.25,3276.25,1.0,2020-01-09,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,3272.0,3272.25,1578683700,3267.25,1578687240,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1400_1530"", ""gap_points"": 6.5, ""prior_ret"": 4.5, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",3540,4h,1,-0.002283800243605305,weak,ES,2.5,5.0,TARGET_HIT,4.75,4.67,0.9831578947368421,1.0,True,False,0.5925925925925926,4.75,14:15,ENTERED,3276.75,3267.25,1.0,2020-01-10,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,3295.75,3295.5,1579105200,3291.75,1579110720,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -1.0, ""prior_ret"": -0.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",5520,4h,1,0.004573519323119113,medium,ES,5.25,3.5,STOP_HIT,-4.0,-4.08,-1.02,-1.0,False,False,0.4090909090909091,4.0,11:20,ENTERED,3291.75,3299.75,1.0,2020-01-15,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,3322.25,3322.0,1579619100,3319.25,1579619760,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -11.75, ""prior_ret"": 3.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",660,4h,1,0.002869657151487681,weak,ES,3.5,1.0,STOP_HIT,-3.0,-3.08,-1.0266666666666666,-1.0,False,False,0.5,3.0,10:05,ENTERED,3319.25,3325.25,1.0,2020-01-21,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,3305.75,3306.0,1579796400,3308.75,1579797480,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -8.0, ""prior_ret"": -9.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",1080,4h,1,-0.0026363362458572404,weak,ES,2.75,3.0,STOP_HIT,-3.0,-3.08,-1.0266666666666666,-1.0,True,False,0.5918367346938775,3.0,11:20,ENTERED,3308.75,3302.75,1.0,2020-01-23,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,3270.5,3270.25,1580225100,3277.75,1580229120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 15.75, ""prior_ret"": 4.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",4020,4h,3,0.0023078698361411742,weak,ES,1.5,7.75,TARGET_HIT,7.25,7.17,0.9889655172413793,1.0,True,False,0.4090909090909091,7.25,10:25,ENTERED,3263.25,3277.75,1.0,2020-01-28,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,3271.75,3272.0,1580310300,3283.0,1580313000,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 14.25, ""prior_ret"": 19.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",2700,4h,1,-0.002585551330798519,weak,ES,11.75,1.75,STOP_HIT,-11.25,-11.33,-1.007111111111111,-1.0,False,False,0.4,11.25,10:05,ENTERED,3283.0,3260.5,1.0,2020-01-29,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,3264.5,3264.75,1580482200,3257.25,1580483040,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -7.25, ""prior_ret"": 33.75, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",840,4h,1,-0.006678303103893168,medium,ES,2.5,7.75,TARGET_HIT,7.25,7.17,0.9889655172413793,1.0,True,False,0.5789473684210527,7.25,09:50,ENTERED,3271.75,3257.25,1.0,2020-01-31,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,3249.5,3249.25,1580741100,3255.25,1580741280,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 16.75, ""prior_ret"": -53.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",180,4h,2,0.0030988534242331056,weak,ES,0.25,6.25,TARGET_HIT,5.75,5.67,0.9860869565217392,1.0,True,False,0.525,5.75,09:45,ENTERED,3243.75,3255.25,1.0,2020-02-03,True,2020
