aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,8837.5,8837.25,1577977500,8833.25,1577977860,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": null, ""prior_ret"": null, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",360,1h,1,0.0034021320027217694,weak,NQ,5.0,4.25,STOP_HIT,-4.25,-4.45,-1.0470588235294118,-1.0,True,False,0.544,4.25,10:05,ENTERED,8833.25,8841.75,1.0,2020-01-02,False,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,8825.75,8825.5,1578064500,8846.75,1578071040,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -117.0, ""prior_ret"": 67.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",6540,1h,1,0.009089869654699267,strong,NQ,20.0,21.5,TARGET_HIT,21.0,20.8,0.9904761904761905,1.0,True,False,0.52,21.0,10:15,ENTERED,8804.75,8846.75,1.0,2020-01-03,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,8846.25,8846.5,1578408600,8842.25,1578408600,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 3.5, ""prior_ret"": 124.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",0,1h,1,-0.0023373039339922297,weak,NQ,0.75,6.5,TARGET_HIT,4.0,3.8,0.95,1.0,True,False,0.4645669291338583,4.0,09:50,ENTERED,8850.25,8842.25,1.0,2020-01-07,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,8889.75,8889.5,1578495300,8875.25,1578498180,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -1.25, ""prior_ret"": -4.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",2880,1h,6,0.003139317834719213,weak,NQ,14.75,8.0,STOP_HIT,-14.5,-14.7,-1.013793103448276,-1.0,False,False,0.42424242424242425,14.5,09:55,ENTERED,8875.25,8904.25,1.0,2020-01-08,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9013.25,9013.0,1578585300,9006.75,1578586080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 72.0, ""prior_ret"": 68.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",780,1h,1,0.002644618896497919,weak,NQ,8.75,2.5,STOP_HIT,-6.5,-6.7,-1.0307692307692309,-1.0,False,False,0.5487804878048781,6.5,10:55,ENTERED,9006.75,9019.75,1.0,2020-01-09,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,9006.5,9006.75,1578675900,8992.5,1578676140,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": 31.75, ""prior_ret"": 4.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",240,1h,1,-0.0033161079945837058,weak,NQ,5.0,14.25,TARGET_HIT,14.0,13.8,0.9857142857142858,1.0,True,False,0.4701492537313433,14.0,12:05,ENTERED,9020.5,8992.5,1.0,2020-01-10,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9046.5,9046.25,1578933900,9058.5,1578934740,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 34.75, ""prior_ret"": -55.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",840,1h,1,0.0030529266464989213,weak,NQ,1.25,12.5,TARGET_HIT,12.0,11.8,0.9833333333333334,1.0,True,False,0.5071428571428571,12.0,11:45,ENTERED,9034.5,9058.5,1.0,2020-01-13,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,9055.25,9055.5,1579014300,9057.5,1579014300,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -8.75, ""prior_ret"": 67.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",0,1h,1,-0.003828779197884491,weak,NQ,4.0,0.5,STOP_HIT,-2.25,-2.45,-1.088888888888889,-1.0,False,False,0.484472049689441,2.25,10:05,ENTERED,9057.5,9053.0,1.0,2020-01-14,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9080.75,9080.5,1579102500,9089.5,1579102620,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 3.5, ""prior_ret"": -26.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",120,1h,1,0.003258048484179099,weak,NQ,0.0,11.5,TARGET_HIT,8.75,8.55,0.9771428571428572,1.0,True,False,0.5100671140939598,8.75,10:35,ENTERED,9072.0,9089.5,1.0,2020-01-15,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,9144.75,9145.0,1579277400,9134.75,1579277580,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 37.5, ""prior_ret"": 42.25, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",180,1h,1,-0.002507768631085483,weak,NQ,0.5,10.75,TARGET_HIT,10.0,9.8,0.9800000000000001,1.0,True,False,0.4084507042253521,10.0,11:10,ENTERED,9154.75,9134.75,1.0,2020-01-17,True,2020
