aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8838.75,8838.5,1577977800,8833.25,1577977860,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": null, ""prior_ret"": null, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",60,4h,1,0.007113994650276068,medium,NQ,6.25,3.0,STOP_HIT,-5.5,-5.7,-1.0363636363636364,-1.0,False,False,0.544,5.5,10:10,ENTERED,8833.25,8844.25,1.0,2020-01-02,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8889.75,8889.5,1578495300,8875.25,1578498180,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -1.25, ""prior_ret"": -4.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2880,4h,1,0.002600559685671522,weak,NQ,14.75,8.0,STOP_HIT,-14.5,-14.7,-1.013793103448276,-1.0,False,False,0.42424242424242425,14.5,09:55,ENTERED,8875.25,8904.25,1.0,2020-01-08,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9013.5,9013.25,1578585000,9006.75,1578586080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 72.0, ""prior_ret"": 68.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1080,4h,8,0.00614576640500597,medium,NQ,9.0,2.75,STOP_HIT,-6.75,-6.95,-1.0296296296296297,-1.0,False,False,0.5487804878048781,6.75,10:50,ENTERED,9006.75,9020.25,1.0,2020-01-09,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9011.5,9011.75,1578683100,9006.25,1578683400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1400_1530"", ""gap_points"": 31.75, ""prior_ret"": 4.5, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",300,4h,1,-0.0027937596813454313,weak,NQ,2.5,5.5,TARGET_HIT,5.25,5.05,0.9619047619047618,1.0,True,False,0.5255102040816326,5.25,14:05,ENTERED,9016.75,9006.25,1.0,2020-01-10,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9026.25,9026.0,1578928800,9023.5,1578928800,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 34.75, ""prior_ret"": -55.25, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",0,4h,2,0.002441460437243359,weak,NQ,4.0,0.25,STOP_HIT,-2.75,-2.95,-1.0727272727272728,-1.0,False,False,0.5185185185185185,2.75,10:20,ENTERED,9023.5,9029.0,1.0,2020-01-13,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9080.75,9080.5,1579102200,9089.5,1579102620,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 3.5, ""prior_ret"": -26.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",420,4h,1,0.005534646889528538,medium,NQ,5.0,11.5,TARGET_HIT,8.75,8.55,0.9771428571428572,1.0,True,False,0.5100671140939598,8.75,10:30,ENTERED,9072.0,9089.5,1.0,2020-01-15,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9110.5,9110.25,1579186500,9100.75,1579188060,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 43.0, ""prior_ret"": -1.25, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1560,4h,2,0.004082983888766378,medium,NQ,10.5,9.25,STOP_HIT,-9.75,-9.95,-1.0205128205128204,-1.0,False,False,0.5822784810126582,9.75,09:55,ENTERED,9100.75,9120.25,1.0,2020-01-16,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9173.25,9173.0,1579620600,9185.5,1579623240,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -28.75, ""prior_ret"": 7.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2640,4h,1,0.004491058958841165,medium,NQ,6.75,12.5,TARGET_HIT,12.25,12.05,0.9836734693877551,1.0,True,False,0.4666666666666667,12.25,10:30,ENTERED,9161.0,9185.5,1.0,2020-01-21,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9049.75,9049.5,1580225100,9070.25,1580226120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 62.75, ""prior_ret"": 13.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1020,4h,3,0.0034214186369958544,weak,NQ,3.0,21.5,TARGET_HIT,20.5,20.3,0.9902439024390244,1.0,True,False,0.578125,20.5,10:25,ENTERED,9029.25,9070.25,1.0,2020-01-28,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9082.25,9082.5,1580311200,9105.75,1580312400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 50.75, ""prior_ret"": 74.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",1200,4h,1,-0.0036656089287667726,weak,NQ,27.0,0.5,STOP_HIT,-23.5,-23.7,-1.0085106382978724,-1.0,False,False,0.4041095890410959,23.5,10:20,ENTERED,9105.75,9058.75,1.0,2020-01-29,True,2020
