aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8838.75,8838.5,1577977800,8833.25,1577977860,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": null, ""prior_ret"": null, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",60,1h,1,0.0034021320027217694,weak,NQ,6.25,3.0,STOP_HIT,-5.5,-5.7,-1.0363636363636364,-1.0,False,False,0.544,5.5,10:10,ENTERED,8833.25,8844.25,1.0,2020-01-02,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8819.5,8819.25,1578064200,8834.25,1578066120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -117.0, ""prior_ret"": 67.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""candle""}",1920,1h,1,0.009089869654699267,strong,NQ,6.25,17.0,TARGET_HIT,14.75,14.55,0.9864406779661018,1.0,True,False,0.52,14.75,10:10,ENTERED,8804.75,8834.25,1.0,2020-01-03,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,8841.5,8841.75,1578408900,8853.25,1578409080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 3.5, ""prior_ret"": 124.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",180,1h,1,-0.0023373039339922297,weak,NQ,13.5,1.5,STOP_HIT,-11.75,-11.95,-1.0170212765957447,-1.0,False,False,0.4645669291338583,11.75,09:55,ENTERED,8853.25,8829.75,1.0,2020-01-07,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8889.75,8889.5,1578495300,8875.25,1578498180,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -1.25, ""prior_ret"": -4.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2880,1h,6,0.003139317834719213,weak,NQ,14.75,8.0,STOP_HIT,-14.5,-14.7,-1.013793103448276,-1.0,False,False,0.42424242424242425,14.5,09:55,ENTERED,8875.25,8904.25,1.0,2020-01-08,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9013.5,9013.25,1578585000,9006.75,1578586080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 72.0, ""prior_ret"": 68.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1080,1h,1,0.002644618896497919,weak,NQ,9.0,2.75,STOP_HIT,-6.75,-6.95,-1.0296296296296297,-1.0,False,False,0.5487804878048781,6.75,10:50,ENTERED,9006.75,9020.25,1.0,2020-01-09,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9006.5,9006.75,1578675900,8992.5,1578676140,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": 31.75, ""prior_ret"": 4.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""candle""}",240,1h,1,-0.0033161079945837058,weak,NQ,5.0,14.25,TARGET_HIT,14.0,13.8,0.9857142857142858,1.0,True,False,0.4701492537313433,14.0,12:05,ENTERED,9020.5,8992.5,1.0,2020-01-10,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9044.75,9044.5,1578933600,9055.0,1578934740,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 34.75, ""prior_ret"": -55.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1140,1h,1,0.0030529266464989213,weak,NQ,4.0,14.25,TARGET_HIT,10.25,10.05,0.9804878048780489,1.0,True,False,0.5071428571428571,10.25,11:40,ENTERED,9034.5,9055.0,1.0,2020-01-13,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9080.75,9080.5,1579102200,9089.5,1579102620,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 3.5, ""prior_ret"": -26.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",420,1h,1,0.003258048484179099,weak,NQ,5.0,11.5,TARGET_HIT,8.75,8.55,0.9771428571428572,1.0,True,False,0.5100671140939598,8.75,10:30,ENTERED,9072.0,9089.5,1.0,2020-01-15,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9144.75,9145.0,1579277400,9134.75,1579277580,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 37.5, ""prior_ret"": 42.25, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""candle""}",180,1h,1,-0.002507768631085483,weak,NQ,0.5,10.75,TARGET_HIT,10.0,9.8,0.9800000000000001,1.0,True,False,0.4084507042253521,10.0,11:10,ENTERED,9154.75,9134.75,1.0,2020-01-17,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9173.25,9173.0,1579620600,9185.5,1579623240,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -28.75, ""prior_ret"": 7.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2640,1h,1,0.004298543423502332,medium,NQ,6.75,12.5,TARGET_HIT,12.25,12.05,0.9836734693877551,1.0,True,False,0.4666666666666667,12.25,10:30,ENTERED,9161.0,9185.5,1.0,2020-01-21,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9249.5,9249.75,1579882500,9243.0,1579882680,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 45.5, ""prior_ret"": 34.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""candle""}",180,1h,1,-0.0042015675078779235,medium,NQ,4.5,24.75,TARGET_HIT,6.5,6.3,0.9692307692307692,1.0,True,True,0.4044943820224719,6.5,11:15,ENTERED,9256.0,9243.0,1.0,2020-01-24,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8980.5,8980.25,1580137800,8958.25,1580140380,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -204.5, ""prior_ret"": -121.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",2580,1h,1,0.002790490010045721,weak,NQ,27.75,14.0,STOP_HIT,-22.25,-22.45,-1.0089887640449438,-1.0,False,False,0.5317919075144508,22.25,10:10,ENTERED,8958.25,9002.75,1.0,2020-01-27,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9049.75,9049.5,1580225100,9070.25,1580226120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 62.75, ""prior_ret"": 13.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1020,1h,3,0.0027798626747839172,weak,NQ,3.0,21.5,TARGET_HIT,20.5,20.3,0.9902439024390244,1.0,True,False,0.578125,20.5,10:25,ENTERED,9029.25,9070.25,1.0,2020-01-28,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9082.25,9082.5,1580311200,9105.75,1580312400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 50.75, ""prior_ret"": 74.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",1200,1h,1,-0.004155957784218289,medium,NQ,27.0,0.5,STOP_HIT,-23.5,-23.7,-1.0085106382978724,-1.0,False,False,0.4041095890410959,23.5,10:20,ENTERED,9105.75,9058.75,1.0,2020-01-29,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9090.0,9089.75,1580396700,9100.25,1580396700,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -58.0, ""prior_ret"": -39.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",0,1h,1,0.004783498313333023,medium,NQ,2.0,11.75,TARGET_HIT,10.25,10.05,0.9804878048780489,1.0,True,False,0.49603174603174605,10.25,10:05,ENTERED,9079.75,9100.25,1.0,2020-01-30,False,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9090.25,9090.0,1580741100,9111.5,1580741160,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 46.25, ""prior_ret"": -186.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",60,1h,1,0.002656704026567036,weak,NQ,0.25,22.75,TARGET_HIT,21.25,21.05,0.9905882352941177,1.0,True,False,0.47393364928909953,21.25,09:45,ENTERED,9069.0,9111.5,1.0,2020-02-03,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9291.75,9291.5,1580831100,9308.25,1580833560,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 126.5, ""prior_ret"": 90.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2460,1h,7,0.00485305281422832,medium,NQ,12.0,17.0,TARGET_HIT,16.5,16.3,0.9878787878787879,1.0,True,False,0.4444444444444444,16.5,10:45,ENTERED,9275.25,9308.25,1.0,2020-02-04,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9370.25,9370.5,1580915700,9332.25,1580916960,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 116.25, ""prior_ret"": 82.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",1260,1h,1,-0.004660646664724766,medium,NQ,11.0,39.25,TARGET_HIT,38.0,37.8,0.994736842105263,1.0,True,False,0.42011834319526625,38.0,10:15,ENTERED,9408.25,9332.25,1.0,2020-02-05,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9444.5,9444.25,1581099900,9448.25,1581100140,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": -41.75, ""prior_ret"": 56.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",240,1h,2,0.00430278884462143,medium,NQ,0.5,4.75,TARGET_HIT,3.75,3.55,0.9466666666666667,1.0,True,False,0.40669856459330145,3.75,13:25,ENTERED,9440.75,9448.25,1.0,2020-02-07,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9598.75,9598.5,1581437100,9604.75,1581437400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 51.75, ""prior_ret"": 144.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""candle""}",300,1h,1,0.004500026162942872,medium,NQ,1.25,7.25,TARGET_HIT,6.0,5.8,0.9666666666666667,1.0,True,False,0.5038167938931297,6.0,11:05,ENTERED,9592.75,9604.75,1.0,2020-02-11,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9604.0,9603.75,1581528000,9612.75,1581528720,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": 55.5, ""prior_ret"": -51.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",720,1h,1,0.0034485461243043414,weak,NQ,1.75,12.75,TARGET_HIT,8.75,8.55,0.9771428571428572,1.0,True,False,0.5121951219512195,8.75,12:20,ENTERED,9595.25,9612.75,1.0,2020-02-12,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9570.75,9570.5,1581605100,9577.5,1581605100,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -70.25, ""prior_ret"": 39.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",0,1h,1,0.0020697966883254093,weak,NQ,1.25,9.0,TARGET_HIT,6.75,6.55,0.9703703703703703,1.0,True,False,0.43103448275862066,6.75,09:45,ENTERED,9564.0,9577.5,1.0,2020-02-13,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9610.5,9610.25,1582037400,9622.25,1582037940,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -45.75, ""prior_ret"": 10.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",540,1h,1,0.0035613281659159224,weak,NQ,7.25,12.5,TARGET_HIT,11.75,11.55,0.9829787234042554,1.0,True,False,0.5234375,11.75,09:50,ENTERED,9598.75,9622.25,1.0,2020-02-18,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9717.0,9716.75,1582125600,9728.75,1582128120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 54.75, ""prior_ret"": 51.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2520,1h,1,0.004291623578076553,medium,NQ,6.25,12.25,TARGET_HIT,11.75,11.55,0.9829787234042554,1.0,True,False,0.4351851851851852,11.75,10:20,ENTERED,9705.25,9728.75,1.0,2020-02-19,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9565.75,9566.0,1582218300,9604.5,1582222260,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": -23.5, ""prior_ret"": 38.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""candle""}",3960,1h,1,-0.013332646967981088,strong,NQ,41.5,18.25,STOP_HIT,-38.75,-38.95,-1.0051612903225806,-1.0,False,False,0.4647137150466045,38.75,12:05,ENTERED,9604.5,9527.0,1.0,2020-02-20,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9520.5,9520.75,1582299000,9510.0,1582299120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -44.0, ""prior_ret"": -70.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",120,1h,1,-0.00707184050520604,medium,NQ,4.0,11.75,TARGET_HIT,10.5,10.3,0.980952380952381,1.0,True,False,0.45265588914549654,10.5,10:30,ENTERED,9531.0,9510.0,1.0,2020-02-21,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9033.75,9034.0,1582650000,9022.75,1582650240,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": 75.0, ""prior_ret"": -19.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",240,1h,2,-0.014857423259364233,strong,NQ,10.0,12.25,TARGET_HIT,11.0,10.8,0.9818181818181819,1.0,True,False,0.4574712643678161,11.0,12:00,ENTERED,9044.75,9022.75,1.0,2020-02-25,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8952.25,8952.0,1582729800,8979.0,1582730100,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 51.0, ""prior_ret"": -319.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",300,1h,3,0.01706465260228862,strong,NQ,23.75,30.5,TARGET_HIT,26.75,26.55,0.9925233644859813,1.0,True,False,0.4729458917835671,26.75,10:10,ENTERED,8925.5,8979.0,1.0,2020-02-26,False,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,8524.25,8524.5,1582817700,8606.75,1582818360,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": -222.0, ""prior_ret"": -10.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",660,1h,4,-0.009934341992577811,strong,NQ,85.25,4.5,STOP_HIT,-82.5,-82.7,-1.0024242424242424,-1.0,False,False,0.4131054131054131,82.5,10:35,ENTERED,8606.75,8441.75,1.0,2020-02-27,True,2020
