age_1h,aligned_1h_4h,close_with_1h,close_with_4h,ema20_rising,gap,gap_over_atr,prior_ret,ret_1h,ret_4h,rth_close,rth_high,rth_low,rth_open,rth_return,strength_1h,structure_1h,trading_date,trend_1h,trend_4h,year
0,False,,,,,,,0.0015030770539690153,,8889.0,8889.5,8802.25,8821.25,0.007680317415332372,weak,MIXED,2020-01-02,NEUTRAL,NEUTRAL,2020
0,False,,False,True,-117.0,,67.75,0.001680672268907557,-0.01741377373328834,8809.75,8861.75,8770.5,8772.0,0.0043034655722753445,weak,HH_HL,2020-01-03,NEUTRAL,BEARISH,2020
0,False,,False,True,-70.75,,37.75,0.0014017221157422988,-0.007348143104377702,8863.5,8866.25,8729.0,8739.0,0.014246481290765445,weak,MIXED,2020-01-06,NEUTRAL,BEARISH,2020
1,False,True,False,False,3.5,,124.5,-0.0023373039339922297,0.002626376729737423,8862.5,8888.0,8834.5,8867.0,-0.0005074997180557483,weak,MIXED,2020-01-07,BEARISH,BULLISH,2020
6,True,True,True,True,-1.25,,-4.5,0.003139317834719213,0.002600559685671522,8929.75,8972.25,8848.0,8861.25,0.007730286359147964,weak,MIXED,2020-01-08,BULLISH,BULLISH,2020
0,False,,True,True,72.0,0.729483282674772,68.5,0.0010572000890274325,0.0036881810561608663,9006.25,9022.25,8952.5,9001.75,0.0004999027966783309,weak,MIXED,2020-01-09,NEUTRAL,BULLISH,2020
0,False,,False,False,31.75,0.3382157123834887,4.5,-8.29623074583008e-05,0.0036077038352666513,8982.75,9042.5,8966.25,9038.0,-0.006113078114627135,weak,MIXED,2020-01-10,NEUTRAL,BULLISH,2020
0,False,,True,False,34.75,0.38037529319781077,-55.25,-0.0010802725610769004,0.005234873165705922,9085.25,9086.75,9003.75,9017.5,0.0075131688383698325,weak,MIXED,2020-01-13,NEUTRAL,BULLISH,2020
0,False,,,True,-8.75,-0.09688581314878893,67.75,-0.00024754517699476786,-0.0015676136519897632,9050.5,9095.0,9035.0,9076.5,-0.002864540296369733,weak,HH_HL,2020-01-14,NEUTRAL,NEUTRAL,2020
0,False,,,False,3.5,0.0402555910543131,-26.0,-0.0002210127911153048,-0.000937879289418464,9052.75,9096.0,9023.0,9054.0,-0.0001380605257345069,weak,MIXED,2020-01-15,NEUTRAL,NEUTRAL,2020
0,False,,True,False,43.0,0.5026300409117476,-1.25,0.00030250529384256986,0.004082983888766378,9138.0,9138.75,9076.5,9095.75,0.004645026523376394,weak,MIXED,2020-01-16,NEUTRAL,BULLISH,2020
0,False,,True,True,37.5,0.4494688095886679,42.25,0.001255047473534887,0.003337528040706861,9182.5,9189.25,9130.0,9175.5,0.0007629012042940087,weak,MIXED,2020-01-17,NEUTRAL,BULLISH,2020
0,False,,False,False,-28.75,-0.353121801432958,7.0,0.001561216105176566,-0.004876985532517808,9179.75,9199.75,9151.75,9153.75,0.0028403659702307404,weak,HH_HL,2020-01-21,NEUTRAL,BEARISH,2020
0,False,,False,True,43.5,0.5517073170731708,26.0,0.00018971732119132945,0.005776724161421276,9201.0,9254.0,9189.5,9223.25,-0.002412381752636028,weak,MIXED,2020-01-22,NEUTRAL,BULLISH,2020
0,False,,,True,-8.0,-0.10279944928866452,-22.25,-0.000462295706088689,0.0018502394427513114,9227.5,9233.75,9151.75,9193.0,0.0037528554334820274,weak,MIXED,2020-01-23,NEUTRAL,NEUTRAL,2020
0,False,,False,True,45.5,0.5875028821766198,34.5,-0.0004580728605302342,0.002405080394541237,9151.75,9283.25,9109.5,9273.0,-0.013075595815809304,weak,MIXED,2020-01-24,NEUTRAL,BULLISH,2020
5,True,False,False,False,-204.5,-2.4538247268052285,-121.25,-0.0030539437519087054,-0.01945440118203956,8961.0,9011.25,8925.5,8947.25,0.0015367850456844412,weak,MIXED,2020-01-27,BEARISH,BEARISH,2020
2,True,True,True,True,62.75,0.7877157587984757,13.75,0.003891915934615797,0.0036829329538796696,9098.25,9119.5,9001.0,9023.75,0.008255991134506147,weak,MIXED,2020-01-28,BULLISH,BULLISH,2020
0,False,,False,True,50.75,0.60199110357975,74.5,0.000986004217906844,0.0020823058797743155,9109.75,9158.75,9072.25,9149.0,-0.004290086348234801,weak,MIXED,2020-01-29,NEUTRAL,BULLISH,2020
0,False,,False,False,-58.0,-0.7107221006564551,-39.25,0.0008285461776402769,-0.00694692330926161,9144.25,9148.25,9024.5,9051.75,0.010219018421852022,weak,MIXED,2020-01-30,NEUTRAL,BEARISH,2020
0,False,,True,False,37.25,0.4358545758462182,92.5,0.0011169835994115918,-0.008579161028416826,8995.25,9184.0,8966.0,9181.5,-0.020285356423242362,weak,MIXED,2020-01-31,NEUTRAL,BEARISH,2020
1,True,True,True,False,46.25,0.4838408369138801,-186.25,0.002656704026567036,0.002718220397747828,9131.5,9155.75,9035.75,9041.5,0.009954100536415433,weak,MIXED,2020-02-03,BULLISH,BULLISH,2020
6,True,True,True,True,126.5,1.2877658607525904,90.0,0.0031680701849394755,0.012684641150952691,9340.75,9359.75,9227.0,9258.0,0.00893821559732122,weak,HH_HL,2020-02-04,BULLISH,BULLISH,2020
0,False,,False,True,116.25,1.12396408839779,82.75,0.0005023796932839275,0.008600197644293761,9375.75,9457.75,9317.75,9457.0,-0.008591519509358103,weak,MIXED,2020-02-05,NEUTRAL,BULLISH,2020
0,False,,,False,20.75,0.19174917491749177,-81.25,-0.0008761449621664807,0.0015444837962346192,9453.0,9456.0,9362.5,9396.5,0.006012877135103567,weak,MIXED,2020-02-06,NEUTRAL,NEUTRAL,2020
0,False,,True,True,-41.75,-0.3780113177041229,56.5,-0.000822695788328387,-0.0065247252747252515,9411.0,9463.5,9385.0,9411.25,-2.6563952716163186e-05,weak,MIXED,2020-02-07,NEUTRAL,BEARISH,2020
0,False,,True,False,-30.75,-0.27499201533056533,-0.25,-0.0003987664823479342,0.0020743577469284347,9525.0,9525.75,9378.75,9380.25,0.015431358439274012,weak,LH_LL,2020-02-10,NEUTRAL,BULLISH,2020
0,False,,False,True,51.75,0.43526584559927906,144.75,0.0018307833137178875,0.004435229897123749,9525.0,9609.5,9501.25,9576.75,-0.0054037121152792356,weak,HH_HL,2020-02-11,NEUTRAL,BULLISH,2020
0,False,,True,True,55.5,0.4548514561685936,-51.75,0.00041789641392631083,0.004536990899792759,9620.0,9624.0,9559.25,9580.5,0.004122958091957729,weak,MIXED,2020-02-12,NEUTRAL,BULLISH,2020
1,False,True,False,True,-70.25,-0.5816085156712004,39.5,0.0020697966883254093,-0.008572764586688875,9604.75,9644.75,9539.25,9549.75,0.005759313071022731,weak,MIXED,2020-02-13,BULLISH,BEARISH,2020
0,False,,,False,14.0,0.12078262209212756,55.0,-0.0012195121951219523,0.0016103477831743707,9629.5,9642.25,9588.0,9618.75,0.0011176088369071469,weak,MIXED,2020-02-14,NEUTRAL,NEUTRAL,2020
1,False,True,False,False,-45.75,-0.4025137470542027,10.75,0.0035613281659159224,-0.010370868463249416,9635.5,9654.5,9574.5,9583.75,0.005399765227598774,weak,HH_HL,2020-02-18,BULLISH,BEARISH,2020
0,False,,True,True,54.75,0.4936403155691515,51.75,0.0017069259814823656,0.0030860195534347934,9728.25,9748.75,9681.5,9690.25,0.0039214674544001404,weak,MIXED,2020-02-19,NEUTRAL,BULLISH,2020
1,False,True,,False,-23.5,-0.21454189761982392,38.0,-0.0024419710562167962,-0.00136117317718365,9634.0,9726.0,9517.0,9704.75,-0.007290244467915152,weak,MIXED,2020-02-20,BEARISH,NEUTRAL,2020
4,False,False,True,True,-44.0,-0.38054054054054054,-70.75,0.0024571309075700487,-0.003950822654848807,9452.0,9604.75,9411.5,9590.0,-0.014389989572471285,weak,MIXED,2020-02-21,BULLISH,BEARISH,2020
0,False,,True,False,-348.0,-3.056461731493099,-138.0,-0.001660993873383254,-0.03260179799048124,9084.25,9202.5,9041.25,9104.0,-0.002169376098418274,weak,MIXED,2020-02-24,NEUTRAL,BEARISH,2020
1,False,False,,False,75.0,0.6421036538755542,-19.75,0.003641241855116828,0.0012091566132621523,8839.75,9191.0,8810.0,9159.25,-0.034882768785653884,weak,HH_HL,2020-02-25,BULLISH,NEUTRAL,2020
2,False,False,True,False,51.0,0.37908149721263606,-319.5,0.01158191286531407,-0.00777574306240314,8880.0,9037.5,8816.75,8890.75,-0.0012091218401146797,strong,MIXED,2020-02-26,BULLISH,BEARISH,2020
3,True,True,True,False,-222.0,-1.5822833142420774,-10.75,-0.012673334848829265,-0.007198730302686807,8432.25,8793.0,8430.5,8658.0,-0.02607415107415112,strong,LH_LL,2020-02-27,BEARISH,BEARISH,2020
0,False,,False,False,-271.25,-1.7004365834546065,-225.75,-0.0011564915697851452,-0.005808557142429449,8475.75,8497.5,8126.25,8161.0,0.03856757750275697,weak,MIXED,2020-02-28,NEUTRAL,BEARISH,2020
3,True,False,False,True,88.25,0.48911322248614414,314.75,-0.0038338845152038337,-0.005381375760411755,8876.25,8879.75,8443.0,8564.0,0.03646076599719761,weak,MIXED,2020-03-02,BEARISH,BEARISH,2020
2,False,True,False,True,24.75,0.12305779987569919,312.25,-0.005198381476902325,0.009240362811791414,8595.5,9002.5,8511.0,8901.0,-0.03432198629367489,medium,MIXED,2020-03-03,BEARISH,BULLISH,2020
1,False,False,True,False,150.0,0.6564551422319475,-305.5,-0.002196986989271843,0.02310433461853023,8943.75,8950.0,8665.25,8745.5,0.022668801097707414,weak,MIXED,2020-03-04,BEARISH,BULLISH,2020
