candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,year
LONG20_FIRST_RED_GREEN_5M,LONG,3249.75,3249.5,1577977200,3246.0,1577977320,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",120,ES,4.25,0.25,STOP_HIT,-3.75,-3.83,-1.0213333333333334,-1.0,False,False,3.75,10:00,ENTERED,3246.0,3253.5,1.0,2020-01-02,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3239.25,3239.0,1578062700,3231.75,1578063600,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",900,ES,7.75,0.5,STOP_HIT,-7.5,-7.58,-1.0106666666666666,-1.0,False,False,7.5,09:45,ENTERED,3231.75,3246.75,1.0,2020-01-03,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3225.75,3225.5,1578322800,3229.75,1578324060,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",1260,ES,1.0,4.5,TARGET_HIT,4.0,3.92,0.98,1.0,True,False,4.0,10:00,ENTERED,3221.75,3229.75,1.0,2020-01-06,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3234.5,3234.25,1578408600,3237.5,1578409200,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",600,ES,2.25,3.75,TARGET_HIT,3.0,2.92,0.9733333333333333,1.0,True,False,3.0,09:50,ENTERED,3231.5,3237.5,1.0,2020-01-07,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3246.5,3246.25,1578495300,3242.25,1578497400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",2100,ES,4.0,3.25,STOP_HIT,-4.25,-4.33,-1.0188235294117647,-1.0,False,False,4.25,09:55,ENTERED,3242.25,3250.75,1.0,2020-01-08,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3269.25,3269.0,1578581400,3273.25,1578584280,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",2880,ES,3.0,4.5,TARGET_HIT,4.0,3.92,0.98,1.0,True,False,4.0,09:50,ENTERED,3265.25,3273.25,1.0,2020-01-09,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3277.0,3276.75,1578667500,3275.0,1578667500,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",0,ES,2.0,0.0,STOP_HIT,-2.0,-2.08,-1.04,-1.0,False,False,2.0,09:45,ENTERED,3275.0,3279.0,1.0,2020-01-10,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3271.75,3271.5,1578926400,3268.75,1578926520,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",120,ES,3.5,2.25,STOP_HIT,-3.0,-3.08,-1.0266666666666666,-1.0,False,False,3.0,09:40,ENTERED,3268.75,3274.75,1.0,2020-01-13,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3283.75,3283.5,1579013400,3280.25,1579013460,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",60,ES,3.5,0.5,STOP_HIT,-3.5,-3.58,-1.022857142857143,-1.0,False,False,3.5,09:50,ENTERED,3280.25,3287.25,1.0,2020-01-14,2020
LONG20_FIRST_RED_GREEN_5M,LONG,3295.75,3295.5,1579101000,3293.0,1579101180,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",180,ES,2.75,1.5,STOP_HIT,-2.75,-2.83,-1.029090909090909,-1.0,False,False,2.75,10:10,ENTERED,3293.0,3298.5,1.0,2020-01-15,2020
