avg_hold_days,avg_loss,avg_win,expectancy_points,hit_rate,hold,long,max_consec_losses,max_dd_points,mean_boot_hi,mean_boot_lo,median_points,n,overnight_expectancy,overnight_share_of_mean,profit_factor,session_expectancy,short,side,total_points,tstat,use_cost,vol_scaled,weekend_expectancy
1.0,75.96597444089457,68.55811688311688,3.750035816618912,0.5515759312320917,hold_1,"{""n"": 2792, ""expectancy_points"": 3.750035816618912, ""hit_rate"": 0.5515759312320917, ""total_points"": 10470.100000000002}",11,4470.050000000203,7.968606733523882,-0.5010386819483464,4.05,2792,0.0,0.0,1.1100848076005105,4.450035816618911,"{""n"": 0}",bullish,10470.100000000002,1.5626205174296754,True,False,0.0
1.0,93.21293333333334,85.5091304347826,5.244730538922156,0.5508982035928144,hold_1,"{""n"": 4175, ""expectancy_points"": 5.244730538922156, ""hit_rate"": 0.5508982035928144, ""total_points"": 21896.750000000004}",9,5091.9000000002125,9.854970059880632,0.3005988023953292,5.05,4175,0.0,0.0,1.125285904531131,5.944730538922156,"{""n"": 0}",always_long,21896.750000000004,2.1375850069189277,True,False,0.0
1.0,51.36207075962539,46.7855527638191,3.017633410672854,0.5540603248259861,hold_1,"{""n"": 2155, ""expectancy_points"": 3.017633410672854, ""hit_rate"": 0.5540603248259861, ""total_points"": 6503.000000000001}",8,3077.1500000000124,7.0901392111367185,-0.8214617169373525,3.8,2155,0.0,0.0,1.131749155928155,3.7176334106728537,"{""n"": 0}",bullish_train,6503.000000000001,1.6120545316181023,True,False,0.0
1.0,157.2180412371134,143.69234104046242,6.227786499215073,0.543171114599686,hold_1,"{""n"": 637, ""expectancy_points"": 6.227786499215073, ""hit_rate"": 0.543171114599686, ""total_points"": 3967.1000000000017}",11,4470.04999999995,22.296860282574283,-10.779670329670234,12.05,637,0.0,0.0,1.0867117154038923,6.92778649921507,"{""n"": 0}",bullish_holdout,3967.1000000000017,0.741118964641584,True,False,0.0
3.0,140.469014693172,124.08090575275398,14.412594052311,0.5854532425653888,hold_3,"{""n"": 2791, ""expectancy_points"": 14.412594052311, ""hit_rate"": 0.5854532425653888, ""total_points"": 40225.55}",12,14573.549999999865,22.195467574347095,6.521605159440819,14.8,2791,1.2864564672160517,0.08925918974383197,1.2475073474374188,13.826137585094948,"{""n"": 0}",bullish,40225.55,3.4616212407378417,True,False,1.2022572554639914
3.0,161.75157593123208,147.9139827018122,18.422873232686317,0.5818356098729931,hold_3,"{""n"": 4173, ""expectancy_points"": 18.422873232686317, ""hit_rate"": 0.5818356098729931, ""total_points"": 76878.65}",15,14688.94999999924,24.749197220227128,9.759920920202172,16.8,4173,1.3752096812844476,0.07464686229531865,1.2723715840024943,17.747663551401867,"{""n"": 0}",always_long,76878.65,4.641675469235505,True,False,1.2688713156002875
3.0,94.41306818181818,82.85823529411765,10.469025522041763,0.5916473317865429,hold_3,"{""n"": 2155, ""expectancy_points"": 10.469025522041763, ""hit_rate"": 0.5916473317865429, ""total_points"": 22560.75}",12,8540.150000000034,16.966821345707434,4.388167053363881,13.55,2155,0.5441995359628771,0.05198187117006306,1.2715430861723447,10.624825986078886,"{""n"": 0}",bullish_train,22560.75,3.284489037440373,True,False,0.6222737819025522
3.0,286.78393501805056,270.48454038997215,27.774842767295596,0.5644654088050315,hold_3,"{""n"": 636, ""expectancy_points"": 27.774842767295596, ""hit_rate"": 0.5644654088050315, ""total_points"": 17664.8}",10,14573.550000000043,50.36525157232657,-7.846226415094873,51.05,636,3.801493710691824,0.13686823513427834,1.2223689452870532,24.673349056603772,"{""n"": 0}",bullish_holdout,17664.8,1.8850286202042918,True,False,3.167452830188679
5.0,185.06889692585895,164.21988130563798,25.805911859548548,0.6037262629881763,hold_5,"{""n"": 2791, ""expectancy_points"": 25.805911859548548, ""hit_rate"": 0.6037262629881763, ""total_points"": 72024.3}",16,22271.199999999822,35.81245073450542,13.621390182730977,24.3,2791,2.8543532783948407,0.11060850296358313,1.3518766775679063,23.651558581153708,"{""n"": 0}",bullish,72024.3,4.770516586221783,True,False,2.643407380867073
5.0,207.80323826500296,193.27457797427653,31.439534883720928,0.596499640374011,hold_5,"{""n"": 4171, ""expectancy_points"": 31.439534883720928, ""hit_rate"": 0.596499640374011, ""total_points"": 131134.3}",16,23918.94999999924,41.3001198753274,20.758583073605276,27.3,4171,2.7522176935986575,0.08754002575985079,1.3749556268448906,29.38731719012227,"{""n"": 0}",always_long,131134.3,6.256251833420986,True,False,2.538959482138576
5.0,123.33479809976247,108.51477532368621,17.926682134570765,0.6092807424593968,hold_5,"{""n"": 2155, ""expectancy_points"": 17.926682134570765, ""hit_rate"": 0.6092807424593968, ""total_points"": 38632.0}",14,12456.699999999866,25.713689095128775,10.608468677493878,20.8,2155,1.0114849187935036,0.056423431352246846,1.3720055966466342,17.61519721577726,"{""n"": 0}",bullish_train,38632.0,4.389865507087897,True,False,1.137354988399072
5.0,381.9632575757576,360.8349462365591,52.503616352201256,0.5849056603773585,hold_5,"{""n"": 636, ""expectancy_points"": 52.503616352201256, ""hit_rate"": 0.5849056603773585, ""total_points"": 33392.299999999996}",16,22271.200000000004,86.5594339622652,8.835770440251673,86.425,636,9.098663522012579,0.1732959394830545,1.331146994743069,44.10495283018868,"{""n"": 0}",bullish_holdout,33392.299999999996,2.7255437649584677,True,False,7.746462264150943
