candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,year
BULL_STATE_RTH_OPEN_LONG,LONG,8821.5,8821.25,1577975400,8884.0,1577998440,"{""adverse_ticks"": 1.0, ""exit_theo"": 8884.25, ""flatten"": ""15:55""}",23040,NQ,19.25,63.0,TIME_EXIT,62.5,62.3,,,,,,09:30,ENTERED,,,,2020-01-02,2020
BULL_STATE_RTH_OPEN_LONG,LONG,8772.25,8772.0,1578061800,8819.0,1578084840,"{""adverse_ticks"": 1.0, ""exit_theo"": 8819.25, ""flatten"": ""15:55""}",23040,NQ,1.75,89.5,TIME_EXIT,46.75,46.55,,,,,,09:30,ENTERED,,,,2020-01-03,2020
BULL_STATE_RTH_OPEN_LONG,LONG,8739.25,8739.0,1578321000,8862.5,1578344040,"{""adverse_ticks"": 1.0, ""exit_theo"": 8862.75, ""flatten"": ""15:55""}",23040,NQ,10.25,123.75,TIME_EXIT,123.25,123.05,,,,,,09:30,ENTERED,,,,2020-01-06,2020
BULL_STATE_RTH_OPEN_LONG,LONG,8867.25,8867.0,1578407400,8862.5,1578430440,"{""adverse_ticks"": 1.0, ""exit_theo"": 8862.75, ""flatten"": ""15:55""}",23040,NQ,32.75,20.75,TIME_EXIT,-4.75,-4.95,,,,,,09:30,ENTERED,,,,2020-01-07,2020
BULL_STATE_RTH_OPEN_LONG,LONG,8861.5,8861.25,1578493800,8930.75,1578516840,"{""adverse_ticks"": 1.0, ""exit_theo"": 8931.0, ""flatten"": ""15:55""}",23040,NQ,13.5,110.75,TIME_EXIT,69.25,69.05,,,,,,09:30,ENTERED,,,,2020-01-08,2020
BULL_STATE_RTH_OPEN_LONG,LONG,9002.0,9001.75,1578580200,9001.5,1578603240,"{""adverse_ticks"": 1.0, ""exit_theo"": 9001.75, ""flatten"": ""15:55""}",23040,NQ,49.5,20.25,TIME_EXIT,-0.5,-0.7,,,,,,09:30,ENTERED,,,,2020-01-09,2020
BULL_STATE_RTH_OPEN_LONG,LONG,9038.25,9038.0,1578666600,8982.75,1578689640,"{""adverse_ticks"": 1.0, ""exit_theo"": 8983.0, ""flatten"": ""15:55""}",23040,NQ,72.0,4.25,TIME_EXIT,-55.5,-55.7,,,,,,09:30,ENTERED,,,,2020-01-10,2020
BULL_STATE_RTH_OPEN_LONG,LONG,9017.75,9017.5,1578925800,9084.0,1578948840,"{""adverse_ticks"": 1.0, ""exit_theo"": 9084.25, ""flatten"": ""15:55""}",23040,NQ,14.0,66.75,TIME_EXIT,66.25,66.05,,,,,,09:30,ENTERED,,,,2020-01-13,2020
BULL_STATE_RTH_OPEN_LONG,LONG,9076.75,9076.5,1579012200,9041.75,1579035240,"{""adverse_ticks"": 1.0, ""exit_theo"": 9042.0, ""flatten"": ""15:55""}",23040,NQ,41.75,18.25,TIME_EXIT,-35.0,-35.2,,,,,,09:30,ENTERED,,,,2020-01-14,2020
BULL_STATE_RTH_OPEN_LONG,LONG,9054.25,9054.0,1579098600,9046.0,1579121640,"{""adverse_ticks"": 1.0, ""exit_theo"": 9046.25, ""flatten"": ""15:55""}",23040,NQ,31.25,41.75,TIME_EXIT,-8.25,-8.45,,,,,,09:30,ENTERED,,,,2020-01-15,2020
