candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,year
LONG20_FIRST_RED_GREEN_5M,LONG,8848.25,8848.0,1577977200,8831.75,1577977920,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",720,NQ,18.75,1.75,STOP_HIT,-16.5,-16.7,-1.012121212121212,-1.0,False,False,16.5,10:00,ENTERED,8831.75,8864.75,1.0,2020-01-02,2020
LONG20_FIRST_RED_GREEN_5M,LONG,8838.0,8837.75,1578062700,8813.5,1578063600,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",900,NQ,31.25,1.0,STOP_HIT,-24.5,-24.7,-1.0081632653061223,-1.0,False,False,24.5,09:45,ENTERED,8813.5,8862.5,1.0,2020-01-03,2020
LONG20_FIRST_RED_GREEN_5M,LONG,8806.25,8806.0,1578323700,8819.25,1578325320,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",1620,NQ,5.75,16.25,TARGET_HIT,13.0,12.8,0.9846153846153847,1.0,True,False,13.0,10:15,ENTERED,8793.25,8819.25,1.0,2020-01-06,2020
LONG20_FIRST_RED_GREEN_5M,LONG,8846.75,8846.5,1578408600,8859.25,1578409140,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",540,NQ,7.5,16.0,TARGET_HIT,12.5,12.3,0.9840000000000001,1.0,True,False,12.5,09:50,ENTERED,8834.25,8859.25,1.0,2020-01-07,2020
LONG20_FIRST_RED_GREEN_5M,LONG,8889.75,8889.5,1578495300,8875.25,1578498180,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",2880,NQ,14.75,8.0,STOP_HIT,-14.5,-14.7,-1.013793103448276,-1.0,False,False,14.5,09:55,ENTERED,8875.25,8904.25,1.0,2020-01-08,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9011.0,9010.75,1578581700,8995.75,1578582060,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",360,NQ,18.25,1.0,STOP_HIT,-15.25,-15.45,-1.0131147540983607,-1.0,False,False,15.25,09:55,ENTERED,8995.75,9026.25,1.0,2020-01-09,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9018.25,9018.0,1578667500,9032.25,1578668340,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",840,NQ,7.75,14.25,TARGET_HIT,14.0,13.8,0.9857142857142858,1.0,True,False,14.0,09:45,ENTERED,9004.25,9032.25,1.0,2020-01-10,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9033.5,9033.25,1578927600,9048.0,1578932880,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",5280,NQ,13.5,19.25,TARGET_HIT,14.5,14.3,0.9862068965517242,1.0,True,False,14.5,10:00,ENTERED,9019.0,9048.0,1.0,2020-01-13,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9055.75,9055.5,1579014300,9076.5,1579015860,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",1560,NQ,0.5,21.75,TARGET_HIT,20.75,20.55,0.9903614457831326,1.0,True,False,20.75,10:05,ENTERED,9035.0,9076.5,1.0,2020-01-14,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9072.5,9072.25,1579099800,9083.25,1579100040,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",240,NQ,2.75,11.25,TARGET_HIT,10.75,10.55,0.9813953488372094,1.0,True,False,10.75,09:50,ENTERED,9061.75,9083.25,1.0,2020-01-15,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9113.0,9112.75,1579185900,9095.75,1579189980,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",4080,NQ,18.75,6.75,STOP_HIT,-17.25,-17.45,-1.0115942028985507,-1.0,False,False,17.25,09:45,ENTERED,9095.75,9130.25,1.0,2020-01-16,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9148.0,9147.75,1579272300,9156.25,1579273080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",780,NQ,5.25,8.75,TARGET_HIT,8.25,8.05,0.9757575757575758,1.0,True,False,8.25,09:45,ENTERED,9139.75,9156.25,1.0,2020-01-17,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9162.25,9162.0,1579617900,9169.5,1579618080,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",180,NQ,2.5,8.25,TARGET_HIT,7.25,7.05,0.9724137931034482,1.0,True,False,7.25,09:45,ENTERED,9155.0,9169.5,1.0,2020-01-21,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9234.25,9234.0,1579704000,9211.5,1579723560,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",19560,NQ,23.25,20.0,STOP_HIT,-22.75,-22.95,-1.0087912087912088,-1.0,False,False,22.75,09:40,ENTERED,9211.5,9257.0,1.0,2020-01-22,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9169.75,9169.5,1579790400,9188.0,1579791540,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",1140,NQ,12.0,20.25,TARGET_HIT,18.25,18.05,0.989041095890411,1.0,True,False,18.25,09:40,ENTERED,9151.5,9188.0,1.0,2020-01-23,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9269.75,9269.5,1579876800,9261.75,1579877220,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",420,NQ,10.5,4.0,STOP_HIT,-8.0,-8.2,-1.025,-1.0,False,False,8.0,09:40,ENTERED,9261.75,9277.75,1.0,2020-01-24,2020
LONG20_FIRST_RED_GREEN_5M,LONG,8989.0,8988.75,1580136900,8969.0,1580137020,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",120,NQ,21.25,1.25,STOP_HIT,-20.0,-20.2,-1.01,-1.0,False,False,20.0,09:55,ENTERED,8969.0,9009.0,1.0,2020-01-27,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9014.25,9014.0,1580222700,9027.75,1580223600,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",900,NQ,12.5,20.5,TARGET_HIT,13.5,13.3,0.9851851851851853,1.0,True,False,13.5,09:45,ENTERED,9000.75,9027.75,1.0,2020-01-28,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9139.5,9139.25,1580309100,9136.75,1580309100,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",0,NQ,3.0,2.25,STOP_HIT,-2.75,-2.95,-1.0727272727272728,-1.0,False,False,2.75,09:45,ENTERED,9136.75,9142.25,1.0,2020-01-29,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9090.0,9089.75,1580396700,9100.25,1580396700,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",0,NQ,2.0,11.75,TARGET_HIT,10.25,10.05,0.9804878048780489,1.0,True,False,10.25,10:05,ENTERED,9079.75,9100.25,1.0,2020-01-30,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9128.75,9128.5,1580482800,9102.5,1580483040,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",240,NQ,31.5,0.75,STOP_HIT,-26.25,-26.45,-1.0076190476190476,-1.0,False,False,26.25,10:00,ENTERED,9102.5,9155.0,1.0,2020-01-31,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9139.75,9139.5,1580742900,9118.5,1580748060,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",5160,NQ,26.25,16.25,STOP_HIT,-21.25,-21.45,-1.0094117647058822,-1.0,False,False,21.25,10:15,ENTERED,9118.5,9161.0,1.0,2020-02-03,2020
LONG20_FIRST_RED_GREEN_5M,LONG,9251.5,9251.25,1580827500,9276.25,1580829000,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0}",1500,NQ,0.0,27.5,TARGET_HIT,24.75,24.55,0.991919191919192,1.0,True,False,24.75,09:45,ENTERED,9226.75,9276.25,1.0,2020-02-04,2020
