always_pts,bear_year,bull_10,bull_20,bull_20_and_5,bull_60,bull_ema,bull_open_pts,close_third,dip_bucket,gap_bucket,gap_points,instrument,prior_1d,prior_2d,prior_3d,ret_10,ret_20,ret_5,rth_close,rth_open,rth_up,st_1d,st_2d,st_3d,strength_20,trading_date,vol_bucket,year
62.3,False,True,True,True,True,True,62.3,middle,near_high,,,NQ,0.0005129958960328196,0.0047510017172296415,-0.0003132386023860789,0.01791927627000689,0.058557471957543905,0.005268884943588681,8889.0,8821.25,True,positive,positive,negative,strong,2020-01-02,weak,2020
46.55,False,True,True,True,True,True,46.55,upper,near_high,negative,-117.0,NQ,0.013872272546003428,0.014392384860921092,0.018689181453920956,0.02514400921658999,0.07017649358068456,0.010275041866538048,8809.75,8772.0,True,positive,positive,positive,strong,2020-01-03,weak,2020
123.05,False,True,True,True,True,True,123.05,middle,near_high,negative,-70.75,NQ,-0.009721012558649211,0.004016407451717496,0.004531463748290054,0.011652937630951987,0.04839381320642433,0.0037019107554747688,8863.5,8739.0,True,negative,positive,positive,strong,2020-01-06,weak,2020
-4.95,False,True,True,True,True,True,-4.95,upper,near_high,positive,3.5,NQ,0.004227310125684447,-0.005534796167785849,0.008260696177291527,0.013747279184327832,0.05871444381299851,0.013050944476244997,8862.5,8867.0,False,positive,negative,positive,strong,2020-01-07,weak,2020
69.05,False,True,True,False,True,True,69.05,lower,near_high,negative,-1.25,NQ,-0.010961690586506978,-0.006780718926433504,-0.016435816031242223,0.0025487556917438425,0.04676474105968165,-0.002279981760145988,8929.75,8861.25,True,negative,negative,negative,medium,2020-01-08,weak,2020
-0.7,False,True,True,True,True,True,-0.7,upper,near_high,positive,72.0,NQ,0.022880484460694683,0.011667985083060106,0.015944619400232618,0.025399461657407807,0.06387593214296294,0.02002506694012407,9006.25,9001.75,True,positive,positive,positive,strong,2020-01-09,weak,2020
-55.7,False,True,True,True,True,True,-55.7,upper,near_high,positive,31.75,NQ,0.007065262922729021,0.03010740402193801,0.01881568538817935,0.02358718174335106,0.060335195530726526,0.01317674823701287,8982.75,9038.0,False,positive,positive,positive,strong,2020-01-10,weak,2020
66.05,False,True,True,True,True,True,66.05,lower,near_high,positive,34.75,NQ,-0.0041317730575121114,0.0029042978022284505,0.02585123400365652,0.022667084318136688,0.05685530149201079,0.01889522512554276,9085.25,9017.5,True,negative,positive,positive,strong,2020-01-13,weak,2020
-35.2,False,True,True,True,True,True,-35.2,upper,near_high,negative,-8.75,NQ,0.01411745050538804,0.009927347346236903,0.017062749588092396,0.04235832856325161,0.05887483645878788,0.028929822578822373,9050.5,9076.5,False,positive,positive,positive,strong,2020-01-14,weak,2020
-8.45,False,True,True,True,True,True,-8.45,lower,near_high,positive,3.5,NQ,-0.00815485996705112,0.005847464706373762,0.0016915312517329362,0.029497264021887792,0.04969052392991036,0.03184986288848268,9052.75,9054.0,False,negative,positive,positive,strong,2020-01-15,medium,2020
38.05,False,True,True,True,True,True,38.05,upper,near_high,positive,43.0,NQ,0.004789192481244653,-0.0034047226798462615,0.010664661821624621,0.03389733948612772,0.05242403154720443,0.013599932977742979,9138.0,9095.75,True,positive,negative,positive,strong,2020-01-16,medium,2020
7.05,False,True,True,True,True,True,7.05,upper,near_high,positive,37.5,NQ,0.007907207405774663,0.012734269025274747,0.004475562877539696,0.027814457899024703,0.05365783410138247,0.014447340691031707,9182.5,9175.5,True,positive,positive,positive,strong,2020-01-17,medium,2020
17.3,False,True,True,True,True,True,17.3,middle,near_high,negative,-28.75,NQ,-0.0001908032818164207,0.0026515047973101336,0.010579678201454668,0.036275285342976415,0.050521251002405565,0.00713893465129023,9179.75,9153.75,True,negative,positive,positive,strong,2020-01-21,medium,2020
-19.95,False,True,True,True,True,True,-19.95,upper,near_high,positive,43.5,NQ,0.0008724100327153206,0.0006814402922015184,0.0035262280294123816,0.04867458866544783,0.05134740399209581,0.01630540099105815,9201.0,9223.25,False,positive,positive,positive,strong,2020-01-22,medium,2020
32.8,False,True,True,True,True,True,32.8,lower,near_high,negative,-8.0,NQ,0.0004358247984310726,0.001308615049073092,0.0011175620792105434,0.025663939233153688,0.05171525113109188,0.01190213797663664,9227.5,9193.0,True,positive,positive,positive,strong,2020-01-23,medium,2020
-117.95,False,True,True,True,True,True,-117.95,upper,near_high,positive,45.5,NQ,0.009583968634284457,0.010023970363913781,0.010905125408942284,0.02822916088957861,0.05248218898129453,0.013585545198589344,9151.75,9273.0,False,positive,positive,positive,strong,2020-01-24,medium,2020
13.05,False,True,True,False,True,True,13.05,lower,near_high,negative,-204.5,NQ,-0.014374325782092745,-0.0049281202352428055,-0.004494443233819867,0.017653774399242872,0.04072101831022046,-0.003816065636328969,8961.0,8947.25,True,negative,negative,negative,medium,2020-01-27,medium,2020
76.55,False,False,True,False,True,False,76.55,middle,modest_dip,positive,62.75,NQ,-0.004048807542983868,-0.01836493444642473,-0.008956974767845516,-0.0005758311167886054,0.04175810620282139,-0.007660080950747772,9098.25,9023.75,True,negative,negative,negative,medium,2020-01-28,medium,2020
-33.2,False,True,True,True,True,True,-33.2,upper,modest_dip,positive,50.75,NQ,0.01347663863674331,0.009373266777592981,-0.005135793394803412,0.021220961185966614,0.05134418550275566,0.004836695928325696,9109.75,9149.0,False,positive,positive,negative,strong,2020-01-29,medium,2020
83.55,False,True,True,True,True,True,83.55,middle,near_high,negative,-58.0,NQ,0.0024177152590800777,0.01592693657069666,0.01181364392678863,0.018810702132255663,0.053345674374532415,0.006827304633858278,9144.25,9051.75,True,positive,positive,positive,strong,2020-01-30,medium,2020
-177.2,False,True,True,True,True,True,-177.2,upper,near_high,positive,37.25,NQ,0.010634215863619012,0.013077641628660874,0.026730522915854538,0.02156721124464478,0.04998154943283328,0.007874684168361457,8995.25,9181.5,False,positive,positive,positive,strong,2020-01-31,medium,2020
87.3,False,False,True,False,True,False,87.3,lower,modest_dip,positive,46.25,NQ,-0.022265010576558053,-0.011867565641615951,-0.009478542777075716,-0.0040094457677918305,0.03668129097843886,-0.00019412090959514128,9131.5,9041.5,True,negative,negative,negative,medium,2020-02-03,medium,2020
79.8,False,True,True,True,True,True,79.8,middle,modest_dip,positive,126.5,NQ,0.00845976756441913,-0.013993599826435887,-0.003508194924080388,0.004608085336991641,0.041050530290452025,0.012362866848582676,9340.75,9258.0,True,positive,negative,negative,medium,2020-02-04,medium,2020
-89.2,False,True,True,True,True,True,-89.2,upper,near_high,positive,116.25,NQ,0.027366741844985887,0.03605802568440897,0.012990182784617943,0.031201305099476606,0.08139460445646662,0.026237705368426623,9375.75,9457.0,False,positive,positive,positive,strong,2020-02-05,medium,2020
52.3,False,True,True,True,True,True,52.3,middle,near_high,positive,20.75,NQ,0.004604717157925764,0.032097475108641804,0.04082877985188471,0.03549839956107914,0.062073367563442616,0.028476675985309452,9453.0,9396.5,True,positive,positive,positive,strong,2020-02-06,medium,2020
-7.95,False,True,True,True,True,True,-7.95,upper,near_high,negative,-41.75,NQ,0.009113924050632827,0.013760608251010664,0.04150393310963185,0.03501628967303083,0.06423393103754571,0.02692954385203672,9411.0,9411.25,False,positive,positive,positive,strong,2020-02-07,medium,2020
136.55,False,True,True,True,True,True,136.55,lower,near_high,negative,-30.75,NQ,-0.006998177832941654,0.00205196535642882,0.006666131234438932,0.042762063227953506,0.06117074944426815,0.042964524450114894,9525.0,9380.25,True,negative,positive,positive,strong,2020-02-10,medium,2020
-43.2,False,True,True,True,True,True,-43.2,upper,near_high,positive,51.75,NQ,0.013297165044412473,0.006205931285816035,0.015376415722851089,0.06092331681238483,0.06031240415403771,0.04796743495241729,9525.0,9576.75,False,positive,positive,positive,strong,2020-02-11,medium,2020
41.8,False,True,True,True,True,True,41.8,middle,near_high,positive,55.5,NQ,0.0016272111700172953,0.014946013509919531,0.007843240816541863,0.048519149403812856,0.07076973357605376,0.02171177683184733,9620.0,9580.5,True,positive,positive,positive,strong,2020-02-12,medium,2020
55.05,False,True,True,True,True,True,55.05,middle,near_high,negative,-70.25,NQ,0.003746986689026288,0.005380294997637813,0.018749002712621587,0.049909554349613305,0.06965909024229311,0.020839440373084273,9604.75,9549.75,True,positive,positive,positive,strong,2020-02-13,medium,2020
7.05,False,True,True,True,True,True,7.05,upper,near_high,positive,14.0,NQ,0.003445845406844672,0.007205743632742845,0.008844680069287625,0.04244182893095383,0.06492439206576162,0.015105500831858576,9629.5,9618.75,True,positive,positive,positive,strong,2020-02-14,medium,2020
53.55,False,True,True,True,True,True,53.55,lower,near_high,negative,-45.75,NQ,-0.0028296253991328957,-0.0007024116132053893,0.0027410133918082114,0.056493756532262074,0.06136216992036192,0.008136055850086477,9635.5,9583.75,True,negative,negative,positive,strong,2020-02-18,medium,2020
39.8,False,True,True,True,True,True,39.8,upper,near_high,positive,54.75,NQ,0.006352181609913465,0.0035045819163572745,0.005645308150576067,0.03488340963242509,0.06717312263875352,0.012891730426579873,9728.25,9690.25,True,positive,positive,positive,strong,2020-02-19,medium,2020
-68.7,False,True,True,True,True,True,-68.7,upper,near_high,negative,-23.5,NQ,0.00832988410596025,0.014734978652504394,0.011863658783520581,0.038720852764822844,0.07559378062869326,0.017516380818126898,9634.0,9704.75,False,positive,positive,positive,strong,2020-02-20,medium,2020
