alignment,bar_index,c1_ts,c3_ts,close_ts,direction,dist_ema200_atr,ema200_side,extras,htf_side,impulse,in_window,instrument,london_date,mid,ny_date,stack_side,width,width_atr,window,zone_high,zone_low
FULL_BULL,1569,1582101000,1582104600,1582106400,BULLISH,6.194954661935915,BULLISH,"{""c2_ts"": 1582102800}",BULLISH,20.5,True,NQ,2020-02-19,9664.375,2020-02-19,BULLISH,0.25,0.026871401151631478,07:00-11:00,9664.5,9664.25
FULL_BULL,1611,1582180200,1582183800,1582185600,BULLISH,6.0235863247061285,BULLISH,"{""c2_ts"": 1582182000}",BULLISH,18.25,True,NQ,2020-02-20,9732.875,2020-02-20,BULLISH,3.25,0.21064814814814814,07:00-11:00,9734.5,9731.25
FULL_BEAR,1755,1582623000,1582626600,1582628400,BEARISH,-9.75665203810023,BEARISH,"{""c2_ts"": 1582624800}",BEARISH,81.5,True,NQ,2020-02-25,9121.625,2020-02-25,BEARISH,14.25,0.4848116646415553,07:00-11:00,9128.75,9114.5
FULL_BEAR,1798,1582704000,1582707600,1582709400,BEARISH,-10.74416435459953,BEARISH,"{""c2_ts"": 1582705800}",BEARISH,218.5,True,NQ,2020-02-26,8839.0,2020-02-26,BEARISH,73.0,1.7270806928601605,07:00-11:00,8875.5,8802.5
FULL_BEAR,1890,1582876800,1582880400,1582882200,BEARISH,-8.583844119539656,BEARISH,"{""c2_ts"": 1582878600}",BEARISH,207.75,True,NQ,2020-02-28,8265.75,2020-02-28,BEARISH,2.0,0.024263431542461005,07:00-11:00,8266.75,8264.75
FULL_BEAR,2122,1583485200,1583488800,1583490600,BEARISH,-6.862563971663006,BEARISH,"{""c2_ts"": 1583487000}",BEARISH,165.5,True,NQ,2020-03-06,8500.25,2020-03-06,BEARISH,48.0,1.1452918619514274,07:00-11:00,8524.25,8476.25
FULL_BEAR,2123,1583487000,1583490600,1583492400,BEARISH,-6.933039806577592,BEARISH,"{""c2_ts"": 1583488800}",BEARISH,159.75,True,NQ,2020-03-06,8450.875,2020-03-06,BEARISH,29.25,0.691722972972973,07:00-11:00,8465.5,8436.25
FULL_BEAR,2306,1584000000,1584003600,1584005400,BEARISH,-8.973766466767652,BEARISH,"{""c2_ts"": 1584001800}",BEARISH,116.75,True,NQ,2020-03-12,7637.125,2020-03-12,BEARISH,24.25,0.3923721467783877,07:00-11:00,7649.25,7625.0
FULL_BEAR,2351,1584084600,1584088200,1584090000,BEARISH,-3.3690187660981,BEARISH,"{""c2_ts"": 1584086400}",BEARISH,204.0,True,NQ,2020-03-13,7504.25,2020-03-13,BEARISH,10.5,0.08478731074260995,07:00-11:00,7509.5,7499.0
FULL_BEAR,2440,1584432000,1584435600,1584437400,BEARISH,-21.54719267729299,BEARISH,"{""c2_ts"": 1584433800}",BEARISH,215.0,True,NQ,2020-03-17,7228.25,2020-03-17,BEARISH,33.5,1.4201362604087813,07:00-11:00,7245.0,7211.5
