candidate,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,reach_3r,reaction,risk_points,signal_hhmm,status,stop,stop_family,target,target_r,trading_date,year
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,9271.0,9270.75,1589275800,9257.75,1589276580,"{""adverse_ticks"": 1.0, ""fvg_mid"": 9263.125, ""london_date"": ""2020-05-12""}",780,NQ,14.75,1.25,STOP_HIT,-13.25,-13.45,-1.0150943396226415,-1.0,False,False,False,trident,13.25,10:30,ENTERED,9257.75,fvg_boundary,9297.5,2.0,2020-05-12,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,9681.0,9680.75,1591171200,9684.5,1591171200,"{""adverse_ticks"": 1.0, ""fvg_mid"": 9680.375, ""london_date"": ""2020-06-03""}",0,NQ,0.5,3.75,TARGET_HIT,3.5,3.3,1.8857142857142857,2.0,True,True,False,trident,1.75,09:00,ENTERED,9679.25,fvg_boundary,9684.5,2.0,2020-06-03,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,10136.0,10135.75,1593594000,10152.5,1593595800,"{""adverse_ticks"": 1.0, ""fvg_mid"": 10130.125, ""london_date"": ""2020-07-01""}",1800,NQ,0.75,18.5,TARGET_HIT,16.5,16.3,1.9757575757575758,2.0,True,True,False,trident,8.25,10:00,ENTERED,10127.75,fvg_boundary,10152.5,2.0,2020-07-01,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,10699.75,10699.5,1594373400,10678.25,1594383000,"{""adverse_ticks"": 1.0, ""fvg_mid"": 10682.5, ""london_date"": ""2020-07-10""}",9600,NQ,26.5,25.25,STOP_HIT,-21.5,-21.7,-1.0093023255813953,-1.0,True,False,False,trident,21.5,10:30,ENTERED,10678.25,fvg_boundary,10742.75,2.0,2020-07-10,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,11121.75,11121.5,1597305600,11114.5,1597305780,"{""adverse_ticks"": 1.0, ""fvg_mid"": 11115.375, ""london_date"": ""2020-08-13""}",180,NQ,12.25,7.25,STOP_HIT,-7.25,-7.45,-1.0275862068965518,-1.0,True,False,False,trident,7.25,09:00,ENTERED,11114.5,fvg_boundary,11136.25,2.0,2020-08-13,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,11195.25,11195.0,1597654800,11207.25,1597656000,"{""adverse_ticks"": 1.0, ""fvg_mid"": 11191.625, ""london_date"": ""2020-08-17""}",1200,NQ,1.75,14.25,TARGET_HIT,12.0,11.8,1.9666666666666668,2.0,True,True,False,trident,6.0,10:00,ENTERED,11189.25,fvg_boundary,11207.25,2.0,2020-08-17,2020
TG_GC_30M_LONDON_FVG50_REACTION,BEARISH,11066.25,11066.5,1600329600,11118.5,1600331400,"{""adverse_ticks"": 1.0, ""fvg_mid"": 11085.0, ""london_date"": ""2020-09-17""}",1800,NQ,55.5,1.5,STOP_HIT,-52.25,-52.45,-1.0038277511961724,-1.0,False,False,False,trident,52.25,09:00,ENTERED,11118.5,fvg_boundary,10961.75,2.0,2020-09-17,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,11491.25,11491.0,1601539200,11467.25,1601541480,"{""adverse_ticks"": 1.0, ""fvg_mid"": 11477.625, ""london_date"": ""2020-10-01""}",2280,NQ,24.0,28.0,STOP_HIT,-24.0,-24.2,-1.0083333333333333,-1.0,True,False,False,trident,24.0,09:00,ENTERED,11467.25,fvg_boundary,11539.25,2.0,2020-10-01,2020
TG_GC_30M_LONDON_FVG50_REACTION,BULLISH,12152.75,12152.5,1602664200,12136.25,1602664620,"{""adverse_ticks"": 1.0, ""fvg_mid"": 12141.5, ""london_date"": ""2020-10-14""}",420,NQ,17.0,3.5,STOP_HIT,-16.5,-16.7,-1.012121212121212,-1.0,False,False,False,trident,16.5,09:30,ENTERED,12136.25,fvg_boundary,12185.75,2.0,2020-10-14,2020
TG_GC_30M_LONDON_FVG50_REACTION,BEARISH,11252.0,11252.25,1603960200,11267.5,1603962540,"{""adverse_ticks"": 1.0, ""fvg_mid"": 11261.625, ""london_date"": ""2020-10-29""}",2340,NQ,19.5,17.0,STOP_HIT,-15.5,-15.7,-1.0129032258064516,-1.0,True,False,False,trident,15.5,08:30,ENTERED,11267.5,fvg_boundary,11221.0,2.0,2020-10-29,2020
