candidate,direction,entry,entry_ts,exit,exit_ts,extras,family,hold_sec,instrument,mae,mfe,news_blackout,outcome,points,r_multiple,stop,target,trading_date
ES_VWAP_MR_V2_PORT,bullish,3246.4273181542194,1577977800,3245.25,1577977860,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.1773181542193925, ""theo"": 3246.4273181542194}",VWAP_MR,60,ES,2.1773181542193925,0.5726818457806075,False,STOP_HIT,-1.7573181542193925,-1.492645083167483,3245.25,3248.781954462658,2020-01-02
ES_VWAP_MR_V2_PORT,bearish,3242.5021425363393,1578072600,3244.0,1578072780,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.4978574636606936, ""theo"": 3242.5021425363393}",VWAP_MR,180,ES,2.2478574636606936,0.2521425363393064,False,STOP_HIT,-2.0778574636606937,-1.3872197549308245,3244.0,3239.506427609018,2020-01-03
ES_VWAP_MR_V2_PORT,bearish,3232.893264348492,1578326100,3234.5,1578326100,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.6067356515081883, ""theo"": 3232.893264348492}",VWAP_MR,0,ES,1.6067356515081883,0.0,False,STOP_HIT,-2.1867356515081884,-1.360980351345023,3234.5,3229.6797930454754,2020-01-06
ES_VWAP_MR_V2_PORT,bearish,3241.2269791778126,1578414900,3238.0,1578430500,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 3.523020822187391, ""theo"": 3241.2269791778126}",VWAP_MR,15600,ES,1.7730208221873909,5.476979177812609,False,TIME_EXIT,2.646979177812609,0.7513379316813517,3244.75,3234.180937533438,2020-01-07
ES_VWAP_MR_V2_PORT,bearish,3249.609057491763,1578501300,3252.5,1578501420,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 2.8909425082370035, ""theo"": 3249.609057491763}",VWAP_MR,120,ES,3.1409425082370035,2.8590574917629965,False,STOP_HIT,-3.4709425082370036,-1.2006266116837114,3252.5,3243.827172475289,2020-01-08
ES_VWAP_MR_V2_PORT,bearish,3273.182411008647,1578584700,3274.75,1578585000,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.5675889913532046, ""theo"": 3273.182411008647}",VWAP_MR,300,ES,1.5675889913532046,0.6824110086467954,False,STOP_HIT,-2.1475889913532047,-1.3699949433169476,3274.75,3270.0472330259404,2020-01-09
ES_VWAP_MR_V2_PORT,bullish,3274.7741892542285,1578675300,3273.25,1578675660,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.5241892542285314, ""theo"": 3274.7741892542285}",VWAP_MR,360,ES,1.5241892542285314,1.2258107457714686,False,STOP_HIT,-2.1041892542285314,-1.38053017260876,3273.25,3277.8225677626856,2020-01-10
ES_VWAP_MR_V2_PORT,bearish,3274.659895657211,1578927900,3271.9796869716333,1578928800,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.3401043427888908, ""theo"": 3274.659895657211}",VWAP_MR,900,ES,0.3401043427888908,2.909895657211109,False,TARGET_HIT,2.1002086855777815,1.5671978804329803,3276.0,3271.9796869716333,2020-01-13
ES_VWAP_MR_V2_PORT,bearish,3285.440646640348,1579017600,3286.75,1579018800,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.3093533596520501, ""theo"": 3285.440646640348}",VWAP_MR,1200,ES,1.3093533596520501,1.6906466403479499,False,STOP_HIT,-1.8893533596520502,-1.4429667482230544,3286.75,3282.821939921044,2020-01-14
ES_VWAP_MR_V2_PORT,bullish,3304.0335365524274,1579191900,3306.1006096572823,1579192080,"{""sigma"": 2.0, ""target_r"": 2.0, ""risk"": 1.0335365524274494, ""theo"": 3304.0335365524274}",VWAP_MR,180,ES,0.28353655242744935,2.2164634475725506,False,TARGET_HIT,1.4870731048548986,1.4388200411124656,3303.0,3306.1006096572823,2020-01-16
