book,profile,stage,dd_frac,risk_usd,policy,mode,n_paths,probability_of_first_payout,expected_days_to_first_payout,account_survival_probability,probability_of_second_payout,probability_of_5_payouts,expected_total_payout_before_breach,probability_of_ruin
GC,MFFU_RAPID_EOD_50K,FUNDED,0.025,50.0,FIXED,bootstrap,10000,0.1662,360.0,0.8432,0.066,0.0014,280.6251301616543,0.1568
GC,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FIXED,bootstrap,10000,0.3499,124.0,0.0053,0.1671,0.0173,677.8418248568642,0.9947
GC,MFFU_RAPID_EOD_50K,FUNDED,0.075,150.0,FIXED,bootstrap,10000,0.2762,51.0,0.0,0.1252,0.0112,551.417638274424,1.0
GC,MFFU_RAPID_EOD_50K,FUNDED,0.1,200.0,FIXED,bootstrap,10000,0.3978,29.0,0.0,0.1868,0.0203,852.886042317741,1.0
GC,MFFU_RAPID_EOD_50K,FUNDED,0.125,250.0,FIXED,bootstrap,10000,0.4387,19.0,0.0,0.2175,0.0274,1016.2501504203489,1.0
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.025,37.5,FIXED,bootstrap,10000,0.0,,0.9255,0.0,0.0,0.0,0.0745
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FIXED,bootstrap,10000,0.4055,99.0,0.0004,0.0507,0.0,344.3612520892322,0.9996
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.075,112.5,FIXED,bootstrap,10000,0.5974,42.0,0.0,0.1565,0.0039,684.9936471616272,1.0
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.1,150.0,FIXED,bootstrap,10000,0.6669,20.0,0.0,0.1948,0.0055,773.6579565428817,1.0
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.125,187.5,FIXED,bootstrap,10000,0.5904,17.0,0.0,0.1689,0.0067,791.8117204973225,1.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.025,50.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.075,150.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.1,200.0,FIXED,bootstrap,10000,0.7946,37.0,0.0,0.5184,0.145,2046.6497879999995,1.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.125,250.0,FIXED,bootstrap,10000,0.7942,37.0,0.0,0.5222,0.147,2051.4556979999998,1.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.025,37.5,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.075,112.5,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.1,150.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.125,187.5,FIXED,bootstrap,10000,0.8827,13.0,0.0,0.4684,0.0742,1712.1501540000088,1.0
ES,MFFU_RAPID_EOD_50K,FUNDED,0.025,50.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
ES,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FIXED,bootstrap,10000,0.7115,119.0,0.005,0.4444,0.1066,1613.2299345000013,0.995
ES,MFFU_RAPID_EOD_50K,FUNDED,0.075,150.0,FIXED,bootstrap,10000,0.7128,116.0,0.0047,0.4431,0.1075,1615.0571595000013,0.9953
ES,MFFU_RAPID_EOD_50K,FUNDED,0.1,200.0,FIXED,bootstrap,10000,0.5635,35.0,0.0,0.3217,0.0583,1278.7160310000002,1.0
ES,MFFU_RAPID_EOD_50K,FUNDED,0.125,250.0,FIXED,bootstrap,10000,0.5718,35.0,0.0,0.3195,0.0569,1285.721658,1.0
ES,FUNDEDNEXT_FLEX_50K,FUNDED,0.025,37.5,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
ES,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FIXED,bootstrap,10000,0.0,,1.0,0.0,0.0,0.0,0.0
ES,FUNDEDNEXT_FLEX_50K,FUNDED,0.075,112.5,FIXED,bootstrap,10000,0.8665,41.0,0.0008,0.4143,0.0445,1396.0408887500207,0.9992
ES,FUNDEDNEXT_FLEX_50K,FUNDED,0.1,150.0,FIXED,bootstrap,10000,0.863,41.0,0.0004,0.4129,0.0493,1390.627123750021,0.9996
ES,FUNDEDNEXT_FLEX_50K,FUNDED,0.125,187.5,FIXED,bootstrap,10000,0.7746,13.0,0.0,0.3218,0.0212,1177.8519995000177,1.0
