book,profile,stage,dd_frac,risk_usd,policy,mode,n_paths,probability_of_first_payout,expected_days_to_first_payout,account_survival_probability,probability_of_second_payout,probability_of_5_payouts,expected_total_payout_before_breach,probability_of_ruin
GC,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_BUFFER_BUILD,bootstrap,400,0.1975,351.0,0.7375,0.0975,0.01,373.0649449825454,0.2625
GC,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_PAYOUT_APPROACH,bootstrap,400,0.065,159.0,0.03,0.0225,0.005,116.99359618772709,0.97
GC,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_DEFENSIVE_DD40,bootstrap,400,0.3875,125.0,0.2325,0.21,0.03,788.3700308502515,0.7675
GC,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_AFTER_PAYOUT_CUT,bootstrap,400,0.07,195.0,0.0375,0.0375,0.0025,130.14447005889483,0.9625
GC,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_LOSS_STREAK_2,bootstrap,400,0.3375,185.0,0.1125,0.1575,0.005,634.8812432122552,0.8875
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_BUFFER_BUILD,bootstrap,400,0.0,,0.92,0.0,0.0,0.0,0.08
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_PAYOUT_APPROACH,bootstrap,400,0.0,,0.9025,0.0,0.0,0.0,0.0975
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_DEFENSIVE_DD40,bootstrap,400,0.425,129.0,0.24,0.045,0.0,382.72518804712394,0.76
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_AFTER_PAYOUT_CUT,bootstrap,400,0.5175,242.0,0.335,0.0,0.0,399.3668895508279,0.665
GC,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_LOSS_STREAK_2,bootstrap,400,0.5525,175.0,0.025,0.1075,0.0,487.3114602412781,0.975
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_BUFFER_BUILD,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_PAYOUT_APPROACH,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_DEFENSIVE_DD40,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_AFTER_PAYOUT_CUT,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_LOSS_STREAK_2,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_BUFFER_BUILD,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_PAYOUT_APPROACH,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_DEFENSIVE_DD40,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_AFTER_PAYOUT_CUT,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
NQ,FUNDEDNEXT_FLEX_50K,FUNDED,0.05,75.0,FUNDED_LOSS_STREAK_2,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
ES,MFFU_RAPID_EOD_50K,FUNDED,0.05,100.0,FUNDED_BUFFER_BUILD,bootstrap,400,0.0,,1.0,0.0,0.0,0.0,0.0
