strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-02,1577979900,1577998500,2020-01-02T15:45:00Z,2020-01-02T20:55:00Z,bearish,FORCE_CLOSE,-0.9905555555555554,-0.9905555555555554,-17.83,UNAVAILABLE,-89.14999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3257.0,3227.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-02,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-02,1577980500,1577998500,2020-01-02T15:55:00Z,2020-01-02T20:55:00Z,bearish,FORCE_CLOSE,-0.9488888888888888,-0.9488888888888888,-17.08,UNAVAILABLE,-85.39999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3257.75,3228.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-02,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-03,1578070800,1578084900,2020-01-03T17:00:00Z,2020-01-03T20:55:00Z,bullish,FORCE_CLOSE,-0.2127777777777778,-0.2127777777777778,-3.83,UNAVAILABLE,-19.15,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3223.0,3250.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-03,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-03,1578071700,1578084900,2020-01-03T17:15:00Z,2020-01-03T20:55:00Z,bullish,FORCE_CLOSE,-0.2544444444444445,-0.2544444444444445,-4.58,UNAVAILABLE,-22.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3223.75,3250.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-03,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-06,1578326400,1578337920,2020-01-06T16:00:00Z,2020-01-06T19:12:00Z,bullish,TARGET_HIT,0.4677777777777778,0.4677777777777778,8.42,UNAVAILABLE,42.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3214.25,3241.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-06,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-06,1578327600,1578341700,2020-01-06T16:20:00Z,2020-01-06T20:15:00Z,bullish,TARGET_HIT,0.4677777777777778,0.4677777777777778,8.42,UNAVAILABLE,42.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3215.25,3242.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-06,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-06,1578334800,1578343980,2020-01-06T18:20:00Z,2020-01-06T20:53:00Z,bullish,TARGET_HIT,0.4677777777777778,0.4677777777777778,8.42,UNAVAILABLE,42.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3218.75,3245.75,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-06,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-06,1578335700,1578344100,2020-01-06T18:35:00Z,2020-01-06T20:55:00Z,bullish,FORCE_CLOSE,0.44,0.44,7.92,UNAVAILABLE,39.6,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3219.0,3246.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-06,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-07,1578413400,1578430500,2020-01-07T16:10:00Z,2020-01-07T20:55:00Z,bullish,FORCE_CLOSE,-0.3238888888888889,-0.3238888888888889,-5.83,UNAVAILABLE,-29.15,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3225.25,3252.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-07,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-07,1578414600,1578430500,2020-01-07T16:30:00Z,2020-01-07T20:55:00Z,bullish,FORCE_CLOSE,-0.3655555555555556,-0.3655555555555556,-6.58,UNAVAILABLE,-32.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3226.0,3253.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-07,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-08,1578499200,1578502140,2020-01-08T16:00:00Z,2020-01-08T16:49:00Z,bearish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3260.5,3231.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-08,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-08,1578499800,1578513540,2020-01-08T16:10:00Z,2020-01-08T19:59:00Z,bearish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3262.5,3233.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-08,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-09,1578584700,1578603300,2020-01-09T15:45:00Z,2020-01-09T20:55:00Z,bullish,FORCE_CLOSE,0.023333333333333334,0.023333333333333334,0.42000000000000004,UNAVAILABLE,2.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3255.0,3282.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-09,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-09,1578585300,1578603300,2020-01-09T15:55:00Z,2020-01-09T20:55:00Z,bullish,FORCE_CLOSE,-0.03222222222222222,-0.03222222222222222,-0.58,UNAVAILABLE,-2.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3256.0,3283.0,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-09,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-09,1578585900,1578603300,2020-01-09T16:05:00Z,2020-01-09T20:55:00Z,bullish,FORCE_CLOSE,-0.004444444444444445,-0.004444444444444445,-0.08000000000000002,UNAVAILABLE,-0.4000000000000001,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3255.5,3282.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-09,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-09,1578586500,1578603300,2020-01-09T16:15:00Z,2020-01-09T20:55:00Z,bullish,FORCE_CLOSE,0.065,0.065,1.17,UNAVAILABLE,5.85,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3254.25,3281.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-09,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-10,1578671100,1578688620,2020-01-10T15:45:00Z,2020-01-10T20:37:00Z,bullish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3263.5,3290.5,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-10,False
ES_DVP_LOCKED_PHASE47_SOURCE_PHASE46,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_es_dvp.csv,ES,2020-01-10,1578671700,1578688920,2020-01-10T15:55:00Z,2020-01-10T20:42:00Z,bullish,STOP_HIT,-1.0322222222222222,-1.0322222222222222,-18.58,UNAVAILABLE,-92.89999999999999,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,18.0,3261.25,3288.25,phase46: 2*1tick + 0.08pt commission already in points/r_multiple,2020-01-10,False
