strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,frozen_status,hit_2r_mfe,stop_hit_flag
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-04,1754313000,1754313000,2025-08-04T13:10:00Z,2025-08-04T13:10:00Z,bearish,STOP_HIT,-1.1971935175547317,-1.1971935175547317,-0.849962486272616,UNAVAILABLE,-8.49962486272616,LOSS,0.0,1.8099624862729797,0.8900375137272931,2.5493776379305464,1.2536402006253762,0.7099624862726159,3399.2,3397.070112541182,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-04,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-05,1754401500,1754402400,2025-08-05T13:45:00Z,2025-08-05T14:00:00Z,bearish,STOP_HIT,-1.0374444529263003,-1.0374444529263003,-3.878871556637605,UNAVAILABLE,-38.78871556637605,LOSS,900.0,4.438871556637423,3.861128443362759,1.187222264631453,1.0326988731421147,3.738871556637605,3407.3,3396.0833853300874,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-05,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-06,1754485200,1754485200,2025-08-06T13:00:00Z,2025-08-06T13:00:00Z,bearish,STOP_HIT,-1.1200114704868802,-1.1200114704868802,-1.306555158702977,UNAVAILABLE,-13.06555158702977,LOSS,0.0,3.6665551587029768,0.7334448412971142,3.1430619729800013,0.628727099464879,1.1665551587029768,3396.5,3393.000334523891,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-06,False,AMBIGUOUS,,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-06,1754490900,1754491500,2025-08-06T14:35:00Z,2025-08-06T14:45:00Z,bearish,STOP_HIT,-1.0604408961263119,-1.0604408961263119,-2.4563124469137985,UNAVAILABLE,-24.563124469137986,LOSS,600.0,3.3163124469137983,0.48368755308638356,1.4317206866165129,0.2088179225263145,2.3163124469137983,3405.5,3398.5510626592586,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-06,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-06,1754493300,1754495400,2025-08-06T15:15:00Z,2025-08-06T15:50:00Z,bearish,STOP_HIT,-1.0333325551099743,-1.0333325551099743,-4.340098058432559,UNAVAILABLE,-43.40098058432559,LOSS,2100.0,5.400098058432377,4.799901941567441,1.2857076152283091,1.142807114212644,4.200098058432559,3408.8,3396.1997058247025,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-06,False,STOP_HIT,False,True
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-07,1754571300,1754571300,2025-08-07T12:55:00Z,2025-08-07T12:55:00Z,bullish,TARGET_HIT,1.312899870512835,1.312899870512835,0.26750974710044834,UNAVAILABLE,2.6750974710044835,WIN,0.0,0.1037548735503151,2.296245126449776,0.5092141932238997,11.269645169413666,0.20375487355022415,3424.8,3425.411264620651,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-07,False,AMBIGUOUS,True,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-07,1754576100,1754587800,2025-08-07T14:15:00Z,2025-08-07T17:30:00Z,bullish,TIME_EXIT,0.0029413779249107927,0.0029413779249107927,0.050619292514384136,UNAVAILABLE,0.5061929251438414,WIN,11700.0,12.409380707485525,2.690619292514384,0.7210823514461339,0.15634608462953134,17.209380707485707,3407.5,3459.128142122457,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-07,False,EXPIRED,False,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-11,1754922300,1754923200,2025-08-11T14:25:00Z,2025-08-11T14:40:00Z,bearish,TARGET_HIT,1.9768094713953612,1.9768094713953612,11.93389468233123,UNAVAILABLE,119.3389468233123,WIN,900.0,1.3369473411657964,13.863052658834476,0.22146082541572384,2.296367994516546,6.0369473411656145,3390.0,3371.889157976503,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-11,False,TARGET_2R_HIT,True,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-12,1755009000,1755012300,2025-08-12T14:30:00Z,2025-08-12T15:25:00Z,bullish,TARGET_HIT,1.9830163402675711,1.9830163402675711,16.346434868061223,UNAVAILABLE,163.46434868061223,WIN,3300.0,6.043217434030794,22.956782565969206,0.7331139184904281,2.784929883226947,8.243217434030612,3351.5,3376.229652302092,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-12,False,TARGET_2R_HIT,True,False
GC_VWAP_V2_FROZEN,reconstructed:frozen_v2_5m_stitch,GC,2025-08-14,1755180900,1755187800,2025-08-14T14:15:00Z,2025-08-14T16:10:00Z,bullish,STOP_HIT,-1.030480489534421,-1.030480489534421,-4.733102083937992,UNAVAILABLE,-47.331020839379924,LOSS,6900.0,7.193102083937902,7.706897916062189,1.5660662342106588,1.6779287233813271,4.593102083937993,3354.6,3368.379306251814,1_TICK_ADVERSE_ENTRY + 1_TICK_EXIT + 0.04pt_commission (family_port GC model),2025-08-14,False,STOP_HIT,False,True
