strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-02,1577979900,1577998500,2020-01-02T15:45:00Z,2020-01-02T20:55:00Z,bearish,FORCE_CLOSE,-0.865,-0.865,-69.2,UNAVAILABLE,-138.4,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8895.75,8765.75,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-02,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-02,1577980500,1577998500,2020-01-02T15:55:00Z,2020-01-02T20:55:00Z,bearish,FORCE_CLOSE,-0.8306250000000001,-0.8306250000000001,-66.45,UNAVAILABLE,-132.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8898.5,8768.5,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-02,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-03,1578070800,1578084900,2020-01-03T17:00:00Z,2020-01-03T20:55:00Z,bullish,FORCE_CLOSE,-0.19,-0.19,-15.2,UNAVAILABLE,-30.4,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8754.25,8874.25,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-03,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-03,1578071700,1578084900,2020-01-03T17:15:00Z,2020-01-03T20:55:00Z,bullish,FORCE_CLOSE,-0.299375,-0.299375,-23.95,UNAVAILABLE,-47.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8763.0,8883.0,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-03,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-06,1578326400,1578344100,2020-01-06T16:00:00Z,2020-01-06T20:55:00Z,bullish,TARGET_HIT,0.49124999999999996,0.49124999999999996,39.3,UNAVAILABLE,78.6,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8743.75,8863.75,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-06,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-06,1578327600,1578344100,2020-01-06T16:20:00Z,2020-01-06T20:55:00Z,bullish,FORCE_CLOSE,0.425625,0.425625,34.05,UNAVAILABLE,68.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8748.0,8868.0,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-06,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-06,1578328800,1578344100,2020-01-06T16:40:00Z,2020-01-06T20:55:00Z,bullish,FORCE_CLOSE,0.39749999999999996,0.39749999999999996,31.799999999999997,UNAVAILABLE,63.599999999999994,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8750.25,8870.25,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-06,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-06,1578334800,1578344100,2020-01-06T18:20:00Z,2020-01-06T20:55:00Z,bullish,FORCE_CLOSE,0.381875,0.381875,30.55,UNAVAILABLE,61.1,WIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8751.5,8871.5,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-06,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-07,1578413400,1578430500,2020-01-07T16:10:00Z,2020-01-07T20:55:00Z,bullish,FORCE_CLOSE,-0.205625,-0.205625,-16.45,UNAVAILABLE,-32.9,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8798.5,8918.5,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-07,False
NQ_DVP_FROZEN,C:/Users/tanam/OneDrive/Desktop/aitrade/reports/phase46_nq_dvp_frozen_proxy.csv,NQ,2020-01-07,1578414000,1578430500,2020-01-07T16:20:00Z,2020-01-07T20:55:00Z,bullish,FORCE_CLOSE,-0.24,-0.24,-19.2,UNAVAILABLE,-38.4,LOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,80.0,8801.25,8921.25,phase46: 2*1tick + 0.20pt commission already in points/r_multiple,2020-01-07,False
