name,book,profile,label,qty_normal,qty_accel,qty_defensive,qty_approach,accel_dd_frac,accel_min_pnl,defensive_dd_frac,approach,approach_mult,governor,daily_stop,daily_stop_value,streak,day_profit_frac,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,p95_days_to_pass,P(pass <=10d),P(pass <=14d),P(pass <=20d),P(pass <=30d),median_trades_to_pass,median_max_drawdown_before_pass,probability_consistency_rule_delays_pass,average_adjusted_profit_target,expected_number_of_attempts,expected_evaluation_cost,expected_evaluation_cost_note,expected_evaluation_cost_status,mean_accel_days,max_executable,cap_note,qty_normal_used,qty_accel_used,EVAL_STATES,mode
Q2_FIXED__GOV_SOFT,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,soft,none,0.0,none,0.0,2500,0.4176,0.009863270045983736,0.5824,0.0,17.0,24.0,33.0,42.0,0.20881226053639848,0.40229885057471265,0.6379310344827587,0.8716475095785441,46.5,888.1000000000204,0.0,2500.0,2.3946360153256703,167.60057471264366,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__GOV_REDUCED,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,reduced,none,0.0,none,0.0,2500,0.4408,0.009929659812903963,0.5592,0.0,13.0,20.0,28.0,33.0,0.33212341197822143,0.543557168784029,0.7758620689655172,0.9346642468239564,48.0,794.300000000032,0.0,2500.0,2.268602540834846,158.77949183303085,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__GOV_HARD,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,hard,none,0.0,none,0.0,2500,0.4856,0.009995851939679778,0.5144,0.0,13.0,18.0,24.0,29.0,0.35914332784184516,0.5790774299835255,0.8212520593080724,0.9637561779242174,47.0,850.5000000000437,0.0,2500.0,2.0593080724876445,144.1309719934102,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__GOV_SOFT,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,soft,none,0.0,none,0.0,2500,0.4068,0.009824739385856502,0.5932,0.0,17.0,29.0,41.39999999999998,50.0,0.2232055063913471,0.408062930186824,0.5870206489675516,0.7669616519174042,50.0,917.4000000000233,0.0,2500.0,2.4582104228121926,172.05014749262534,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__GOV_REDUCED,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,reduced,none,0.0,none,0.0,2500,0.4612,0.009969845736018185,0.5388,0.0,15.0,25.0,35.0,44.0,0.29141370338248046,0.4657415437987858,0.6539462272333044,0.8438855160450998,55.0,936.8000000000175,0.0,2500.0,2.168256721595837,151.7562879444926,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__GOV_HARD,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,hard,none,0.0,none,0.0,2500,0.4768,0.009989229399708468,0.5232,0.0,14.0,21.0,31.0,37.450000000000045,0.3313758389261745,0.5243288590604027,0.7332214765100671,0.8951342281879194,49.0,896.8000000000175,0.0,2500.0,2.097315436241611,146.79110738255034,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__GOV_SOFT,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,soft,none,0.0,none,0.0,2500,0.3848,0.009730960075963727,0.6152,0.0,27.0,39.0,51.0,63.94999999999993,0.035343035343035345,0.13201663201663202,0.3180873180873181,0.577962577962578,70.0,1224.3999999999996,0.0,3000.0,2.598752598752599,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__GOV_REDUCED,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,reduced,none,0.0,none,0.0,2500,0.446,0.009941508939793798,0.554,0.0,20.0,28.0,38.60000000000002,45.0,0.11031390134529148,0.28161434977578476,0.5282511210762332,0.7910313901345292,69.0,1097.7999999999993,0.0,3000.0,2.242152466367713,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__GOV_HARD,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,hard,none,0.0,none,0.0,2500,0.5292,0.00998293263525303,0.4708,0.0,18.0,26.0,34.0,40.0,0.20256991685563114,0.3900226757369615,0.6054421768707483,0.8631897203325775,62.0,1092.0,0.0,3000.0,1.8896447467876039,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__GOV_SOFT,NQ,MFFU_RAPID_EOD_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,soft,none,0.0,none,0.0,2500,0.4116,0.009842467983183893,0.588,0.0004,31.0,50.0,72.40000000000009,89.19999999999982,0.042759961127308066,0.13313896987366375,0.2750242954324587,0.4849368318756074,82.0,1327.5999999999992,0.0,3000.0,2.4295432458697763,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
