name,book,profile,label,qty_normal,qty_accel,qty_defensive,qty_approach,accel_dd_frac,accel_min_pnl,defensive_dd_frac,approach,approach_mult,governor,daily_stop,daily_stop_value,streak,day_profit_frac,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,p95_days_to_pass,P(pass <=10d),P(pass <=14d),P(pass <=20d),P(pass <=30d),median_trades_to_pass,median_max_drawdown_before_pass,probability_consistency_rule_delays_pass,average_adjusted_profit_target,expected_number_of_attempts,expected_evaluation_cost,expected_evaluation_cost_note,expected_evaluation_cost_status,mean_accel_days,max_executable,cap_note,qty_normal_used,qty_accel_used,EVAL_STATES,mode
Q1_FIXED,NQ,FUNDEDNEXT_FLEX_50K,qty,1,1,1,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.628,0.00966676781556276,0.372,0.0,40.0,57.0,74.0,88.0,0.006369426751592357,0.033121019108280254,0.12420382165605096,0.3267515923566879,137.0,912.2000000000189,0.0,2500.0,1.5923566878980893,111.44904458598725,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,1,1,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.4864,0.00999630011554275,0.5136,0.0,13.0,18.0,25.0,29.25,0.3807565789473684,0.609375,0.8182565789473685,0.9588815789473685,45.0,819.6000000000204,0.0,2500.0,2.0559210526315788,143.8939144736842,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q3_FIXED,NQ,FUNDEDNEXT_FLEX_50K,qty,3,3,3,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.4152,0.009855129831717083,0.5848,0.0,8.0,11.0,15.0,18.0,0.7196531791907514,0.8901734104046243,0.9759152215799615,0.9980732177263969,28.0,968.3999999999942,0.3568,2735.0067,2.4084778420038533,168.56936416184968,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,3,3,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q4_FIXED,NQ,FUNDEDNEXT_FLEX_50K,qty_stretch,4,4,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.3612,0.009606967471580198,0.6388,0.0,7.0,10.0,13.0,16.0,0.8017718715393134,0.9258028792912514,0.982281284606866,1.0,26.0,907.1999999999971,0.4356,3299.0064,2.768549280177187,193.7707641196013,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,4,4,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q1_ACCEL2_C70,NQ,FUNDEDNEXT_FLEX_50K,qty,1,2,1,1,0.7,0.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.5576,0.009933423176327484,0.4424,0.0,23.0,37.0,53.0,64.0,0.17718794835007173,0.2804878048780488,0.4383070301291248,0.6549497847919655,81.0,948.050000000072,0.0,2500.0,1.793400286944046,125.52008608321377,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,8.114,9,OK,1,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q1_ACCEL2_C80_P200,NQ,FUNDEDNEXT_FLEX_50K,qty,1,2,1,1,0.8,200.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.5816,0.009865930062594199,0.4184,0.0,26.0,41.0,57.0,68.0,0.12173314993122421,0.23177441540577717,0.3658872077028886,0.5866574965612105,92.0,968.4000000000087,0.0,2500.0,1.71939477303989,120.34044016506189,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,6.7744,9,OK,1,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q1_ACCEL3_C80_P400,NQ,FUNDEDNEXT_FLEX_50K,qty,1,3,1,1,0.8,400.0,0.0,NONE,1.5,none,none,0.0,none,0.0,2500,0.4952,0.009999539189382678,0.5048,0.0,22.0,36.0,53.299999999999955,63.0,0.18739903069466882,0.31098546042003233,0.47092084006462037,0.6752827140549273,76.0,995.3999999999942,0.336,2670.0689,2.0193861066235868,141.33683360258482,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,4.2428,9,OK,1,3,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,none,0.0,none,0.0,2500,0.4896,0.009997836565977662,0.5104,0.0,14.0,21.0,31.0,39.0,0.3480392156862745,0.5359477124183006,0.7303921568627451,0.8897058823529411,49.0,880.1000000000204,0.0,2500.0,2.0424836601307192,142.95343137254903,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_ACCEL3_DEF40,NQ,FUNDEDNEXT_FLEX_50K,qty,2,3,1,1,0.8,0.0,0.4,NONE,1.5,none,none,0.0,none,0.0,2500,0.4312,0.00990487879784503,0.5688,0.0,10.0,17.0,24.0,31.0,0.5213358070500927,0.6892393320964749,0.8432282003710575,0.948051948051948,36.0,968.3999999999942,0.2836,2659.9645,2.3191094619666046,162.31447124304265,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,4.1376,9,OK,2,3,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q3_DEF45,NQ,FUNDEDNEXT_FLEX_50K,qty,3,3,1,1,1.01,0.0,0.45,NONE,1.5,none,none,0.0,none,0.0,2500,0.4064,0.009823218209935071,0.5936,0.0,8.0,12.0,18.0,24.0,0.6624015748031497,0.827755905511811,0.9212598425196851,0.984251968503937,29.0,887.5499999999738,0.3432,2720.8212,2.4606299212598426,172.21948818897636,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,3,3,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
