book,profile,qty_micros,stop_points,raw_stop_risk_usd,fits_initial_dd,fits_contract_cap,status
NQ,MFFU_RAPID_EOD_50K,1,80.0,160.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,2,80.0,320.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,3,80.0,480.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,4,80.0,640.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,5,80.0,800.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,6,80.0,960.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,7,80.0,1120.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,8,80.0,1280.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,9,80.0,1440.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,10,80.0,1600.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,11,80.0,1760.0,True,True,OK
NQ,MFFU_RAPID_EOD_50K,12,80.0,1920.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,1,80.0,160.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,2,80.0,320.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,3,80.0,480.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,4,80.0,640.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,5,80.0,800.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,6,80.0,960.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,7,80.0,1120.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,8,80.0,1280.0,True,True,OK
NQ,FUNDEDNEXT_FLEX_50K,9,80.0,1440.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,1,18.0,90.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,2,18.0,180.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,3,18.0,270.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,4,18.0,360.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,5,18.0,450.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,6,18.0,540.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,7,18.0,630.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,8,18.0,720.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,9,18.0,810.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,10,18.0,900.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,11,18.0,990.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,12,18.0,1080.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,13,18.0,1170.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,14,18.0,1260.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,15,18.0,1350.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,16,18.0,1440.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,17,18.0,1530.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,18,18.0,1620.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,19,18.0,1710.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,20,18.0,1800.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,21,18.0,1890.0,True,True,OK
ES,MFFU_RAPID_EOD_50K,22,18.0,1980.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,1,18.0,90.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,2,18.0,180.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,3,18.0,270.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,4,18.0,360.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,5,18.0,450.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,6,18.0,540.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,7,18.0,630.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,8,18.0,720.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,9,18.0,810.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,10,18.0,900.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,11,18.0,990.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,12,18.0,1080.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,13,18.0,1170.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,14,18.0,1260.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,15,18.0,1350.0,True,True,OK
ES,FUNDEDNEXT_FLEX_50K,16,18.0,1440.0,True,True,OK
