Policy,Quantity logic,Firm,P(pass),P(breach),Median days,P(pass <=10d),P(pass <=14d),P(pass <=20d),Expected attempts,Expected eval cost,p90 days,governor,daily_stop,streak,approach
Q1_FIXED,n=1 a=1 d=1,FUNDEDNEXT_FLEX_50K,0.628,0.372,40.0,0.006369426751592357,0.033121019108280254,0.12420382165605096,1.5923566878980893,111.44904458598725,74.0,none,none,none,NONE
Q2_FIXED,n=2 a=2 d=2,FUNDEDNEXT_FLEX_50K,0.4864,0.5136,13.0,0.3807565789473684,0.609375,0.8182565789473685,2.0559210526315788,143.8939144736842,25.0,none,none,none,NONE
Q3_FIXED,n=3 a=3 d=3,FUNDEDNEXT_FLEX_50K,0.4152,0.5848,8.0,0.7196531791907514,0.8901734104046243,0.9759152215799615,2.4084778420038533,168.56936416184968,15.0,none,none,none,NONE
Q4_FIXED,n=4 a=4 d=2,FUNDEDNEXT_FLEX_50K,0.3612,0.6388,7.0,0.8017718715393134,0.9258028792912514,0.982281284606866,2.768549280177187,193.7707641196013,13.0,none,none,none,NONE
Q1_ACCEL2_C70,n=1 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.5576,0.4424,23.0,0.17718794835007173,0.2804878048780488,0.4383070301291248,1.793400286944046,125.52008608321377,53.0,none,none,none,NONE
Q1_ACCEL2_C80_P200,n=1 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.5816,0.4184,26.0,0.12173314993122421,0.23177441540577717,0.3658872077028886,1.71939477303989,120.34044016506189,57.0,none,none,none,NONE
Q1_ACCEL3_C80_P400,n=1 a=3 d=1,FUNDEDNEXT_FLEX_50K,0.4952,0.5048,22.0,0.18739903069466882,0.31098546042003233,0.47092084006462037,2.0193861066235868,141.33683360258482,53.299999999999955,none,none,none,NONE
Q2_DEF50,n=2 a=2 d=1,FUNDEDNEXT_FLEX_50K,0.4896,0.5104,14.0,0.3480392156862745,0.5359477124183006,0.7303921568627451,2.0424836601307192,142.95343137254903,31.0,none,none,none,NONE
Q2_ACCEL3_DEF40,n=2 a=3 d=1,FUNDEDNEXT_FLEX_50K,0.4312,0.5688,10.0,0.5213358070500927,0.6892393320964749,0.8432282003710575,2.3191094619666046,162.31447124304265,24.0,none,none,none,NONE
Q3_DEF45,n=3 a=3 d=1,FUNDEDNEXT_FLEX_50K,0.4064,0.5936,8.0,0.6624015748031497,0.827755905511811,0.9212598425196851,2.4606299212598426,172.21948818897636,18.0,none,none,none,NONE
Q1_FIXED__APPR_REDUCE,n=1 a=1 d=1,FUNDEDNEXT_FLEX_50K,0.63,0.37,40.0,0.006349206349206349,0.04253968253968254,0.1295238095238095,1.5873015873015872,111.09523809523809,76.0,none,none,none,REDUCE
Q1_FIXED__APPR_SKIP,n=1 a=1 d=1,FUNDEDNEXT_FLEX_50K,0.2416,0.3604,37.0,0.009933774834437087,0.054635761589403975,0.15894039735099338,4.139072847682119,289.6937086092715,71.70000000000005,none,none,none,SKIP
