name,book,profile,label,qty_normal,qty_accel,qty_defensive,qty_approach,accel_dd_frac,accel_min_pnl,defensive_dd_frac,approach,approach_mult,governor,daily_stop,daily_stop_value,streak,day_profit_frac,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,p95_days_to_pass,P(pass <=10d),P(pass <=14d),P(pass <=20d),P(pass <=30d),median_trades_to_pass,median_max_drawdown_before_pass,probability_consistency_rule_delays_pass,average_adjusted_profit_target,expected_number_of_attempts,expected_evaluation_cost,expected_evaluation_cost_note,expected_evaluation_cost_status,mean_accel_days,max_executable,cap_note,qty_normal_used,qty_accel_used,EVAL_STATES,mode
Q2_FIXED__DSTOP_USD400,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,dollar,400.0,none,0.0,2500,0.4944,0.009999372780329774,0.5056,0.0,13.0,18.0,25.0,29.0,0.3762135922330097,0.593042071197411,0.8179611650485437,0.9611650485436893,45.0,779.6000000000204,0.0,2500.0,2.0226537216828477,141.5655339805825,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_USD600,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,dollar,600.0,none,0.0,2500,0.474,0.009986470848102447,0.526,0.0,12.0,19.0,24.0,29.0,0.389873417721519,0.6092827004219409,0.8219409282700422,0.9586497890295359,44.0,779.6000000000204,0.0,2500.0,2.109704641350211,147.65822784810126,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_R15,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,R,1.5,none,0.0,2500,0.4588,0.009965993377481244,0.5412,0.0,13.0,18.0,25.0,30.700000000000045,0.3801220575414124,0.5937227550130776,0.8038360941586749,0.949433304272014,45.0,819.6000000000204,0.0,2500.0,2.1795989537925022,152.55013077593722,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.572,0.009895776877031939,0.428,0.0,14.0,21.0,29.0,34.0,0.3237762237762238,0.5160839160839161,0.7391608391608392,0.9195804195804196,49.0,968.4000000000087,0.0,2500.0,1.7482517482517483,122.36013986013985,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__DSTOP_USD400,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,dollar,400.0,none,0.0,2500,0.478,0.00999031531033931,0.522,0.0,13.0,21.0,33.0,39.0,0.3573221757322176,0.5414225941422595,0.7313807531380753,0.8811715481171548,48.0,809.2000000000116,0.0,2500.0,2.092050209205021,146.42259414225938,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__DSTOP_USD600,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,dollar,600.0,none,0.0,2500,0.49,0.00999799979995999,0.51,0.0,13.0,21.0,30.0,36.799999999999955,0.3853061224489796,0.5608163265306122,0.7420408163265306,0.9077551020408163,46.0,814.2000000000116,0.0,2500.0,2.0408163265306123,142.83673469387753,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__DSTOP_R15,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,R,1.5,none,0.0,2500,0.4956,0.009999612792503517,0.5044,0.0,14.0,21.0,29.0,35.0,0.354317998385795,0.5375302663438256,0.7280064568200162,0.910411622276029,48.0,788.0000000000291,0.0,2500.0,2.017756255044391,141.2227602905569,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__DSTOP_FRAC35,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.59,0.009836666101886351,0.41,0.0,16.0,27.0,41.600000000000136,51.0,0.2894915254237288,0.4427118644067797,0.607457627118644,0.7959322033898305,57.0,1010.8000000000611,0.0,2500.0,1.6949152542372883,118.62711864406779,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_USD400,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,dollar,400.0,none,0.0,2500,0.5364,0.009973465596270938,0.4636,0.0,17.0,25.0,35.0,41.0,0.20059656972408652,0.3773303504847129,0.6129753914988815,0.8426547352721849,61.0,1090.2,0.0,3000.0,1.8642803877703207,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_USD600,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,dollar,600.0,none,0.0,2500,0.5204,0.009991673333331109,0.4796,0.0,17.0,25.0,32.0,39.0,0.21598770176787088,0.3866256725595696,0.6141429669485011,0.8639508070714835,61.0,1079.7999999999993,0.0,3000.0,1.9215987701767872,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
