name,book,profile,label,qty_normal,qty_accel,qty_defensive,qty_approach,accel_dd_frac,accel_min_pnl,defensive_dd_frac,approach,approach_mult,governor,daily_stop,daily_stop_value,streak,day_profit_frac,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,p95_days_to_pass,P(pass <=10d),P(pass <=14d),P(pass <=20d),P(pass <=30d),median_trades_to_pass,median_max_drawdown_before_pass,probability_consistency_rule_delays_pass,average_adjusted_profit_target,expected_number_of_attempts,expected_evaluation_cost,expected_evaluation_cost_note,expected_evaluation_cost_status,mean_accel_days,max_executable,cap_note,qty_normal_used,qty_accel_used,EVAL_STATES,mode
Q2_FIXED__STREAK_PAUSE_2,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,pause_2,0.0,2500,0.488,0.009997119585160518,0.512,0.0,13.0,18.0,24.0,28.0,0.37540983606557377,0.589344262295082,0.8295081967213115,0.9680327868852459,46.0,794.2000000000407,0.0,2500.0,2.0491803278688523,143.42213114754097,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__STREAK_PAUSE_3,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,pause_3,0.0,2500,0.4756,0.009988085702475726,0.5244,0.0,13.0,18.0,24.0,29.0,0.36248948696383515,0.5937762825904122,0.8216989066442388,0.960470984020185,45.0,826.2000000000262,0.0,2500.0,2.1026072329688814,147.161480235492,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__STREAK_REDUCE_2,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,reduce_2,0.0,2500,0.484,0.009994878688608481,0.516,0.0,12.0,18.0,24.0,29.0,0.3958677685950413,0.6173553719008265,0.8289256198347107,0.9661157024793389,44.0,769.300000000032,0.0,2500.0,2.066115702479339,144.60743801652893,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__STREAK_REDUCE_3,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,reduce_3,0.0,2500,0.4804,0.009992313846151952,0.5196,0.0,13.0,19.0,25.0,29.0,0.3430474604496253,0.5895087427144047,0.8076602830974188,0.9600333055786844,46.0,863.4000000000233,0.0,2500.0,2.0815986677768525,145.6910907577019,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__STREAK_PAUSE_2,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,none,0.0,pause_2,0.0,2500,0.4952,0.009999539189382678,0.5048,0.0,13.0,20.0,30.0,37.149999999999864,0.3852988691437803,0.567043618739903,0.7504038772213247,0.9038772213247173,45.5,741.300000000032,0.0,2500.0,2.0193861066235868,141.33683360258482,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__STREAK_PAUSE_3,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,none,0.0,pause_3,0.0,2500,0.4836,0.009994619352431587,0.5164,0.0,14.0,21.0,31.0,39.0,0.348221670802316,0.5310173697270472,0.7253928866832092,0.8957816377171216,49.0,845.0000000000146,0.0,2500.0,2.0678246484698097,144.727047146402,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__STREAK_REDUCE_2,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,none,0.0,reduce_2,0.0,2500,0.5152,0.009995378131916772,0.4848,0.0,18.0,27.0,38.299999999999955,47.0,0.2375776397515528,0.3781055900621118,0.5869565217391305,0.8035714285714286,63.0,957.5000000000182,0.0,2500.0,1.9409937888198758,135.8501552795031,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__STREAK_REDUCE_3,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,NONE,1.5,none,none,0.0,reduce_3,0.0,2500,0.492,0.009998719918069512,0.508,0.0,14.0,23.0,32.100000000000136,40.0,0.3300813008130081,0.5065040650406504,0.6967479674796748,0.8764227642276423,51.0,881.4000000000378,0.0,2500.0,2.032520325203252,142.2560975609756,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__STREAK_PAUSE_2,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,pause_2,0.0,2500,0.522,0.00999031531033931,0.478,0.0,17.0,25.0,34.0,39.0,0.2,0.3693486590038314,0.6260536398467433,0.8559386973180076,61.0,1075.2000000000014,0.0,3000.0,1.9157088122605364,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__STREAK_PAUSE_3,NQ,MFFU_RAPID_EOD_50K,qty,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,none,0.0,pause_3,0.0,2500,0.5292,0.00998293263525303,0.4708,0.0,18.0,25.0,33.0,38.0,0.19576719576719576,0.3749055177626606,0.6213151927437641,0.8578987150415722,62.0,1094.0,0.0,3000.0,1.8896447467876039,,"MFFU evaluation purchase price is REQUIRES_CONFIRMATION — attempts reported, dollar cost not invented",REQUIRES_CONFIRMATION,0.0,12,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
