name,book,profile,label,qty_normal,qty_accel,qty_defensive,qty_approach,accel_dd_frac,accel_min_pnl,defensive_dd_frac,approach,approach_mult,governor,daily_stop,daily_stop_value,streak,day_profit_frac,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,p95_days_to_pass,P(pass <=10d),P(pass <=14d),P(pass <=20d),P(pass <=30d),median_trades_to_pass,median_max_drawdown_before_pass,probability_consistency_rule_delays_pass,average_adjusted_profit_target,expected_number_of_attempts,expected_evaluation_cost,expected_evaluation_cost_note,expected_evaluation_cost_status,mean_accel_days,max_executable,cap_note,qty_normal_used,qty_accel_used,EVAL_STATES,mode
Q1_FIXED__APPR_REDUCE,NQ,FUNDEDNEXT_FLEX_50K,qty,1,1,1,1,1.01,0.0,0.0,REDUCE,1.5,none,none,0.0,none,0.0,2500,0.63,0.009656086163658649,0.37,0.0,40.0,57.0,76.0,88.0,0.006349206349206349,0.04253968253968254,0.1295238095238095,0.31936507936507935,139.0,915.8000000000175,0.0,2500.0,1.5873015873015872,111.09523809523809,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,1,1,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q1_FIXED__APPR_SKIP,NQ,FUNDEDNEXT_FLEX_50K,qty,1,1,1,1,1.01,0.0,0.0,SKIP,1.0,none,none,0.0,none,0.0,2500,0.2416,0.008561061616411835,0.3604,0.398,37.0,52.0,71.70000000000005,80.0,0.009933774834437087,0.054635761589403975,0.15894039735099338,0.3741721854304636,127.0,839.9500000000335,0.0,2500.0,4.139072847682119,289.6937086092715,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,1,1,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__APPR_REDUCE,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,REDUCE,1.5,none,none,0.0,none,0.0,2500,0.49,0.00999799979995999,0.51,0.0,13.0,18.0,25.0,29.0,0.3510204081632653,0.5926530612244898,0.8293877551020408,0.9640816326530612,46.0,739.6000000000204,0.0,2500.0,2.0408163265306123,142.83673469387753,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__APPR_SKIP,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,2,1,1.01,0.0,0.0,SKIP,1.0,none,none,0.0,none,0.0,2500,0.2068,0.008100216293408466,0.4808,0.3124,11.0,16.0,22.0,25.0,0.48549323017408125,0.6808510638297872,0.8781431334622823,0.9787234042553191,39.0,645.6000000000058,0.0,2500.0,4.835589941972921,338.4429400386847,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q3_FIXED__APPR_REDUCE,NQ,FUNDEDNEXT_FLEX_50K,qty,3,3,3,1,1.01,0.0,0.0,REDUCE,1.5,none,none,0.0,none,0.0,2500,0.4184,0.009865930062594199,0.5816,0.0,11.0,17.0,25.0,30.0,0.47418738049713194,0.6682600382409177,0.8260038240917782,0.9541108986615678,39.0,874.5999999999949,0.3628,2730.1583,2.390057361376673,167.28011472275335,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,3,3,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q3_FIXED__APPR_SKIP,NQ,FUNDEDNEXT_FLEX_50K,qty,3,3,3,1,1.01,0.0,0.0,SKIP,1.0,none,none,0.0,none,0.0,2500,0.1336,0.006804440902822215,0.5116,0.3548,6.0,8.0,11.0,14.0,0.8952095808383234,0.9580838323353293,0.9970059880239521,1.0,23.0,672.5999999999913,0.1428,2718.0574,7.485029940119761,548.7275449101796,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,3,3,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__APPR_REDUCE,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,REDUCE,1.5,none,none,0.0,none,0.0,2500,0.4932,0.009999075157233292,0.5068,0.0,14.0,22.0,32.0,39.0,0.29683698296836986,0.505271695052717,0.7055961070559611,0.8824006488240065,51.0,822.2000000000262,0.0,2500.0,2.02757502027575,141.90997566909974,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_DEF50__APPR_SKIP,NQ,FUNDEDNEXT_FLEX_50K,qty,2,2,1,1,1.01,0.0,0.5,SKIP,1.0,none,none,0.0,none,0.0,2500,0.1924,0.007883710801392958,0.4732,0.3344,12.0,19.0,30.0,35.0,0.4095634095634096,0.577962577962578,0.7837837837837838,0.9126819126819127,43.0,785.2000000000116,0.0,2500.0,5.197505197505198,365.7484407484407,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q1_ACCEL2_C70__APPR_REDUCE,NQ,FUNDEDNEXT_FLEX_50K,qty,1,2,1,1,0.7,0.0,0.0,REDUCE,1.5,none,none,0.0,none,0.0,2500,0.5684,0.009905986876631728,0.4316,0.0,24.0,38.0,53.0,64.0,0.14215341308937368,0.24630541871921183,0.41168191414496835,0.6375791695988741,84.0,933.1000000000276,0.0,2500.0,1.7593244194229416,123.13511611541168,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,8.234,9,OK,1,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q1_ACCEL2_C70__APPR_SKIP,NQ,FUNDEDNEXT_FLEX_50K,qty,1,2,1,1,0.7,0.0,0.0,SKIP,1.0,none,none,0.0,none,0.0,2500,0.2212,0.008301097758730468,0.4188,0.36,21.0,36.0,51.0,60.39999999999998,0.2314647377938517,0.3453887884267631,0.488245931283906,0.6654611211573237,73.0,935.6000000000204,0.0,2500.0,4.520795660036166,316.4104882459312,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,86.7628,9,OK,1,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
