name,book,profile,label,qty_normal,qty_accel,qty_defensive,qty_approach,accel_dd_frac,accel_min_pnl,defensive_dd_frac,approach,approach_mult,governor,daily_stop,daily_stop_value,streak,day_profit_frac,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,p95_days_to_pass,P(pass <=10d),P(pass <=14d),P(pass <=20d),P(pass <=30d),median_trades_to_pass,median_max_drawdown_before_pass,probability_consistency_rule_delays_pass,average_adjusted_profit_target,expected_number_of_attempts,expected_evaluation_cost,expected_evaluation_cost_note,expected_evaluation_cost_status,mean_accel_days,max_executable,cap_note,qty_normal_used,qty_accel_used,EVAL_STATES,mode
Q2_FIXED__DSTOP_FRAC35__STRESS_EXPECTANCY_M10,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5504,0.009949067091943847,0.4496,0.0,17.0,25.0,33.5,40.0,0.21511627906976744,0.3851744186046512,0.6075581395348837,0.8611918604651163,60.5,1007.2799999999552,0.0,2500.0,1.816860465116279,127.16206395348836,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_EXPECTANCY_M20,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5828,0.00986193003422758,0.4172,0.0,20.0,30.0,41.0,47.0,0.15305422100205904,0.29581331503088537,0.5216197666437886,0.7673301304049417,69.0,1018.3999999999287,0.0,2500.0,1.7158544955387784,120.0926561427591,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_WR_FLIP_10,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.2024,0.008035776004842345,0.7976,0.0,15.0,23.0,33.0,40.0,0.2648221343873518,0.4881422924901186,0.6897233201581028,0.8754940711462451,53.0,968.4000000000087,0.0,2500.0,4.940711462450593,345.80039525691694,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_SLIP_P25,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.558,0.009932492134404135,0.442,0.0,14.0,21.0,28.0,34.0,0.32616487455197135,0.5204301075268817,0.7318996415770609,0.9261648745519713,48.0,969.9000000000087,0.0,2500.0,1.7921146953405016,125.4301075268817,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_SLIP_P50,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5612,0.009924808512006668,0.4388,0.0,14.0,21.0,29.799999999999955,35.0,0.30933713471133284,0.5024946543121882,0.7284390591589451,0.9137562366357804,50.0,971.4000000000087,0.0,2500.0,1.781895937277263,124.71489665003563,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_COMM_P25,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5636,0.009918770891597407,0.4364,0.0,14.0,21.0,29.0,34.0,0.3129879347054649,0.517388218594748,0.7473385379701917,0.9169623846699787,49.0,969.0,0.0,2500.0,1.7743080198722498,124.18381831085875,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_CLUSTER3,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.574,0.009889873608899155,0.426,0.0,15.0,22.0,30.0,36.0,0.2857142857142857,0.489198606271777,0.7073170731707317,0.9038327526132404,51.0,976.8000000000175,0.0,2500.0,1.7421602787456447,121.93379790940766,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_FEWER_DAYS_20,NQ,FUNDEDNEXT_FLEX_50K,stress_BALANCED,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5644,0.009916705904684277,0.4356,0.0,14.0,20.0,28.0,33.0,0.33664068036853295,0.5315379163713678,0.7505315379163714,0.9220411055988661,48.0,968.4000000000087,0.0,2500.0,1.771793054571226,124.00779588944009,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_EXPECTANCY_M10,NQ,FUNDEDNEXT_FLEX_50K,stress_FASTEST_ACCEPTABLE,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5504,0.009949067091943847,0.4496,0.0,17.0,25.0,33.5,40.0,0.21511627906976744,0.3851744186046512,0.6075581395348837,0.8611918604651163,60.5,1007.2799999999552,0.0,2500.0,1.816860465116279,127.16206395348836,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
Q2_FIXED__DSTOP_FRAC35__STRESS_EXPECTANCY_M20,NQ,FUNDEDNEXT_FLEX_50K,stress_FASTEST_ACCEPTABLE,2,2,2,1,1.01,0.0,0.0,NONE,1.5,none,frac_dd,0.35,none,0.0,2500,0.5828,0.00986193003422758,0.4172,0.0,20.0,30.0,41.0,47.0,0.15305422100205904,0.29581331503088537,0.5216197666437886,0.7673301304049417,69.0,1018.3999999999287,0.0,2500.0,1.7158544955387784,120.0926561427591,FundedNext first_5=69.99 then 79.99; geometric attempts until first pass,CONFIRMED,0.0,9,OK,2,2,"['EVAL_NORMAL', 'EVAL_ACCELERATE', 'EVAL_DEFENSIVE', 'EVAL_TARGET_APPROACH', 'EVAL_LOCKOUT', 'PASSED']",bootstrap
