name,book,expansion,reinvest,start_cash,mffu_price,mffu_price_label,fn_cap,fn_cap_label,mffu_cap,mffu_cap_label,eval_mode,n_paths,label,h30_expected_active_funded,h30_median_active_funded,h30_P(1 funded),h30_P(2 funded),h30_P(3 funded),h30_P(max firm capacity),h30_eval_spend,h30_trader_payout,h30_reinvested,h30_withdrawn,h30_attempts,h30_fails,h60_expected_active_funded,h60_median_active_funded,h60_P(1 funded),h60_P(2 funded),h60_P(3 funded),h60_P(max firm capacity),h60_eval_spend,h60_trader_payout,h60_reinvested,h60_withdrawn,h60_attempts,h60_fails,h90_expected_active_funded,h90_median_active_funded,h90_P(1 funded),h90_P(2 funded),h90_P(3 funded),h90_P(max firm capacity),h90_eval_spend,h90_trader_payout,h90_reinvested,h90_withdrawn,h90_attempts,h90_fails,h180_expected_active_funded,h180_median_active_funded,h180_P(1 funded),h180_P(2 funded),h180_P(3 funded),h180_P(max firm capacity),h180_eval_spend,h180_trader_payout,h180_reinvested,h180_withdrawn,h180_attempts,h180_fails,h365_expected_active_funded,h365_median_active_funded,h365_P(1 funded),h365_P(2 funded),h365_P(3 funded),h365_P(max firm capacity),h365_eval_spend,h365_trader_payout,h365_reinvested,h365_withdrawn,h365_attempts,h365_fails,h730_expected_active_funded,h730_median_active_funded,h730_P(1 funded),h730_P(2 funded),h730_P(3 funded),h730_P(max firm capacity),h730_eval_spend,h730_trader_payout,h730_reinvested,h730_withdrawn,h730_attempts,h730_fails,expected_active_funded_end,median_active_funded_end,total_evaluation_attempts,total_failed_evaluations,total_evaluation_spend,total_trader_payout,total_reinvested,total_personal_cash_withdrawn,external_capital_required,ending_personal_cash,ending_reinvestment_pool,attempts_per_funded_account,cost_per_funded_account,payout_dollars_per_eval_dollar,funded_accounts_created_per_$100_eval_spend,days_per_new_funded_account,median_self_funding_day,P(self_funding_by_30d),P(self_funding_by_60d),P(self_funding_by_90d),P(self_funding_by_180d),P(self_funding_by_1y),probability_bankroll_exhausted_before_self_funding,P(bankroll_exhausted),conservation_gap,classification,fn_price_first5,mffu_price_used,REQUIRES_CONFIRMATION_notes
NQ_FN_ONLY_NEXT_500,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,10000,primary,0.2786,0.0,0.2528,0.0254,0.0004,0.0004,234.54249199999998,0.0,0.0,0.0,3.3508,0.3508,1.1098,1.0,0.7475,0.3086,0.0537,0.0537,266.955918,26.704483374997963,0.27796099999999996,0.0,3.8082,0.8148,1.8202,2.0,0.9394,0.6596,0.2212,0.2212,289.24083199999995,265.41814993747727,2.5466459999999995,0.0,4.1168,1.1442,2.6981,3.0,0.9971,0.9659,0.7351,0.7351,318.5839399999999,3322.2794924216237,21.172202,0.0,4.506,1.5426,2.9671,3.0,0.9981,0.9943,0.9747,0.9747,330.460442,14817.459802124094,32.809765499999976,0.0,4.6558,1.6701,2.9839,3.0,0.9981,0.995,0.9908,0.9908,331.024371,39810.00614880121,33.37369449999997,0.0,4.6629,1.676,2.9839,3.0,4.6629,1.676,331.024371,39810.00614880121,33.37369449999997,0.0,297.65067650000003,202.34932349999994,39776.6324543012,1.5769916666666666,111.96723008333333,135.60732115395683,1.0036487501852065,243.33333333333334,107.0,0.0,0.0446,0.3063,0.9186,0.9853,0.0,0.0,7.275957614183426e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_MFFU_ONLY_NEXT_500,NQ,MFFU_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,10000,primary_mffu_price_hypothetical,0.1017,0.0,0.0981,0.0035,0.0001,0.0001,310.17,0.04557149999999993,0.0,0.0,3.1017,0.1018,0.6549,1.0,0.5211,0.1241,0.0097,0.0097,336.39,13.97524696874997,0.06,0.0,3.3639,0.3674,1.3324,1.0,0.8293,0.417,0.0861,0.0861,358.11,176.83717939453075,1.34,0.0,3.5811,0.5975,2.4734,3.0,0.9927,0.9155,0.5652,0.5652,394.17,3101.7785871268043,19.5,0.0,3.9417,0.9826,2.9357,3.0,0.999,0.995,0.9417,0.9417,415.04,15892.616958373272,39.88,0.0,4.1504,1.1534,2.9935,3.0,0.999,0.9978,0.9967,0.9967,417.22,41324.471390383864,42.06,0.0,4.1722,1.1727,2.9935,3.0,4.1722,1.1727,417.22,41324.471390383864,42.06,0.0,375.15999999999997,124.84,41282.411390383866,1.396675,139.6675,108.32478057044139,0.7750098809523809,243.33333333333334,124.0,0.0001,0.0191,0.1732,0.8647,0.9959,0.001,0.001,0.0,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_ALTERNATING_NEXT_500,NQ,ALTERNATING_FIRMS,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,10000,primary_mixed_hypothetical,0.2827,0.0,0.2549,0.0266,0.0011,0.0011,439.986999,0.05263949999999744,0.006998999999999999,0.0,5.0001,0.3327,1.3366,1.0,0.7912,0.4091,0.1168,0.1168,445.6903870000001,29.327667687498696,5.710387,0.0,5.0755,0.8525,2.3133,2.0,0.9535,0.7636,0.4251,0.4251,495.094629,356.8375570136564,55.112767500000004,0.0,5.712,1.2312,4.2713,4.0,0.9961,0.9722,0.9033,0.9033,672.837125,4911.289105950956,232.82527499999995,0.0,7.9394,2.1195,5.8191,6.0,0.9973,0.9937,0.9911,0.9911,740.457932,26521.735468630253,300.4088089999999,0.0,8.7428,2.7787,5.9571,6.0,0.9973,0.994,0.9922,0.9922,745.503653,76597.21924348314,305.45329899999984,0.0,8.799,2.8328,5.9571,6.0,8.799,2.8328,745.503653,76597.21924348314,305.45329899999984,0.0,440.05035400000014,59.94964599999986,76291.76594448315,1.4935688095238093,126.63628782857143,108.65346375545077,0.838006655482982,121.66666666666667,103.0,0.0001,0.046,0.3474,0.9518,0.9916,0.0027,0.0027,1.4551915228366852e-11,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_BEST_EV_NEXT_500,NQ,BEST_EXPECTED_VALUE_FIRM,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,10000,primary_mixed_hypothetical,0.3419,0.0,0.2997,0.04,0.0022,0.0022,431.26795699999985,0.0,0.0,0.0,5.3043,0.4096,1.5094,1.0,0.8357,0.4773,0.1647,0.1647,457.199239,36.87183043749797,7.656893000000001,0.0,5.6451,1.0361,2.5969,3.0,0.9732,0.8375,0.5373,0.5373,518.032057,392.6080400566178,62.162615,0.0,6.3168,1.4755,4.4486,5.0,0.9983,0.9864,0.9386,0.9386,681.971763,5227.462398384243,224.590537,0.0,8.12,2.2349,5.8311,6.0,0.9985,0.9958,0.9948,0.9948,740.5644710000001,27298.867728957994,283.1832205,0.0,8.755,2.7787,5.9698,6.0,0.9985,0.996,0.995,0.995,746.340364,78078.34575090742,288.9591135,0.0,8.815,2.8363,5.9698,6.0,8.815,2.8363,746.340364,78078.34575090742,288.9591135,0.0,457.3812505,42.61874949999997,77789.38663740743,1.4912466666666666,126.1569234,110.95541740420258,0.8407550467349941,121.66666666666667,99.0,0.0,0.0583,0.3892,0.9656,0.9942,0.0015,0.0015,1.4551915228366852e-11,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_BANK_100,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,100.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.0948,0.0,0.0948,0.0,0.0,0.0,69.99,0.0,0.0,0.0,1.0,0.1192,0.334,0.0,0.334,0.0,0.0,0.0,71.94972,7.732429999999329,1.9597199999999997,0.0,1.028,0.248,0.5188,1.0,0.514,0.0048,0.0,0.0,85.19182799999999,78.73112174999297,15.201827999999997,0.0,1.2172,0.3284,0.9672,1.0,0.6296,0.2572,0.0804,0.0804,149.88260400000001,976.3365851874275,79.89260399999999,0.0,2.1396,0.616,1.6204,2.0,0.6332,0.518,0.4692,0.4692,184.22582799999998,5764.272202239873,114.23582799999998,0.0,2.6172,0.9416,1.6756,3.0,0.6332,0.5212,0.5212,0.5212,185.84962,19564.92771009899,115.85961999999999,0.0,2.638,0.962,1.6756,3.0,2.638,0.962,185.84962,19564.92771009899,115.85961999999999,0.0,69.99,30.01,19449.068090098994,1.1983666666666668,84.27901633333333,73.53364770559095,0.7423516172340998,243.33333333333334,123.0,0.0,0.014,0.1048,0.4448,0.5212,0.3668,0.3668,3.637978807091713e-12,REPLICATION_BORDERLINE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_BANK_250,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,250.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2608,0.0,0.2388,0.0216,0.0004,0.0004,209.97,0.0,0.0,0.0,3.0,0.3616,0.9976,1.0,0.7068,0.258,0.0328,0.0328,211.54177599999997,23.614596499998132,1.5717759999999998,0.0,3.0224,0.7728,1.546,2.0,0.8812,0.524,0.1408,0.1408,224.335956,247.04764249997874,14.365956,0.0,3.2044,0.9884,2.1824,2.0,0.9504,0.7796,0.4524,0.4524,280.356116,2830.6341555935414,70.38611599999999,0.0,3.9884,1.3176,2.7228,3.0,0.9528,0.9072,0.8628,0.8628,306.60865599999994,12563.428432699428,96.638656,0.0,4.3344,1.5744,2.7584,3.0,0.9528,0.908,0.8976,0.8976,307.972484,35523.1706421414,98.002484,0.0,4.3516,1.5904,2.7584,3.0,4.3516,1.5904,307.972484,35523.1706421414,98.002484,0.0,209.97,40.03,35425.1681581414,1.6385666666666667,115.816281,124.262107579022,0.962693295529245,243.33333333333334,107.0,0.0,0.0412,0.2856,0.8348,0.8968,0.0472,0.0472,0.0,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_BANK_500,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2688,0.0,0.2452,0.0228,0.0008,0.0008,234.59848399999998,0.2058079999999884,0.0,0.0,3.3516,0.3516,1.1024,1.0,0.7428,0.3076,0.052,0.052,267.54184399999997,27.03990699999794,0.083988,0.0,3.8156,0.822,1.8136,2.0,0.9328,0.6568,0.224,0.224,289.810768,279.9332937499761,2.7756159999999994,0.0,4.1232,1.156,2.6852,3.0,0.998,0.96,0.7272,0.7272,319.746796,3322.5986927184986,21.997095999999996,0.0,4.5204,1.5568,2.9648,3.0,0.9984,0.9944,0.972,0.972,331.93725599999993,14810.715813577228,33.89959199999999,0.0,4.6744,1.6896,2.9824,3.0,0.9984,0.9952,0.9888,0.9888,332.88113599999997,39600.64941787517,34.843472,0.0,4.6864,1.698,2.9824,3.0,4.6864,1.698,332.88113599999997,39600.64941787517,34.843472,0.0,298.03766400000006,201.96233599999996,39565.80594587517,1.5846666666666667,112.57448666666667,134.83418450084744,1.000353294950473,243.33333333333334,107.0,0.0004,0.0444,0.3172,0.9152,0.9808,0.0,0.0,0.0,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_BANK_1000,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,1000.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2712,0.0,0.2508,0.0196,0.0008,0.0008,234.91443999999996,0.0,0.0,0.0,3.356,0.356,1.1148,1.0,0.7628,0.2996,0.0524,0.0524,268.20174399999996,25.189762999998255,0.27996,0.0,3.8256,0.8256,1.8132,2.0,0.94,0.6568,0.2164,0.2164,292.07045199999993,265.826335249977,2.735616,0.0,4.1548,1.1536,2.7408,3.0,0.9996,0.9788,0.7624,0.7624,321.702536,3293.0894714997494,17.789624,0.0,4.5464,1.544,2.9876,3.0,1.0,1.0,0.9876,0.9876,329.953492,14980.390063658278,25.280675999999996,0.0,4.6508,1.6484,2.9992,3.0,1.0,1.0,0.9992,0.9992,330.4214319999999,40133.49710554414,25.748616,0.0,4.6568,1.6524,2.9992,3.0,4.6568,1.6524,330.4214319999999,40133.49710554414,25.748616,0.0,304.672816,695.327184,40107.748489544145,1.5504333333333336,110.007829,135.89288321285443,1.0057572518860598,243.33333333333334,107.0,0.0,0.0404,0.308,0.9292,0.996,0.0,0.0,7.275957614183426e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_CAP_1,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,1,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.0892,0.0,0.0892,0.0,0.0,0.0892,77.54892,0.0,0.0,0.0,1.108,0.108,0.362,0.0,0.362,0.0,0.0,0.362,89.02727999999999,9.94611999999922,0.0,0.0,1.272,0.272,0.5948,1.0,0.5948,0.0,0.0,0.5948,97.090128,88.22543124999265,0.0,0.0,1.3872,0.3872,0.9164,1.0,0.9164,0.0,0.0,0.9164,105.96485999999999,1076.12671556242,0.0,0.0,1.514,0.5136,0.9944,1.0,0.9944,0.0,0.0,0.9944,108.04856799999999,4886.224645840516,0.0,0.0,1.5432,0.5444,0.998,1.0,0.998,0.0,0.0,0.998,108.224544,13138.328645950172,0.05599199999999999,0.0,1.5456,0.5464,0.998,1.0,1.5456,0.5464,108.224544,13138.328645950172,0.05599199999999999,0.0,108.16855199999998,391.831448,13138.272653950173,1.5452,108.19654799999999,152.7470294534661,1.1345919824284203,730.0,146.0,0.0,0.0168,0.1096,0.5608,0.8036,0.0,0.0,1.8189894035458565e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_CAP_3,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2624,0.0,0.2416,0.0204,0.0004,0.0004,233.52263599999998,0.0,0.0,0.0,3.3364,0.3364,1.066,1.0,0.7332,0.2892,0.0436,0.0436,266.37,23.481263999998053,0.167976,0.0,3.8,0.808,1.7988,2.0,0.9304,0.654,0.2144,0.2144,288.87888399999997,252.5714079999783,2.3076799999999995,0.0,4.1116,1.146,2.6784,3.0,0.9972,0.9572,0.724,0.724,319.47882799999996,3248.013161374752,21.701135999999998,0.0,4.5172,1.5536,2.9664,3.0,0.9984,0.994,0.974,0.974,331.481316,14738.836487079185,33.547644,0.0,4.6684,1.6836,2.9844,3.0,0.9984,0.9948,0.9912,0.9912,332.433196,39754.80732555073,34.499523999999994,0.0,4.6804,1.694,2.9844,3.0,4.6804,1.694,332.433196,39754.80732555073,34.499523999999994,0.0,297.933672,202.06632799999997,39720.30780155074,1.5843,112.54715699999998,135.35406184851058,1.0018451706569254,243.33333333333334,109.0,0.0,0.0412,0.2892,0.922,0.9884,0.0,0.0,7.275957614183426e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
