variant,near_rule,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),P(fail),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,P(pass <=14d),P(pass <=20d),P(pass_and_<=14d),P(pass_and_<=20d),max_observed_daily_loss_mean,daily_stop_frequency,mean_daily_stop_events,demotion_frequency,breach_causes,expected_attempts,label,stress
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5616,0.007017199441372605,0.0,0.4384,0.4384,14.0,27.0,45.0,0.5146011396011396,0.6698717948717948,0.289,0.3762,446.6347080000059,0.0406,0.0408,0.42,{},1.7806267806267806,E. 2 MNQ + governor + demotion + near-target,baseline
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5596,0.0070206529610856,0.0,0.4404,0.4404,15.0,30.0,51.30000000000018,0.47248034310221587,0.6336669049320943,0.2644,0.3546,429.48352400000675,0.0,0.0,0.4706,{},1.7869907076483202,E. 2 MNQ + governor + demotion + near-target,expectancy_-5pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5604,0.007019285433717595,0.0,0.4396,0.4396,17.0,36.0,58.0,0.4054246966452534,0.5745895788722342,0.2272,0.322,418.55504399999614,0.0,0.0,0.5274,{},1.7844396859386153,E. 2 MNQ + governor + demotion + near-target,expectancy_-10pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5846,0.006969115295358515,0.0,0.4154,0.4154,23.0,49.0,72.0,0.30277112555593566,0.4519329456038317,0.177,0.2642,390.6018239999982,0.0,0.0,0.6192,{},1.7105713308244954,E. 2 MNQ + governor + demotion + near-target,expectancy_-20pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.4164,0.0069715283833604235,0.0,0.5836,0.5836,14.0,27.0,47.0,0.5076849183477425,0.6618635926993276,0.2114,0.2756,451.1039445000057,0.047,0.0476,0.467,{},2.4015369836695486,E. 2 MNQ + governor + demotion + near-target,wr_degrade
GOV2_DEMOTE_NEAR,PCT_95,5000,0.3322,0.00666097830652525,0.0,0.6678,0.6678,14.0,27.0,48.0,0.5051173991571343,0.6652618904274533,0.1678,0.221,452.26985600000563,0.042,0.0428,0.4928,{},3.0102347983142685,E. 2 MNQ + governor + demotion + near-target,wr_flip_5pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.1512,0.005066331216965586,0.0,0.8488,0.8488,14.0,22.0,43.5,0.5185185185185185,0.7208994708994709,0.0784,0.109,453.3030770000054,0.049,0.0494,0.4978,{},6.613756613756614,E. 2 MNQ + governor + demotion + near-target,wr_flip_10pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5706,0.007000223425005805,0.0,0.4294,0.4294,14.0,28.0,47.0,0.501577287066246,0.6515948124780933,0.2862,0.3718,449.64528000000576,0.0414,0.0424,0.4224,{},1.752541184717841,E. 2 MNQ + governor + demotion + near-target,loss_cluster_3
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5256,0.007061793539887725,0.0,0.4744,0.47440000000000004,14.0,27.0,47.0,0.5156012176560122,0.667427701674277,0.271,0.3508,451.4861200000057,0.0828,0.0864,0.428,{},1.9025875190258754,E. 2 MNQ + governor + demotion + near-target,slippage_+100pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5452,0.007042115591212629,0.0,0.4548,0.4548,14.0,27.0,45.0,0.5135730007336757,0.6654438738077769,0.28,0.3628,446.68331199999955,0.0534,0.0548,0.4252,{},1.834189288334556,E. 2 MNQ + governor + demotion + near-target,commission_+100pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5428,0.007045114051596326,0.0,0.4572,0.45720000000000005,14.0,26.0,45.0,0.5077376565954311,0.6672807663964628,0.2756,0.3622,447.31801100000564,0.0388,0.0392,0.4324,{},1.842299189388357,E. 2 MNQ + governor + demotion + near-target,delayed_exit_10pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5434,0.007044379887541557,0.0,0.4566,0.4566,16.0,31.0,52.40000000000009,0.43356643356643354,0.6161207213838793,0.2356,0.3348,442.7659020000057,0.0398,0.0402,0.4318,{},1.840264998159735,E. 2 MNQ + governor + demotion + near-target,missed_entry_10pct
GOV2_DEMOTE_NEAR,PCT_95,5000,0.5528,0.007031531269929758,0.0,0.4472,0.44720000000000004,14.0,26.0,44.0,0.526410998552822,0.6845151953690304,0.291,0.3784,448.40737600000574,0.0382,0.0386,0.4248,{},1.8089725036179451,E. 2 MNQ + governor + demotion + near-target,skip_day_5pct
